object_id,ra,dec,z,angdisp,foreground,cluster_member,lensed,Z_dir,Z_dir_e,Z_j19,Z_j19_e,R23,R23_e,mean_vel_disp,sterr_vel_disp,zcluster,name,oiii5007_flux,oiii5007_flux_err,oiii5007_ew,oiii5007_ew_err,oiii5007_centroid,oiii5007_fwhm,oiii5007_vel_disp,oiii4959_flux,oiii4959_flux_err,oiii4959_ew,oiii4959_ew_err,oiii4959_centroid,oiii4959_fwhm,oiii4959_vel_disp,oii3726_flux,oii3726_flux_err,oii3726_ew,oii3726_ew_err,oii3726_centroid,oii3726_fwhm,oii3726_vel_disp,oii3729_flux,oii3729_flux_err,oii3729_ew,oii3729_ew_err,oii3729_centroid,oii3729_fwhm,oii3729_vel_disp,halpha_flux,halpha_flux_err,halpha_ew,halpha_ew_err,halpha_centroid,halpha_fwhm,halpha_vel_disp,hbeta_flux,hbeta_flux_err,hbeta_ew,hbeta_ew_err,hbeta_centroid,hbeta_fwhm,hbeta_vel_disp,hgamma_flux,hgamma_flux_err,hgamma_ew,hgamma_ew_err,hgamma_centroid,hgamma_fwhm,hgamma_vel_disp,hdelta_flux,hdelta_flux_err,hdelta_ew,hdelta_ew_err,hdelta_centroid,hdelta_fwhm,hdelta_vel_disp,hepsilon_flux,hepsilon_flux_err,hepsilon_ew,hepsilon_ew_err,hepsilon_centroid,hepsilon_fwhm,hepsilon_vel_disp,hzeta_flux,hzeta_flux_err,hzeta_ew,hzeta_ew_err,hzeta_centroid,hzeta_fwhm,hzeta_vel_disp,heta_flux,heta_flux_err,heta_ew,heta_ew_err,heta_centroid,heta_fwhm,heta_vel_disp,oiii4363_flux,oiii4363_flux_err,oiii4363_ew,oiii4363_ew_err,oiii4363_centroid,oiii4363_fwhm,oiii4363_vel_disp,neiii_flux,neiii_flux_err,neiii_ew,neiii_ew_err,neiii_centroid,neiii_fwhm,neiii_vel_disp,nii6583_flux,nii6583_flux_err,nii6583_ew,nii6583_ew_err,nii6583_centroid,nii6583_fwhm,nii6583_vel_disp,nii6548_flux,nii6548_flux_err,nii6548_ew,nii6548_ew_err,nii6548_centroid,nii6548_fwhm,nii6548_vel_disp,sii6716_flux,sii6716_flux_err,sii6716_ew,sii6716_ew_err,sii6716_centroid,sii6716_fwhm,sii6716_vel_disp,sii6731_flux,sii6731_flux_err,sii6731_ew,sii6731_ew_err,sii6731_centroid,sii6731_fwhm,sii6731_vel_disp,heii4686_flux,heii4686_flux_err,heii4686_ew,heii4686_ew_err,heii4686_centroid,heii4686_fwhm,heii4686_vel_disp,hei5876_flux,hei5876_flux_err,hei5876_ew,hei5876_ew_err,hei5876_centroid,hei5876_fwhm,hei5876_vel_disp
28d07m28pt35s-28d53m18pt439s,28.124541666666662,-28.888455277777776,0.3685089804926993,26.18756698942221,1,0,0,9.51101980990723,0.05584367181401668,8.104833871409653,0.006391742711417887,9.18736191869472,1.8734367889765629,105.36105095790013,19.1862863530035,0.4127,macs0152m28,3957.6240416560504,84.81835859727967,25.521722321060423,1.4940092546552866,5006.830870455516,1.947652821754283,46.21432995436041,1201.0737960935876,167.9037224113746,6.1020964964267375,2.3668369453991205,4958.901799742923,1.6928465621193323,39.57083788851415,1761.464896696335,1068.6135356727189,29.998235596428906,91.72048342399984,3725.300846892047,5.449503026807009,184.65485291083476,2884.5577145722427,1618.3931634975047,49.243829643832576,138.90878074330303,3728.766711514383,5.449503026807009,184.51668935249157,2355.2488495918797,112.75872375523032,48.55033397308256,4.452104826402261,6562.860806342181,2.3328405364660885,43.16885049142893,1067.1964962071731,48.77235854955061,7.05730653423719,0.9250886639206057,4861.282067419762,1.8323453603403923,44.3464434414166,840.9908996326822,104.25688713308563,6.230189875770804,2.7363695810241957,4339.711842576588,2.809343832717954,79.80201727850056,1013.4481178922388,106.76561125294373,7.8927415839978545,3.3229936910850904,4101.333887667329,4.179024043458222,127.87660686140855,1105.8776325912272,146.37904870338798,9.070341520260321,5.1808168678704725,3966.258717070406,6.651498618282198,212.11179989781002,269.45018431836974,0.0,1.8460803036518705,0.0,3887.9628641115423,0.4999617834394905,nan,653.0447663441255,135.03897802102384,4.076315033504895,3.9487192708885805,3833.883756333967,6.314992671324819,208.32458373009496,13.121471677398668,142.45380239581323,0.08883146079745713,3.3752042694030466,4366.012736048973,0.4999617834394905,nan,992.2866904035268,86.11087585325657,7.165906510540203,2.848008480847927,3869.1809132235867,2.702002703999761,85.87998692400208,427.52526405149763,322.3631605796672,5.871608417174711,8.45356855212616,6582.584880007132,6.511571217499083,125.19044058099286,282.61965748402133,441.57684208989565,3.91105454528142,11.740068234269563,6543.969829048965,0.4999617834394905,nan,206.04130091742843,9261496.881680923,2.661136942556251,223734.2554624809,6716.4841747931005,0.5751716035391242,nan,57.96267783389736,120.42268372403186,0.7950272222878841,3.084669258891483,6726.807851402391,0.4999617834394905,nan,299.9967490266764,3777757.2797236494,1.8221251537246288,70149.94329761509,4686.930439365414,0.5877079370616016,nan,0.0,0.0,nan,nan,5879.154269614779,9.19976811264438,198.75832505664667
28d08m00pt3s-28d52m56pt898s,28.133416666666665,-28.882471666666667,0.4354015023467077,15.836703873235557,0,1,0,8.231162179867292,0.01250512991705649,8.056100065137544,8.949025476497375e-05,6.830072333831807,0.0948235115118226,45.27279318863684,7.285106102694386,0.4127,macs0152m28,14026.49616375008,198.98911601905255,31.692392236020396,1.228062851074954,5006.84892837578,2.424432720658328,59.0211927476399,3533.0948413529363,552.9800229418195,6.2395074870529434,2.709579145518083,4958.910499580987,2.0241214752954537,48.7589003173985,16674.304063285155,136.53989441048452,25.24058553816234,1.0411862970903503,3725.9821394290025,2.2568716468864163,73.30933379552935,23036.66799975226,174.47466509379984,34.93864731293074,1.3304582610776006,3728.7357349488243,2.2568716468864163,73.25448184738237,0.0,0.0,nan,nan,6562.8,1.0,13.853480493619768,8385.059523375574,71.38466787302742,20.13838711527453,0.4917495645722424,4861.245809372898,2.2637268613010977,56.37770750983301,4011.0831717112574,75.44724879995533,7.456306344678847,0.4967272638692102,4340.435715191085,1.9289563085305708,52.72142333297018,1861.0876401177975,74.56423666492387,2.9507078090440655,0.47242661942493624,4101.449729088768,1.9062399626654731,55.03259169573154,292.75861876519434,99.23181928188941,0.41100251508683766,0.5998870153928617,3969.8283407969516,0.4999617834394905,nan,1606.2300603373121,75.7463766664223,2.112428205383183,0.4505945659606235,3888.947203926465,2.208192527623533,68.55802608544437,0.0,0.0,nan,nan,3834.771637950307,1.5650522157834317,46.46357107270146,673.6852401875923,211.45767895938798,1.187788947924109,1.3053880840707863,4365.0550948952505,3.5455448636314064,101.41595831707785,1505.199741849072,85.98550590890926,2.005568664034417,0.5246750658600539,3869.281014036011,2.290456680124063,71.76653736194048,0.0,0.0,nan,nan,6583.45,1.0,13.810026928666252,0.0,0.0,nan,nan,6548.05,1.0,13.88468655302385,0.0,0.0,nan,nan,6716.44,1.0,13.536579167464883,0.0,0.0,nan,nan,6730.82,1.0,13.507659064352907,0.0,0.0,nan,nan,4685.310471876912,4.279565954891007,114.71000057383334,0.0,56.97144146384557,nan,nan,5875.62,1.0,15.473706908126772
28d07m25pt59s-28d53m23pt342s,28.123775,-28.88981722222222,0.5581220294942004,30.45113887447951,0,0,0,8.697991250820387,0.011041871586020635,8.090345852963198,0.00014283668284415633,7.749190467305305,0.3454683361533393,53.599927328046064,9.802223638036429,0.4127,macs0152m28,4885.4680952598455,126.72623923791181,78.13598229250992,5.53600517358875,5006.851784394838,2.589399125693047,63.389803727799,1821.2901298909132,205.86103890142957,16.052784429046582,5.034521414968351,4958.803419695942,2.3856579606323485,58.551142309215365,4681.556175716309,131.01084309632134,27.564025405669526,3.884809381937964,3726.3351571041376,2.2426971663159163,72.79972823106945,5396.804761978341,147.15832936745883,31.83428267124022,4.363623995127724,3728.994460709217,2.2426971663159163,72.74525758304549,0.0,0.0,nan,nan,6562.8,1.0,13.853480493619768,2166.0480838177473,87.77925048564892,36.55856470092889,4.249096450021311,4861.48882124299,2.5201817929894106,63.40236438535882,1115.811825569873,53.97924404340487,10.654286432318814,1.8253755336425772,4340.536326938617,2.381807008711049,66.77563381119367,668.7334779840123,58.1227529755555,4.748228157451524,1.648365672039675,4102.362599151495,2.445646446515424,72.73258253484245,375.293302999085,53.85252038701132,2.6047320070395346,1.6096836972517181,3969.6006318985806,1.699237330183606,49.65176039147918,939.3389228928185,76.50780588641315,5.464013424820186,2.0123026565849247,3889.5065995630807,3.4265141026268955,109.80291670896628,257.84352517098597,1472500.3710673824,1.7310405976919199,46275.75765342462,3835.038965796482,0.5027599742406287,nan,186.7266955546854,50.66128594043958,1.5768128775026138,1.499347063367255,4362.972633282029,1.4925837873017485,38.46427530065965,1978.0937184480674,97.2850259856198,13.393719942847625,3.0136125529924365,3870.8628044574784,5.482888432554234,178.95059335642532,0.0,0.0,nan,nan,6583.45,1.0,13.810026928666252,0.0,0.0,nan,nan,6548.05,1.0,13.88468655302385,0.0,0.0,nan,nan,6716.44,1.0,13.536579167464883,0.0,0.0,nan,nan,6730.82,1.0,13.507659064352907,0.0,0.0,nan,nan,4685.801375698163,1.6234066347148204,39.796919895104836,291.8779441555387,105.55154248054217,16.614600825974602,13.069904259625517,5873.050507218293,5.414906930230545,116.34313611863425
28d07m06pt405s-28d53m28pt324s,28.118445833333332,-28.891201111111112,0.6380614410088494,50.12698630822702,0,0,0,nan,nan,8.117298104737054,9.880919535634529e-05,11.90949214211077,0.6684139184556712,58.17622844269569,14.117656043581789,0.4127,macs0152m28,8152.463021004371,126.5439658259719,67.84180029678717,2.876317877279749,5006.838476524494,2.8756502435197846,70.92042363501923,2192.229256641847,320.36020640819027,11.841376788101295,4.801071477368028,4959.007856393,2.589743223656064,64.01166909097637,4640.619986437576,105.68488688333046,25.902586825144905,2.9711331623571473,3726.2295813863743,2.5449107278925487,83.59988622036269,6677.091624790059,146.28876767421565,37.3425014158118,4.112635417749385,3729.030630614138,2.5449107278925487,83.5373346135394,0.0,0.0,nan,nan,6562.8,1.0,13.853480493619768,1818.9191974255361,96.72336240055827,16.46465669409971,2.5114309878886685,4861.047321681386,2.550427274531958,64.22647887595336,1421.3293757128426,49.29197077392794,9.235332771121513,1.1342352449942767,4340.648645024214,2.2831801497387887,63.74294563801833,410.17508601549514,43.93935711791472,2.226619688160624,0.9528807143839791,4102.027089408605,1.940305141995798,56.16777788221485,446.08587079986523,606008.2092700208,2.1736980921829248,12709.821101241567,3970.6200598613846,0.5162999602906625,nan,218.22163068023482,66.20958611497755,0.9447235842591684,1.2967788473061035,3888.622179826066,1.7426898497855465,52.24323630393285,0.0,0.0,nan,nan,3836.2372494401325,4.568480902442607,149.8529333672066,0.0,0.0,nan,nan,4364.836610529685,0.7254280053511374,5.555020341519162,1904.6762166708538,91.80190684177957,9.358295641393852,2.06637314245037,3868.7004406949663,3.551794357987842,114.58757824953862,0.0,0.0,nan,nan,6583.45,1.0,13.810026928666252,0.0,0.0,nan,nan,6548.05,1.0,13.88468655302385,0.0,0.0,nan,nan,6716.44,1.0,13.536579167464883,0.0,0.0,nan,nan,6730.82,1.0,13.507659064352907,716.4387566739229,320.048944624876,8.526572321478701,11.644443536731764,4687.078522784276,9.99923566878981,271.0131455203778,0.0,0.0,nan,nan,5875.62,1.0,15.473706908126772
STACK,0.0,0.0,0.5000234883356143,nan,0,0,0,nan,nan,7.909219769879053,0.009833615715377251,7.086167679397543,0.7959738392961637,118.9849597830653,27.91071999351876,0.4127,macs0152m28,4169.152561049335,145.05019469907648,5.298161313170155,0.5034808952502752,5006.835790317017,1.961714715931403,46.59728388788197,1258.2940085674027,198.08618537167087,1.5087937476621514,0.6589903533643935,4959.051324611648,1.4841111994551637,33.597189889445076,1507.3083325479458,449.9448174714037,1.243749886774682,1.868504722841812,3727.3444951678703,2.25063000282855,73.08497455357887,1158.4183877814303,414.9379636502481,0.957484420128098,1.723130292118828,3729.7722384129333,2.25063000282855,73.03029047684562,2092.555040303076,224.0391091319165,5.259921389586464,1.0786456540751044,6562.964946452413,2.0351752398426544,37.07110424552977,1142.1086341883156,88.30330004799582,1.3011291525824238,0.2885695296001103,4860.981650516665,1.6726998141891503,39.78493843517062,317.09443890660805,158.5256851775579,0.3656793644535603,0.6481144729771039,4338.33739799694,0.4999617834394905,nan,2594.608469185912,299.61085450556817,2.5446483028930027,1.1747438066345157,4100.665401899408,5.719400726783891,176.18506373999512,4250.193607938093,399.3342244385238,4.285705564160096,1.7343051885116412,3969.4719650187194,9.99923566878981,319.8627926142355,0.0,0.0,nan,nan,3886.301349806714,9.978307494200022,325.8396477239134,1885.3679796817687,468.7685693905474,1.859296691084725,2.159416268382521,3838.3181002830825,9.99923566878981,331.09476865566154,0.0,0.0,nan,nan,4364.588754074509,3.351277293486874,95.62697638292728,0.0,0.0,nan,nan,3870.998260863898,9.99923566878981,328.2406140748108,490.1746019838147,402.95241123510283,1.2035728973646203,1.8886422214137615,6584.405416140545,4.6435249937362,88.76988530904728,0.0,0.0,nan,nan,6552.090109388256,6.313555708130021,121.99418664053877,0.0,0.0,nan,nan,6715.97942225264,0.4999617834394905,nan,206.616875429025,119.80314404558726,0.629375220188509,0.6811271023656402,6730.671341871554,1.0721409166197078,15.36023430257173,563.550216598696,117.95750657709088,0.6035292457980981,0.3862196456897363,4686.861699266935,1.4851831315241586,35.58932516302198,0.0,0.0,nan,nan,5879.329863356142,0.4999617834394905,nan
34d19m21pt9s-52d45m27pt982s,34.32274999999999,-52.75777277777778,0.2900081476727334,39.75504501315917,1,0,0,7.864734383041171,0.00985384628373159,8.006699920485591,0.00021960626931253173,10.212550871548428,0.7854869772920188,75.0437885513421,9.810784294541719,0.3432,macs0217m52,3373.0448170598943,99.51129593761445,12.841569125598763,1.0348003637904533,5006.829246005536,3.3091146982728956,82.23753648332364,581.2366134155056,151.72593368270216,1.8821654684046445,1.363142206652522,4959.055583987963,2.5003038583539823,61.62334465700301,5285.2436347551975,499.1757309352896,13.976486047529542,6.651774537681027,3725.5409109678344,3.339680615178397,111.57472840552708,10873.206060761344,988.9842243727834,28.816653827503476,13.178725795673552,3728.683995556346,3.339680615178397,111.49124529498503,4329.143197430971,164.70389408139897,30.562631401702017,2.22743480986713,6562.102231616702,4.090067834463495,78.1715702027342,1969.4130662325354,104.22065963107742,7.339506121961568,1.113932518871254,4861.545801135074,2.4473810535544778,61.41526782090504,391.2787915978121,144.4839076818176,1.1696797216145594,1.5300610347679435,4339.964008038885,4.30949837586242,124.72334965918859,243.19950632031527,147.2798334464013,0.6278262312213005,1.5192421425319398,4101.608335836056,3.1711788462502417,95.99964268029125,929.537665981807,2676598.97533582,2.202568784018733,27313.863407029017,3969.619843414289,0.6454891177268335,nan,318.0632694967801,186.18501272339955,0.8062408751635401,2.1352539756048854,3888.565283368349,0.4999617834394905,nan,0.0,0.0,nan,nan,3833.724584632508,0.4999617834394905,nan,509.0705585888728,113.03552771950409,1.489701346752102,1.1580490394996754,4365.270221792977,2.870056670326213,81.21382320283554,0.0,0.0,nan,nan,3867.1309637277436,4.125776974905917,133.79980456136335,646.4472940135555,182.24030403603672,3.564143183158588,1.918346156774878,6583.1504002994,1.335519007725737,21.994358046629362,37.53277307207301,0.0,0.19836206304971396,0.0,6547.991095975972,0.4999617834394905,nan,1518.6532652803728,158.47759887680115,11.381964760410847,2.2218440628075387,6715.7367783999625,6.6242234547480505,124.85914249594701,728.2013327301402,106.79861168695959,5.180378061256468,1.418029027219497,6730.772655852423,2.856226250368394,52.37654639792904,0.0,0.0,nan,nan,4685.312504641147,3.418439808159457,90.91102935352335,195.11787488347397,76.48727936923753,1.2153784541817771,1.0357444973450765,5875.973157513665,2.1197447700999557,43.35301611063012
34d19m22pt71s-52d46m02pt865s,34.32297499999999,-52.7674625,0.3349215989090131,47.179511707927695,0,1,0,nan,nan,8.130081576530399,0.00012276189554334308,8.133560359642411,0.27223575271044687,67.49929495005111,16.47028226038111,0.3432,macs0217m52,11090.59765729786,187.68178714325435,72.58184865947337,3.3549171092243038,5006.840785803018,2.3611247343168857,57.33778363384766,3480.738708640769,484.82832533408776,15.180859048081825,5.86709148307281,4958.823173266068,2.190954897611898,53.300301257566254,4967.583728490226,218.71801663137916,18.318215475614032,4.062512231340703,3726.1305088267372,1.9971894387885933,63.91077131876517,8719.259669224948,332.47433890879796,32.211341412441335,6.175444936940442,3728.740801964811,1.9971894387885933,63.8629516192411,7931.695951436586,100.32838208164083,130.22770421024953,3.1552500355045066,6562.675429611777,2.670758900891885,49.998203844578526,3474.2693868563315,83.92151329031044,30.910718544043633,2.14155822641848,4861.308733115681,2.393488583397498,59.940901610286566,1506.6710726926212,93.2324001903254,11.31032959694285,2.4787057477973513,4340.490774528082,1.6092323286693022,42.500933550976434,0.0,50.11260157414472,nan,nan,4101.73,1.0,22.16567686891332,680.8460378069394,109541572.07947235,3.2115487275480064,2223795.6083405614,3970.736303424405,0.4999617834394905,nan,0.0,0.0,nan,nan,3888.613905333269,5.576852140902472,181.11694287066652,855.2373188065085,39817948.0673358,3.756927132290546,818287.4227207456,3835.985292510961,0.5558950408252897,nan,0.0,0.0,nan,nan,4361.80945354981,0.4999617834394905,nan,0.0,64.79465844097162,nan,nan,3868.75,1.0,23.500516131444996,0.0,0.0,nan,nan,6585.836467243985,0.4999617834394905,nan,0.0,0.0,nan,nan,6547.84932076249,7.717129898758183,149.4213874676356,883.5186478882292,108.24183441494195,13.449183250140969,3.0819425857545837,6716.317705381488,2.3290302085227292,42.10563396592693,594.8349210275385,99.37135625943579,8.944015211754307,2.788758433522259,6730.709730884212,1.8802726469846491,33.00798192771214,839.195467360424,215.78756162755286,6.75904886640042,5.308646316751474,4689.3114641194825,9.99923566878981,271.0131455203778,441.87537370120674,66.57623275067505,6.520343051885083,2.135919572498364,5875.474474491142,1.731082840052302,34.30488256292994
34d17m58pt905s-52d45m18pt335s,34.29969583333333,-52.755093055555555,0.33888145653085044,48.09804621811701,0,1,0,7.8060149602781514,0.00890831394808126,8.079870099612851,0.0003039619291367288,8.27360887214066,0.545409724105115,64.62940633125436,8.825137589716936,0.3432,macs0217m52,5576.66113487251,98.61950486758217,39.83659678780939,1.9242298855863027,5006.8438197608175,2.6723894614657286,65.5789508123313,970.2790197711461,205.65927041259,4.743272322330071,2.7893567517761535,4959.070561022555,1.5442391693944888,35.338171210702406,4506.133370124305,462.49889794994965,199.70035627367466,103.24928924778531,3726.0335590917794,3.060590553677191,101.80169040493108,6579.530968831025,684.0685906926577,292.20579459726406,152.7130034229712,3729.065902542587,3.060590553677191,101.7255197353279,4262.351385190922,105.60807735267073,47.906200787707554,2.2735542494008323,6562.775654794888,2.789846549175969,52.38828413171485,2131.186615912246,94.95712051860347,16.81666294922612,2.14907993416839,4861.336950029136,2.711324766214024,68.59785091668829,1017.6613850355465,127.70341724913072,6.798896277041061,3.022762799948809,4339.680361208886,2.6777474635813965,75.80995293143269,196.64192548600175,4.4481941116096564e+20,0.7967514190773437,7.20168003504006e+18,4101.623507794365,0.4999617834394905,nan,137.59520674826382,221.33244797509937,0.7469501725588236,5.177945143049679,3968.5055577067296,0.4999617834394905,nan,477.6209957197402,171.07505435896047,2.8253172559682915,4.574817540672307,3889.856263108791,2.4135375667019603,75.61225765784161,721.8174188946621,14446266.87195762,5.577691195753583,521966.56078524055,3836.771067945809,0.5690544149301406,nan,857.305235847457,180.918740885363,6.165366227441978,4.557554697382701,4364.103887605302,4.313881575029527,124.20264864891645,1238.203961548264,164.1408789682809,8.849935132759569,5.376344742657395,3868.1878983438683,2.2744824624833297,71.21425456418467,7.585184330386338,443.055520064579,0.05418968921385707,6.0442082228255245,6582.128304747394,0.4999617834394905,nan,0.0,0.0,nan,nan,6547.251051677676,0.4999617834394905,nan,558.7996049981933,96.95984253419779,6.617133148465803,2.147403109771109,6716.951563004739,2.001380036981891,35.54010878185776,503.8839068591699,113.95319947206687,6.543679306638226,2.7618825330371624,6731.11771251316,2.554348458080404,46.464653477990794,0.0,0.0,nan,nan,4685.491559521892,4.376588601582408,117.38128414557454,410.7392081446567,116.47617456822121,4.826329647633566,2.9761223354449067,5874.740719581588,2.9644052108687364,62.4148738805753
34d19m12pt345s-52d46m02pt383s,34.320095833333326,-52.76732861111111,0.3393521284276051,38.596280053896706,0,1,0,7.9858993267638505,0.02597249240626275,8.080587670853678,0.00014558281298083194,8.818380336764493,0.42157445542470795,64.192871378985,10.011648761979549,0.3432,macs0217m52,4709.753195494545,95.90251534986378,51.296074749566294,2.853009955123855,5006.835684228111,2.0403440954425816,48.731521146267966,1503.7622116820626,199.94315121066828,11.551700349277565,4.261937791102546,4958.6572588176505,1.7589682236129451,41.428067493956846,4146.437866194379,257.93260996128345,166.971366385144,52.32383354431843,3725.9515192833037,2.31796186671552,75.50185926250141,6389.625324162022,355.83113988401954,257.8293751461744,72.18338672249008,3728.8881594993227,2.31796186671552,75.44536680983747,3954.3133381624675,127.3014238621818,80.49803217841784,4.963824813024956,6562.728063846016,2.2774339278259923,42.040750918784944,1899.393988225111,71.61774085141664,30.31282398532881,3.278181975357543,4861.373840077464,2.2016770865083717,54.66642745819361,1182.3131382923157,119.66179650381926,9.991913671185483,3.5813800478031577,4340.60154418435,3.17938437096143,90.96630539447492,105.39002209996961,135.05812879159757,0.745201385088145,3.813770496979334,4102.655815436343,0.4999617834394905,nan,624.6573848514374,1373722.9138682836,3.7099626783884543,35113.38220906926,3970.7535720410074,0.6130891820857572,nan,717.2513664565679,48822969.35697911,5.453640595668137,1679351.774223119,3888.753813979755,0.5466325318631603,nan,0.0,0.0,nan,nan,3834.4823599216797,4.484761762934028,147.04016842604327,924.5593615164577,105.86488886897959,7.1722810229658664,2.8769172936223923,4363.964466767621,3.042436075742392,86.39088687163955,634.9215458786557,49831976.983210176,5.645280078934112,2030582.2168736842,3868.0985853465872,0.5510842921830266,nan,432.9055740516206,399.6712924059589,5.192090807687291,9.150086326327946,6584.422981114549,4.33287513416275,82.68805008222185,0.0,0.0,nan,nan,6547.918155976492,3.6814147148117593,70.26990533664055,827.4725142314068,101.13516962048712,25.131031678756813,5.74509015236426,6716.491190655314,2.1453603414901696,38.43974903510839,526.4871377137407,89.03461495790924,12.268853750968118,3.872447643778858,6730.758491580381,1.952604373468157,34.477693528079854,0.0,0.0,nan,nan,4684.918937440286,5.852891114139558,157.88188812073008,280.42113706838086,102.93653439170001,4.377294442781375,3.4941082295967867,5874.644077258076,2.2052060486220433,45.31017355826418
34d19m20pt58s-52d45m42pt851s,34.32238333333333,-52.76190305555556,0.4697201422546915,37.82286135393621,0,0,0,8.964820174190303,0.04534981924018089,8.031852067526309,9.876489806650796e-05,6.606624408203004,0.12429975292015524,69.56899823181618,19.19242204607433,0.3432,macs0217m52,7011.708516562643,120.89333837277772,12.87040897502226,0.6061224486246228,5006.820006232358,2.9152776006241385,71.95884253172329,1818.755223276949,264.82626213333606,2.9909550960721116,1.2082615995757644,4959.140556150665,2.1576415418545185,52.396948642316374,10265.405842876526,253.68118238225725,16.20727087555568,2.0175482170126635,3726.0324640793137,2.475001515978619,81.11253307902517,16420.01351242897,373.39913753427686,25.97649964574532,2.969675389762125,3728.913749354286,2.475001515978619,81.05184257444452,0.0,0.0,nan,nan,6562.8,1.0,13.853480493619768,5375.79872878007,60.161124381968115,10.11318942305014,0.3246017526111094,4861.44858749242,2.5969667771329226,65.49302100299015,2340.8767533887135,84.46907553176476,3.571141819323066,0.4563441044634903,4340.663298953642,2.3156307522861366,64.74218581027158,0.0,58.02426089651866,nan,nan,4101.73,1.0,22.16567686891332,114.60879272988574,2.2708753960674997e+62,0.1454289060033178,1.2403998089558503e+60,3970.4044826732147,0.4999617834394905,nan,140.04656065132258,649977830530.1305,0.16919953073685323,3552901873.8810625,3888.548941168633,0.4999617834394905,nan,0.0,0.0,nan,nan,3837.1695543262995,6.109539266574308,201.46115433961484,92.82196539270782,225.14360840630604,0.13787813027729118,1.1695300445230996,4367.681521640091,0.4999617834394905,nan,4671.843976156433,239.92419805765715,6.069749544352267,1.4284914779500597,3868.1926032539463,8.970033430806284,294.27944809410127,0.0,0.0,nan,nan,6583.45,1.0,13.810026928666252,0.0,0.0,nan,nan,6548.05,1.0,13.88468655302385,0.0,0.0,nan,nan,6716.44,1.0,13.536579167464883,0.0,0.0,nan,nan,6730.82,1.0,13.507659064352907,0.0,0.0,nan,nan,4682.315269310367,8.034908901115955,217.4787885479825,493.22126117016205,59.347034618591174,1.328826296952122,0.34755419566430956,5876.534428696668,1.613915122149198,31.509094474180635
