object_id,ra,dec,key,WFC3_F502N,WFC3_F606W,WFC3_F625W,WFC3_F656N,WFC3_F775W
16d23m44pt22264049s-24d38m43pt58535203s,16.39561740013605,-24.64544037556473,a141,-0.0033686542414222494,-0.00023762774997967216,-0.0004588373903141787,-0.06360112147048756,-0.0005982514187037949
16d22m38pt21034632s-24d38m27pt78536621s,16.37728065175652,-24.641051490613766,a141,0.014897143958419711,0.00012268792869825815,0.0001600001595837144,0.01796024749854681,0.0005876667435336296
16d23m19pt35750823s-24d38m39pt98629732s,16.388710418951817,-24.644440638143095,a141,0.699053557661688,0.024838428324448956,0.03947445536603213,3.4651165717562153,0.0500113578533097
16d23m11pt21592155s-24d39m07pt58635986s,16.386448867097652,-24.65210732218444,a141,0.29731597621361977,0.011544073867085133,0.018960442866515784,1.6302453732540918,0.024775949828310696
16d23m34pt54069919s-24d38m44pt18585516s,16.39292797199671,-24.645607181989106,a141,0.000988022849046493,8.001277012994366e-05,0.00013634148840605356,-0.03949400588408942,3.818387744346879e-06
16d23m25pt29930915s-24d39m00pt18617469s,16.39036091920871,-24.65005171519112,a141,0.08473962420872178,0.0029268081344969604,0.004683133650514971,0.3866812003233002,0.005396949168922272
16d22m51pt19268571s-24d38m24pt38599595s,16.380886857140663,-24.640107221096084,a141,0.1721932026310055,0.00676517348733481,0.011403942131494739,1.0486162638494816,0.015714662847281045
16d23m41pt80164201s-24d38m36pt18549406s,16.39494490055822,-24.64338485946044,a141,0.12738758378446155,0.0049205080490422265,0.008403856408000279,0.742727502809279,0.011267625697471783
16d23m22pt87887854s-24d39m05pt98623242s,16.389688577373406,-24.651662842339338,a141,0.02135861555139981,0.0007202728456892055,0.001133126381521502,0.06765722539753033,0.0009879586310522553
16d23m13pt19641962s-24d39m05pt18635586s,16.38699900544912,-24.65144065440608,a141,0.08952504009590755,0.0036076512223536666,0.005913499288202575,0.5025654468671006,0.00773212035520998
16d23m11pt43597948s-24d39m09pt38635975s,16.386509994298763,-24.65260732215406,a141,0.2382089740935345,0.009281002215337123,0.0153845964288089,1.3080251165051024,0.02033806458146532
16d23m07pt47497254s-24d39m05pt98634781s,16.385409714594214,-24.65166287439066,a141,0.02302675663148347,0.0008646501809019981,0.0014047015259084402,0.09456026391772378,0.001909436281660891
16d23m11pt21592114s-24d39m05pt98635988s,16.38644886698423,-24.65166287774384,a141,0.21254791138051168,0.008267845932194675,0.013550287018236908,1.1533399874547092,0.017850810758779388
16d22m47pt01172308s-24d38m29pt78582689s,16.379725478634004,-24.641607174134943,a141,0.017548202966075524,0.0007581082456480889,0.00129742161931528,0.10243548232375885,0.001754228973612865
22d58m24pt2009025s-13d37m11pt13269827s,22.97338913958469,-13.619759082851651,a209,0.00788066382715392,0.00037616357350544165,0.0005457733615354903,0.04413327755454788,0.0003906440369444053
22d58m00pt12367413s-13d36m18pt73309771s,22.966701020591856,-13.605203638253256,a209,-0.007379857826836075,-0.0003400018213800187,-0.0006724028550295578,0.0042583245244644605,-0.001206153515218459
22d58m06pt50286053s-13d36m36pt13305433s,22.968473016813828,-13.61003695953594,a209,0.38820721953999826,0.01932774392080541,0.03461125507493079,3.3718133092538998,0.05411397932806499
0d47m35pt7414972s-6d05m45pt46070142s,0.7932615269987924,-6.0959613059510875,a2697,0.007607900849023262,0.0003433877286712886,0.0006219170830839885,0.043631323697256856,0.0011786081190657024
0d47m48pt01092374s-6d05m28pt46077468s,0.796669701037554,-6.091239104079102,a2697,0.08378851701693361,0.004848150881187476,0.009228276571261894,0.8678955485022557,0.016219942169117797
0d48m10pt33722465s-6d05m57pt46071002s,0.8028714512914789,-6.099294641672274,a2697,0.0037630758692354022,0.00036811486510328556,0.0006941239915835602,0.04535829517614674,0.0014662362403731481
10d32m29pt62604642s-28d32m14pt41093398s,10.541562790672964,-28.537336370549756,a2811,0.10296372285385072,0.004465258947080299,0.007822305040548483,0.7531539766691984,0.012494476383972157
10d51m12pt20802915s-20d36m51pt92323091s,10.853391119208057,-20.6144231196972,a2813,1.4049495255342037,0.09981894469066102,0.19109655468973058,21.20950896696111,0.4009861792888248
36d28m16pt31991583s-41d54m50pt94375995s,36.47119997661891,-41.91415104443093,a3017,1.379168765170379,0.05540580170927824,0.09435874862965772,8.650844004775207,0.16087235117816961
2d56m01pt6186889s-15d22m59pt00637594s,2.93378296913935,-15.383057326648919,macs0011m15,0.016159012880144943,0.0006847048721525238,0.0013695313156947692,0.17178945046345398,0.0023956827178150735
2d55m43pt77956828s-15d22m53pt40661766s,2.9288276578549586,-15.381501838238446,macs0011m15,0.025694834802152212,0.0007527289119794309,0.0013199012700855419,0.10850891270410391,0.0017410176403956056
4d45m34pt18986889s-40d51m43pt60755318s,4.759497185801797,-40.86211320921588,macs0018m40,0.06973373750034155,0.0029937511009585646,0.00518331062521886,0.48828453449067827,0.008067669924614357
