ra,dec,z,name
28.124541666666662,-28.888455277777776,0.3685089804926993,macs0152m28
34.32297499999999,-52.7674625,0.3349215989090131,macs0217m52
34.320095833333326,-52.76732861111111,0.3393521284276051,macs0217m52
2.9239874999999995,-15.395913055555555,0.3760380109625232,macs0011m15
4.784083333333332,-20.446757777777776,0.2660190867075356,s26
6.9322583333333325,26.267455555555554,0.415384105695892,macs0027p26b
7.017049999999999,-75.62298805555555,0.4005106205372235,macs0028m75
7.021787499999999,-75.62974,0.40038739037551063,macs0028m75
8.051649999999999,18.150836666666667,0.21909970669067147,macs0032p18
8.620391666666665,2.425245555555555,0.39564265773743856,macs0034p02a
10.197187499999998,-44.1385,0.33941884660994015,macs0040m44
22.968974999999997,-13.609737222222222,0.4161413873607225,a209
24.515774999999998,-21.92968,0.30849196232119125,macs0138m21
