CUBEKEY,DIR,DATE,TIME,OBJECT,FWHM_XY_AVG,FWHM_MAX,FWHM_MIN
macs0723m73,cubes_new,2019-08-08,12:44:00,SMACSJ0723.6-7327,0.937,1.192,0.808
rbs653,cubes_new,2019-10-23,16:17:18,RBS653,1.0474999999999999,1.244,0.834
rxj0303m77,cubes_new,2022-09-26,03:50:45.545799,RXCJ0303.7-7752,N/A,N/A,N/A
rxj0312p08,cubes_new,2019-11-19,13:06:25,RXCJ0312.9+0822,0.925,1.055,0.784
rxj0331m21,cubes_new,2019-10-23,16:39:38,RXCJ0331.1-2100,1.045,1.202,0.912
rxj0409p11,cubes_new,2022-09-29,19:41:00.148550,RXCJ0409.2+1108,N/A,N/A,N/A
rxj0437p00,cubes_new,2020-02-17,12:44:17,RXCJ0437.1+0043,0.839,1.268,0.68
rxj0439p05,cubes_new,2020-01-21,09:37:40,RXCJ0439.0+0520,0.907,1.107,0.782
rxj0439p07,cubes_new,2020-02-14,14:09:28,RXCJ0439.0+0716,0.913,1.155,0.729
rxj0510m08,cubes_new,2020-02-07,19:00:13,RXCJ0510.6-0801,0.861,1.131,0.715
rxj0532m37,cubes_new,2020-02-17,18:34:09,RXCJ0532.0-3701,0.792,1.003,0.578
s520,cubes_new,2020-01-17,11:27:50,Abells520,0.989,1.389,0.832
z2089,cubes_new,2020-03-02,14:24:46,Zw2089,0.9615,1.152,0.777
