object_id,ra,dec,z,oiii5007_flux,oiii5007_flux_err,oiii5007_ew,oiii5007_ew_err,oiii5007_centroid,oiii5007_fwhm,oiii4959_flux,oiii4959_flux_err,oiii4959_ew,oiii4959_ew_err,oiii4959_centroid,oiii4959_fwhm,oii3726_flux,oii3726_flux_err,oii3726_ew,oii3726_ew_err,oii3726_centroid,oii3726_fwhm,oii3729_flux,oii3729_flux_err,oii3729_ew,oii3729_ew_err,oii3729_centroid,oii3729_fwhm,halpha_flux,halpha_flux_err,halpha_ew,halpha_ew_err,halpha_centroid,halpha_fwhm,hbeta_flux,hbeta_flux_err,hbeta_ew,hbeta_ew_err,hbeta_centroid,hbeta_fwhm,hgamma_flux,hgamma_flux_err,hgamma_ew,hgamma_ew_err,hgamma_centroid,hgamma_fwhm,hdelta_flux,hdelta_flux_err,hdelta_ew,hdelta_ew_err,hdelta_centroid,hdelta_fwhm,oiii4363_flux,oiii4363_flux_err,oiii4363_ew,oiii4363_ew_err,oiii4363_centroid,oiii4363_fwhm,neiii_flux,neiii_flux_err,neiii_ew,neiii_ew_err,neiii_centroid,neiii_fwhm,nii6583_flux,nii6583_flux_err,nii6583_ew,nii6583_ew_err,nii6583_centroid,nii6583_fwhm,nii6548_flux,nii6548_flux_err,nii6548_ew,nii6548_ew_err,nii6548_centroid,nii6548_fwhm,sii6716_flux,sii6716_flux_err,sii6716_ew,sii6716_ew_err,sii6716_centroid,sii6716_fwhm,sii6731_flux,sii6731_flux_err,sii6731_ew,sii6731_ew_err,sii6731_centroid,sii6731_fwhm,heii4686_flux,heii4686_flux_err,heii4686_ew,heii4686_ew_err,heii4686_centroid,heii4686_fwhm,hei5876_flux,hei5876_flux_err,hei5876_ew,hei5876_ew_err,hei5876_centroid,hei5876_fwhm,oiii5007_oiii4959_ratio,oiii5007_oiii4959_ratio_err,oiii5007_oii3726_ratio,oiii5007_oii3726_ratio_err,oiii5007_oii3729_ratio,oiii5007_oii3729_ratio_err,oiii5007_halpha_ratio,oiii5007_halpha_ratio_err,oiii5007_hbeta_ratio,oiii5007_hbeta_ratio_err,oiii5007_hgamma_ratio,oiii5007_hgamma_ratio_err,oiii5007_hdelta_ratio,oiii5007_hdelta_ratio_err,oiii5007_oiii4363_ratio,oiii5007_oiii4363_ratio_err,oiii5007_neiii_ratio,oiii5007_neiii_ratio_err,oiii5007_nii6583_ratio,oiii5007_nii6583_ratio_err,oiii5007_nii6548_ratio,oiii5007_nii6548_ratio_err,oiii5007_sii6716_ratio,oiii5007_sii6716_ratio_err,oiii5007_sii6731_ratio,oiii5007_sii6731_ratio_err,oiii5007_heii4686_ratio,oiii5007_heii4686_ratio_err,oiii5007_hei5876_ratio,oiii5007_hei5876_ratio_err
224d52m06pt3822s-18d10m35pt5296s,224.8684395,-18.176536,0.6696983131945591,23044.91299030021,702.7094705339001,123.75047105416151,3.773528154755585,5006.8354673485355,1.6726315576680548,6664.370473546802,1343.2269445783545,41.76233881440867,8.417343991722827,4958.745264607626,1.6514807795080677,10307.025007651768,1441.4287629404926,109.16693938524641,15.266904492349312,3727.855520651972,4.247312811196008,18717.614747349016,2449.552235359621,-30.905462051643706,-4.044561482608133,3727.830400709201,6.54623504767559,0.0,502.15604940473327,0.0,nan,6562.8,1.0,5204.155217444531,442.9632993450878,90.20753105173094,7.678215562538627,4861.209825672248,1.6982334899652705,759.3936470036329,840.2218777778232,2.8737187415188306,3.179591199809871,4340.857918120208,0.9194905904487014,5078.592433638141,1104.4598543070322,-206.6775499563168,-44.946913873489315,4101.319610010849,10.03695263198522,103.32861236227406,1178294310.5265691,0.2794533297815565,3186709.4797020108,4374.5166352239485,0.2797528067480123,1655.846777794011,10741133301.923147,3.16493080326939,20530247.185412124,3868.85395125399,0.40181024697301904,0.0,502.15604940473327,0.0,nan,6583.45,1.0,0.0,502.15604940473327,0.0,nan,6548.05,1.0,0.0,502.15604940473327,0.0,nan,6716.44,1.0,0.0,502.15604940473327,0.0,nan,6730.82,1.0,603.414961079113,53413392946.595406,-64.3889977243959,-5699618104.828,4676.894054350279,0.28545855586830066,0.0,502.15604940473327,0.0,nan,5875.62,1.0,3.457927959103334,0.7048884475068602,2.235845258276956,0.32002758719130686,1.2311885516055976,0.16544020150085098,nan,nan,4.428175568832529,0.40037096921066184,30.34646534274992,33.589226839887104,4.537657489043982,0.9964741164447691,223.02547632696223,2543241836.4159107,13.917297964610963,90278614.32905266,nan,nan,nan,nan,nan,nan,nan,nan,38.19082136957294,3380594583.0679913,nan,nan
224d52m17pt6016s-18d10m42pt97188s,224.871556,-18.1786033,0.6696917466718912,23637.339332383763,692.9637997485407,14.01824359695917,0.41096568493395796,5006.840637436018,1.8645494399827969,20288.566811214634,2315.0021216757964,7.307558564290908,0.8338200395334283,4960.4579851610415,4.356731367183546,15943.085819864667,1503.4759231633918,11.309879268482966,1.0665520694157107,3727.413105358618,6.577954729518491,10490.349109781944,1320.6962617045237,5.761443573190439,0.7253444961177591,3727.5649454567447,4.84830633937114,0.0,1026.7818587149534,0.0,nan,6562.8,1.0,42667.57611270851,7986.862941622706,6.499499971595986,1.2166291172738135,4862.839742816688,4.1881689387952346,2464.3591104749044,847.0465765413404,1.2503529667268776,0.42976983160957033,4340.787052936496,1.388298091599911,2048.765999722225,450703728.3514094,1.1897053752480837,261720.78623753195,4111.453894902772,0.4257700198724418,-5609.201748321588,1504.0668154474686,-2.7128725766182042,0.7274371292225048,4358.575571991285,13.076808125551407,16237.932467743509,4096.307888801445,13.670226885939426,3.448558389180253,3861.2310562294665,23.11168936771856,0.0,1026.7818587149534,0.0,nan,6583.45,1.0,0.0,1026.7818587149534,0.0,nan,6548.05,1.0,0.0,1026.7818587149534,0.0,nan,6716.44,1.0,0.0,1026.7818587149534,0.0,nan,6730.82,1.0,567.5946101760596,5607.554405396952,0.22029798561757394,2.176435289557663,4699.784987755078,0.7284443937385627,0.0,1026.7818587149534,0.0,nan,5875.62,1.0,1.165057125637779,0.1372550465298221,1.4826075453305443,0.146414190220476,2.2532462061098264,0.2912649784671648,nan,nan,0.5539883322629943,0.1049641170501333,9.591678108889184,3.308810261532957,11.537354356519266,2538078.347893156,-4.214029088801564,-1.1366947567635062,1.4556865154685859,0.36969425786784343,nan,nan,nan,nan,nan,nan,nan,nan,41.64475650156685,411.4314367066166,nan,nan
224d52m10pt25796s-18d10m42pt62304s,224.8695161,-18.1785064,0.6692270052588734,65045.04426309208,1129.8698023173845,16.465675429969693,0.28601824556891586,5006.84038985471,1.6212414640222983,22331.345202169163,923.4938615722335,4.792395169762029,0.1981854420965988,4958.951617374043,1.6567486530054616,15459.017561610755,1821.6543176757575,4.093373699939703,0.48235354184943413,3727.934041578095,4.015849274540061,9499.3775638593,1308.78490659108,2.3939526537715703,0.32982888397552906,3728.7153721630307,1.7846441602619705,0.0,1251.4568915418731,0.0,nan,6562.8,1.0,19205.247788612982,3079.0835220419476,4.445359420803524,0.7127027514982456,4861.387564230603,2.1574459731560345,9794.913007690922,2102.168837813781,2.533586048812622,0.5437542564749342,4340.518826216088,1.8934271360983683,3999.487082007236,675.2427100257561,0.9477501886536096,0.1600108695669809,4101.792428893949,1.6083290023922703,175.35465100321792,416650956.1484284,0.03978571331910645,94532.73922656757,4364.519040203971,0.28860474212689824,6100.178780928943,669.6018790483442,1.6520654119690064,0.1813432267958491,3868.573657105727,1.8153774640357714,0.0,1251.4568915418731,0.0,nan,6583.45,1.0,0.0,1251.4568915418731,0.0,nan,6548.05,1.0,0.0,1251.4568915418731,0.0,nan,6716.44,1.0,0.0,1251.4568915418731,0.0,nan,6730.82,1.0,2881.3580918003245,1782.1831105421338,0.7527918690852474,0.46561826475337853,4687.7677415474855,1.8554971757367411,0.0,1251.4568915418731,0.0,nan,5875.62,1.0,2.91272396150922,0.13064801877260984,4.207579427596866,0.501169321029026,6.847295396548731,0.9508604256520391,nan,nan,3.3868370238710512,0.5461727964615593,6.640696472956829,1.4298763737466036,16.26334650653446,2.7602732878138947,370.93424035783596,881357323.7384343,10.662809501000714,1.184995544249364,nan,nan,nan,nan,nan,nan,nan,nan,22.574439618662865,13.96829073153211,nan,nan
224d52m07pt27968s-18d10m42pt58416s,224.8686888,-18.1784956,0.6693541089110797,33492.93591876784,636.3569982143462,15.504110033345603,0.29457402434751073,5006.840329526391,1.824703401780688,11693.02181795141,1144.7050168510996,5.041541097366354,0.4935488427770112,4958.892683537438,1.6368019249370378,19475.20458280359,2068.94801221519,10.388748430695307,1.1036485046256983,3727.643783650383,4.582415816889857,19759.126301999015,2141.1958575123226,10.85615339595042,1.1764260385124254,3727.7125887964185,4.598762558969688,0.0,712.7691660743928,0.0,nan,6562.8,1.0,7710.8826186478045,534.720052586865,3.3143800343006435,0.22983950785972193,4861.20285352902,1.6869554547742327,2585.2743467787677,1474.2841130977613,1.0884126593784065,0.620680545650958,4340.247767212822,1.0669863472352215,2301.2025698744446,614.5687212244559,0.9597391128731775,0.2563119157909439,4101.515457251333,1.4136107908767732,1288.340606658234,552.0492406403856,0.5776214170757012,0.24750866581887876,4368.168813424141,2.6554498630437333,2526.0666802184487,497.379874157062,1.259396394687387,0.24797382634780665,3868.8543732924836,1.2637191219171668,0.0,712.7691660743928,0.0,nan,6583.45,1.0,0.0,712.7691660743928,0.0,nan,6548.05,1.0,0.0,712.7691660743928,0.0,nan,6716.44,1.0,0.0,712.7691660743928,0.0,nan,6730.82,1.0,5.264143975909432e-11,nan,1.8859289229859792e-14,nan,4700.39460470933,1.0456636994677688,0.0,712.7691660743928,0.0,nan,5875.62,1.0,2.864352469380385,0.2856421524095333,1.7197732520017666,0.18559900562150605,1.6950615835366865,0.18648715038535116,nan,nan,4.3435930197885995,0.31231246612538477,12.955273377659044,7.392001445834828,14.554536118302371,3.8968191508610226,25.99695743941782,11.15054652623952,13.258927874331269,2.622795107524995,nan,nan,nan,nan,nan,nan,nan,nan,636246578209928.5,nan,nan,nan
224d52m05pt48472s-18d10m44pt75496s,224.8681902,-18.1790986,0.6695000244102056,29738.85470597071,759.0240632379655,17.10750589820589,0.43663445573499765,5006.840301654307,1.5840873111798037,9343.885639589416,1310.13181236717,5.492505018953094,0.7701191808714166,4958.859650163246,1.866216531672856,13746.025718188843,1638.2006543015493,8.889436126123469,1.059410216213829,3727.488267083175,4.544225132210013,15691.171928167361,1804.8544139769917,11.487448747797758,1.3213272197074681,3727.4084646684432,4.892681412539111,0.0,660.3761237127245,0.0,nan,6562.8,1.0,5663.228608940686,414.60748706793237,3.0273197148413384,0.22163142373239886,4861.260384161589,1.43957443117692,2385.766246200533,900.0497777042815,1.4572918170201923,0.5497752254849549,4340.585495266133,1.2651854265774063,1102.433894395271,27914017.050517052,0.5826505566277693,14752.918660145444,4101.397713158247,0.47801022678131033,304.7689917496836,62403831.176225565,0.14201819584852018,29079.334701353826,4376.84196921932,0.4551219724393545,19729.26144675146,4728.601440209936,16.642140728554427,3.988697236823142,3873.0261298297437,28.2981774735067,0.0,660.3761237127245,0.0,nan,6583.45,1.0,0.0,660.3761237127245,0.0,nan,6548.05,1.0,0.0,660.3761237127245,0.0,nan,6716.44,1.0,0.0,660.3761237127245,0.0,nan,6730.82,1.0,466.7384031984308,209343445862.0605,0.23601388840807005,105857928.83566028,4684.381262684123,0.29854814364628385,0.0,660.3761237127245,0.0,nan,5875.62,1.0,3.1827074787783336,0.4535892472219064,2.163451117847105,0.2636785937008324,1.8952602675002386,0.22330188613704283,nan,nan,5.251219182467967,0.4071368662753731,12.465116711803393,4.713316608432501,26.975635325765868,683032.650085011,97.57834789963202,19979928.777613282,1.5073475905945473,0.36331549297465154,nan,nan,nan,nan,nan,nan,nan,nan,63.71632268135311,28578309512.068596,nan,nan
224d52m04pt70928s-18d10m46pt848s,224.8679748,-18.17968,0.6697092798270929,19541.816635950276,878.5119877156545,11.143499275875337,0.5009614961255697,5006.845499023975,1.7934654647952157,7866.056848596977,1356.1581581863045,4.426112477038798,0.7630899013725015,4959.097616983093,2.159938338784089,4756.99319731128,934.598406934156,2.2188553149185286,0.4359347504874189,3728.8735372083593,1.4624859680286255,5956.177843393067,928.9225117886944,3.235007312749342,0.5045301194200086,3728.8578569888905,1.7419816527036138,0.0,549.342754202781,0.0,nan,6562.8,1.0,4507.54270931201,325.5542205164416,2.37520270768837,0.17154740752041633,4861.421954477095,1.6997430433777758,1816.5312299771742,1186.8693823478864,0.9047360965769283,0.5911286051193239,4340.214613390759,1.5050242177564148,2019.3905594019468,606.1278780969584,1.2254271548016304,0.3678166948162218,4102.249888533854,2.293371490835048,295.3999603507214,1628703426.7764988,0.15237407412807788,840122.5795347018,4363.209953473371,0.2920092242971662,190.70551512735668,780828.6165305235,0.08685470380200694,355.6197006866788,3854.482084961325,0.5220325421987686,0.0,549.342754202781,0.0,nan,6583.45,1.0,0.0,549.342754202781,0.0,nan,6548.05,1.0,0.0,549.342754202781,0.0,nan,6716.44,1.0,0.0,549.342754202781,0.0,nan,6730.82,1.0,3087.172274415667,158261502.60860607,1.600625876019682,82054.84946609876,4684.096583916701,0.45830826880843695,0.0,549.342754202781,0.0,nan,5875.62,1.0,2.484321816137883,0.442634387593508,4.108018621299603,0.8279547456240606,3.280932361283869,0.532526367740997,nan,nan,4.3353591737643145,0.36882032398558756,10.757765302056399,7.045433383573163,9.677086259994049,2.937013025237272,66.15375510798559,364742254.90953535,102.47116672477924,419560.0704015671,nan,nan,nan,nan,nan,nan,nan,nan,6.3300052277287016,324502.8297135374,nan,nan
224d52m13pt15452s-18d10m55pt9956s,224.8703207,-18.182221,0.6697070512808132,24029.039838456545,620.5047658885698,74.14778893322683,1.9147272101789603,5006.837831225861,1.6355738785051142,8801.689025240405,1576.951233604172,23.098026969782545,4.138349130418879,4958.833044366232,1.4470784566293202,12388.811157196254,1861.5024064766862,-133.59079244807984,-20.07291728559268,3727.6688796014,4.6236117488906245,11406.294004249628,1900.6107055098064,282.50833704442874,47.07386725104293,3727.598535204822,4.491117681990097,0.0,556.9456471695755,0.0,nan,6562.8,1.0,5515.167527632052,341.65235415112505,36.96397998588075,2.289836295579119,4861.260264193137,1.5127277145116844,909.6930485975262,64071052.42714085,1.8935662127516582,133366.7221910922,4339.817862733155,0.42158676870591955,1585.657388938256,36297125.582159154,17.92115312620608,410231.3337905655,4093.2428672948263,0.4305490798110522,1210.6824489710511,1337.6147488242987,5.4557637410583455,6.027765622887105,4357.548152067457,0.9938082844131608,13057.921483267559,2401.8246327659685,-75.23871064689311,-13.8391235389814,3862.990385763768,23.173565020518808,0.0,556.9456471695755,0.0,nan,6583.45,1.0,0.0,556.9456471695755,0.0,nan,6548.05,1.0,0.0,556.9456471695755,0.0,nan,6716.44,1.0,0.0,556.9456471695755,0.0,nan,6730.82,1.0,3324.424857323757,15457686.006616145,-58.84426426531025,-273610.08274849557,4685.491795445099,0.497419475412232,0.0,556.9456471695755,0.0,nan,5875.62,1.0,2.730048717870969,0.4941825050301327,1.9395759232716097,0.2957069217066787,2.106647420231679,0.3552172644905242,nan,nan,4.356901167202342,0.29241137805913403,26.414448121266968,1860409.390860991,15.153992284894661,346888.53019160044,19.84751646385774,21.9343901462866,1.8401887214015948,0.34179673487384266,nan,nan,nan,nan,nan,nan,nan,nan,7.228029168871186,33608.401493767175,nan,nan
224d52m16pt1328s-18d10m56pt96472s,224.871148,-18.1824902,0.6694294231075677,23611.10891244389,1978.0881771186682,-34.78696260535899,-2.914377283282262,5006.8538860404815,1.952135669268318,6586.5328757685475,931.9332553775075,45.50512647072911,6.4385529455485235,4958.766524209507,1.6658521112624052,13463.16544908598,1446.5329686536988,-159.3018211466274,-17.115984879381827,3727.604433472767,4.868865121785621,10212.900538080603,1605.3651855626242,37.42758783449105,5.883240149558082,3727.6013467630182,4.116314158142139,0.0,474.1982742199939,0.0,nan,6562.8,1.0,4610.191396191248,412.63956933426107,41.603305672173946,3.7237434761668013,4861.10736903386,1.8422028437080527,3579.227686132799,1352.8324685687076,25.465918004605694,9.62529454385227,4345.439609509324,8.616701023454414,768.1886102424373,534.3725851176972,2.174070721424822,1.5123418599890865,4101.7336748936195,0.8062652802590576,2345.5142151785844,19787114637.162106,5.298173988446237,44696201.54019575,4359.064867686546,0.3955694628914437,13052.856215543196,1757.740180284098,-62.92652855723156,-8.473891524150039,3867.127185477568,20.859678139391566,0.0,474.1982742199939,0.0,nan,6583.45,1.0,0.0,474.1982742199939,0.0,nan,6548.05,1.0,0.0,474.1982742199939,0.0,nan,6716.44,1.0,0.0,474.1982742199939,0.0,nan,6730.82,1.0,3345.8015562086275,180469512.36080763,-46.687951187629196,-2518305.895435253,4686.316618820551,0.4610519842107723,0.0,474.1982742199939,0.0,nan,5875.62,1.0,3.5847553421175076,0.5894536140182725,1.75375612828459,0.2389417200560761,2.3118906156390833,0.4117983143871819,nan,nan,5.1215029666556635,0.6278813345680937,6.596704927133226,2.553856312005901,30.736083036941043,21.535345216160408,10.066495764403701,84922489.23317525,1.808884471149544,0.28688316698143757,nan,nan,nan,nan,nan,nan,nan,nan,7.056936436839776,380644.7740918598,nan,nan
224d52m15pt81168s-18d10m58pt48392s,224.8710588,-18.1829122,0.6692467697199904,11905.702541628794,762.620782372374,114.12020985774866,7.309979685945466,5006.819265566096,1.6009282177102826,5224.980910568669,1572.0994844913253,-15.28024902984028,-4.597542466446351,4958.891152749648,1.727555006142276,2559.5893111078,648.5835167935425,21.79919684234803,5.52377668164489,3728.8854552142307,1.2263908686349796,1848.820198305243,1247.206896269599,4.593558763588705,3.09879682925316,3728.9798020957505,0.77371418665805,0.0,465.8158261695438,0.0,nan,6562.8,1.0,4110.359725065757,408.51033850653323,-46.334836621140255,-4.6050129572160765,4861.061205727906,1.8109676279877185,1607.1150798855376,442.6029131170214,-25.649543954867724,-7.063938990203549,4342.622231411002,1.488490148547545,3038.318598051229,15354864.890910294,22.071040635980932,111541.24757839627,4111.689344370751,0.4845283820071933,910.4727268723371,103235595.09669183,2.9095380313747357,329903.2263791735,4375.9917110391025,0.4349664518753734,1077.6481770434243,508.43701282728307,7.596614919421652,3.584101267471712,3868.5833332500274,1.5739524291533507,0.0,465.8158261695438,0.0,nan,6583.45,1.0,0.0,465.8158261695438,0.0,nan,6548.05,1.0,0.0,465.8158261695438,0.0,nan,6716.44,1.0,0.0,465.8158261695438,0.0,nan,6730.82,1.0,-4740.98373514366,2631.3691292875733,-58.26525993832661,32.33873281933603,4682.6529070837405,26.86339784787067,0.0,465.8158261695438,0.0,nan,5875.62,1.0,2.2786116821110105,0.7009561413295472,4.651411259596158,1.2157134393477147,6.439621631428729,4.363683351697761,nan,nan,2.8965110934270673,0.3424815445690179,7.408120731762871,2.094670025081324,3.918516823503989,19803.15574577583,13.076396678599428,1482690.8626611903,11.047856615219837,5.2602252061120165,nan,nan,nan,nan,nan,nan,nan,nan,-2.511230412662032,-1.4030495996748122,nan,nan
