UNIQUE_ID,FIELD_NAME,RA,DEC,Z,Z_ERR,LEAD_LINE,SN,QUALITY,CONFIDENCE,OTHER_LINES,GUO_ID,GUO_SEP,SKELTON_ID,SKELTON_SEP,STELLAR_MASS,DETECTED?_OIII,WFoiii5007_flux,WFoiii5007_flux_err,WFoiii5007_centroid,WFoiii4959_flux,WFoiii4959_flux_err,WFoiii4959_centroid,WFoii_flux,WFoii_flux_err,WFoii_centroid,WFhalpha_flux,WFhalpha_flux_err,WFhalpha_centroid,WFhbeta_flux,WFhbeta_flux_err,WFhbeta_centroid,DETECTED?_Hb,RAJ2000,DEJ2000,F606W,e_F606W,F814W,e_F814W,F125W,e_F125W,F140W,e_F140W,F160W,e_F160W,WFoiii5007_ew,WFoiii4959_ew,WFhbeta_ew
146015241,candels-cdfs-46,53.045396605378535,-27.77223966463486,3.496229410171509,0.0012175585143268108,Lya,5.287790775299072,c,1,none,0,nan,0,nan,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,,,,,,,,,,,,nan,nan,nan
146020246,candels-cdfs-46,53.05763576710956,-27.773166447762353,3.656590461730957,0.0006659117061644793,Lya,6.609196662902832,c,2,none,0,nan,0,nan,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,,,,,,,,,,,,nan,nan,nan
121019045,candels-cdfs-21,53.223597069092406,-27.83071796322433,4.271299839019775,0.0010300000431016088,Lya,6.560364629978345,c,2,none,0,nan,0,nan,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,,,,,,,,,,,,nan,nan,nan
146024261,candels-cdfs-46,53.05075691791811,-27.78158569847074,3.768305778503418,0.0008655108395032585,Lya,7.1501994132995605,c,2,none,0,nan,0,nan,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,,,,,,,,,,,,nan,nan,nan
146025262,candels-cdfs-46,53.05372093239555,-27.775664753548266,3.7715437412261963,0.0009479065192863345,Lya,5.447033882141113,c,2,none,0,nan,0,nan,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,,,,,,,,,,,,nan,nan,nan
146035286,candels-cdfs-46,53.042191025840154,-27.77702329173072,3.9222488403320312,0.0004998392541892827,Lya,6.673686504364014,c,2,none,0,nan,0,nan,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,,,,,,,,,,,,nan,nan,nan
146036287,candels-cdfs-46,53.05754129141585,-27.782474127898624,3.9464306831359863,0.0005107041797600687,Lya,8.151015281677246,b,2,none,0,nan,0,nan,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,,,,,,,,,,,,nan,nan,nan
146042314,candels-cdfs-46,53.04720839061796,-27.785891303633353,4.225133895874023,0.00035187765024602413,Lya,13.909168243408203,c,3,none,0,nan,0,nan,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,,,,,,,,,,,,nan,nan,nan
120021030,candels-cdfs-20,53.19707056926215,-27.82381916061631,5.076079845428467,0.0002899999963119626,Lya,6.703577257504881,c,1,none,0,nan,0,nan,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,,,,,,,,,,,,nan,nan,nan
122017083,candels-cdfs-22,53.131412631593506,-27.832397526707307,0.21450094115348567,1.266566745594988e-05,Ha,15.696756178479973,a,3,O3_2,0,nan,0,nan,0.0,1,1124.420166015625,231.55597686767578,6081.84605632384,nan,nan,nan,nan,nan,nan,1287.5726318359375,320.8403778076172,7971.56514327433,nan,nan,nan,0,,,,,,,,,,,,,nan,nan,nan
145033088,candels-cdfs-45,53.049344190971794,-27.79187495483573,4.193633556365967,0.0009504093904979527,Lya,5.693027019500732,c,1,none,0,nan,0,nan,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,,,,,,,,,,,,nan,nan,nan
145023066,candels-cdfs-45,53.05761203893203,-27.788919907368815,4.051641941070557,0.0004451485292520374,Lya,10.112258911132812,c,2,none,0,nan,0,nan,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,,,,,,,,,,,,nan,nan,nan
122024117,candels-cdfs-22,53.12980221260742,-27.82894342281111,0.2317968454217187,1.0540443881389446e-05,Ha,19.046049089723912,a,3,O3_2,0,nan,0,nan,0.0,1,930.2046966552734,202.2997283935547,6168.322234946541,nan,nan,nan,nan,nan,nan,1390.3202819824219,195.69467544555664,8084.3115107417725,nan,nan,nan,0,,,,,,,,,,,,,nan,nan,nan
143007016,candels-cdfs-43,53.06912207212313,-27.794314685312184,3.5751779079437256,0.0004929690039716661,Lya,9.6790189743042,c,3,none,0,nan,0,nan,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,,,,,,,,,,,,nan,nan,nan
143009021,candels-cdfs-43,53.070794247952385,-27.79469887141272,3.6550099849700928,0.0005759936757385731,Lya,5.711591720581055,c,2,none,0,nan,0,nan,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,,,,,,,,,,,,nan,nan,nan
124011026,candels-cdfs-24,53.17021177204285,-27.81999384622975,3.9606099128723145,0.0004799999878741801,Lya,13.17903516649874,c,2,none,0,nan,0,nan,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,,,,,,,,,,,,nan,nan,nan
143033113,candels-cdfs-43,53.080642336356924,-27.786792723070015,4.720393180847168,0.0011151290964335203,Lya,5.332577705383301,c,2,none,0,nan,0,nan,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,,,,,,,,,,,,nan,nan,nan
124005014,candels-cdfs-24,53.1535683875777,-27.821135848457065,3.569960117340088,0.000590000010561198,Lya,8.304581187191951,c,3,none,0,nan,0,nan,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,,,,,,,,,,,,nan,nan,nan
124003012,candels-cdfs-24,53.164607437893245,-27.819327282813855,3.336519956588745,0.0006500000017695129,Lya,6.705699852932488,c,2,none,0,nan,0,nan,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,,,,,,,,,,,,nan,nan,nan
143036117,candels-cdfs-43,53.081167478418955,-27.78653626097996,4.781816482543945,0.0022319152485579252,Lya,5.453657150268555,c,1,none,0,nan,0,nan,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,,,,,,,,,,,,nan,nan,nan
143037118,candels-cdfs-43,53.0761591018124,-27.78660224465908,4.782708644866943,0.0009295142372138798,Lya,7.541970729827881,c,1,none,0,nan,0,nan,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,,,,,,,,,,,,nan,nan,nan
123053193,candels-cdfs-23,53.14650163895574,-27.836919952762408,4.553890228271484,0.0005000000237487257,Lya,6.775670687815013,c,2,none,0,nan,0,nan,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,,,,,,,,,,,,nan,nan,nan
144003040,candels-cdfs-44,53.073940293898005,-27.776092404680977,3.077622890472412,0.0005498287500813603,Lya,5.2002973556518555,c,1,none,0,nan,0,nan,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,,,,,,,,,,,,nan,nan,nan
144008046,candels-cdfs-44,53.071460471606976,-27.76746810451351,3.414015769958496,0.0010484380181878805,Lya,5.109485626220703,c,2,none,0,nan,0,nan,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,,,,,,,,,,,,nan,nan,nan
146045320,candels-cdfs-46,53.057934922654255,-27.77402934106217,4.531680583953857,0.000717468443326652,Lya,6.769570350646973,c,2,none,0,nan,0,nan,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,,,,,,,,,,,,nan,nan,nan
