log10R23,log10R23_e,log10O32,log10O32_e,oiiiEW,hbetaEW,z,Mstellar
nan,nan,nan,nan,nan,nan,1.3376644849777222,0.0
nan,nan,nan,nan,nan,nan,4.836440086364746,0.0
nan,nan,nan,nan,nan,nan,4.49960994720459,0.0
nan,nan,nan,nan,nan,nan,4.43612003326416,0.0
nan,nan,nan,nan,nan,nan,4.812270164489746,0.0
nan,nan,nan,nan,nan,nan,4.038579940795898,0.0
nan,nan,nan,nan,nan,nan,3.3917601108551025,0.0
nan,nan,nan,nan,nan,nan,3.060800075531006,0.0
nan,nan,nan,nan,nan,nan,4.4151201248168945,0.0
nan,nan,nan,nan,nan,nan,5.317470073699951,0.0
nan,nan,nan,nan,nan,nan,6.247053623199463,0.0
nan,nan,nan,nan,nan,nan,4.43133020401001,0.0
nan,nan,nan,nan,nan,nan,3.955199956893921,0.0
nan,nan,nan,nan,nan,nan,3.570780038833618,0.0
nan,nan,nan,nan,nan,nan,3.0277299880981445,0.0
nan,nan,nan,nan,nan,nan,4.7700300216674805,0.0
nan,nan,nan,nan,nan,nan,3.9645400047302246,0.0
nan,nan,nan,nan,nan,nan,4.0329999923706055,0.0
nan,nan,nan,nan,nan,nan,3.057539939880371,0.0
nan,nan,nan,nan,nan,nan,5.7845988273620605,0.0
nan,nan,nan,nan,nan,nan,4.651861190795898,0.0
nan,nan,nan,nan,nan,nan,3.6306023597717285,0.0
nan,nan,nan,nan,nan,nan,0.6827070713043213,0.0
nan,nan,nan,nan,nan,nan,0.7276890277862549,0.0
nan,nan,nan,nan,nan,nan,4.943093299865723,0.0
nan,nan,nan,nan,nan,nan,5.080935001373291,0.0
nan,nan,nan,nan,nan,nan,2.927278757095337,0.0
nan,nan,nan,nan,nan,nan,0.2868778705596924,0.0
0.9966023435524761,0.08805780308552998,-0.14474601621491306,0.052425630804604315,nan,nan,0.3459875285625458,0.0
nan,nan,nan,nan,nan,nan,4.437527179718018,0.0
nan,nan,nan,nan,nan,nan,0.36438244581222534,0.0
nan,nan,nan,nan,nan,nan,3.196399688720703,0.0
nan,nan,nan,nan,nan,nan,4.060420989990234,0.0
nan,nan,nan,nan,nan,nan,3.2725000381469727,0.0
nan,nan,nan,nan,nan,nan,3.5318801403045654,0.0
nan,nan,nan,nan,nan,nan,3.6023781299591064,0.0
nan,nan,nan,nan,nan,nan,5.453219413757324,0.0
nan,nan,nan,nan,nan,nan,4.585824012756348,0.0
nan,nan,nan,nan,nan,nan,4.120666980743408,0.0
nan,nan,nan,nan,nan,nan,0.7931787967681885,0.0
nan,nan,nan,nan,nan,nan,4.1205573081970215,0.0
nan,nan,nan,nan,nan,nan,4.723980903625488,0.0
nan,nan,nan,nan,nan,nan,4.800931453704834,0.0
nan,nan,nan,nan,nan,nan,1.0566664934158325,0.0
nan,nan,nan,nan,nan,nan,6.063714027404785,0.0
nan,nan,nan,nan,nan,nan,0.621604323387146,0.0
nan,nan,nan,nan,nan,nan,4.438627243041992,0.0
nan,nan,nan,nan,nan,nan,4.533308506011963,0.0
nan,nan,nan,nan,nan,nan,0.642247200012207,0.0
nan,nan,nan,nan,nan,nan,3.5540857315063477,0.0
nan,nan,nan,nan,nan,nan,3.96506404876709,0.0
nan,nan,nan,nan,nan,nan,4.529952049255371,0.0
nan,nan,nan,nan,nan,nan,4.053464889526367,0.0
nan,nan,nan,nan,nan,nan,3.565392017364502,0.0
nan,nan,nan,nan,nan,nan,3.5409107208251953,0.0
nan,nan,nan,nan,nan,nan,5.129565715789795,0.0
nan,nan,nan,nan,nan,nan,3.771145820617676,0.0
nan,nan,nan,nan,nan,nan,4.066368103027344,0.0
nan,nan,nan,nan,nan,nan,0.3104937672615051,0.0
nan,nan,nan,nan,nan,nan,5.210728168487549,0.0
nan,nan,nan,nan,nan,nan,4.45028018951416,0.0
nan,nan,nan,nan,nan,nan,3.4782967567443848,0.0
nan,nan,nan,nan,nan,nan,3.2570533752441406,0.0
nan,nan,nan,nan,nan,nan,3.2351388931274414,0.0
nan,nan,nan,nan,nan,nan,0.3149123191833496,0.0
nan,nan,nan,nan,nan,nan,0.5457188487052917,0.0
nan,nan,nan,nan,nan,nan,5.036514759063721,0.0
nan,nan,nan,nan,nan,nan,4.894326210021973,0.0
nan,nan,nan,nan,nan,nan,4.825577259063721,0.0
nan,nan,nan,nan,nan,nan,3.0156025886535645,0.0
nan,nan,nan,nan,nan,nan,4.781720161437988,0.0
nan,nan,nan,nan,nan,nan,3.2567341327667236,0.0
nan,nan,nan,nan,nan,nan,5.249636650085449,0.0
nan,nan,nan,nan,nan,nan,4.503689765930176,0.0
nan,nan,nan,nan,nan,nan,4.472154140472412,0.0
nan,nan,nan,nan,nan,nan,4.13795280456543,0.0
nan,nan,nan,nan,nan,nan,0.44445323944091797,0.0
nan,nan,nan,nan,nan,nan,3.410693407058716,0.0
nan,nan,nan,nan,nan,nan,0.43594974279403687,0.0
nan,nan,nan,nan,nan,nan,4.49517297744751,0.0
nan,nan,nan,nan,nan,nan,3.5312466621398926,0.0
nan,nan,nan,nan,nan,nan,3.887239694595337,0.0
nan,nan,nan,nan,nan,nan,3.9179601669311523,0.0
nan,nan,nan,nan,nan,nan,4.057300090789795,0.0
nan,nan,nan,nan,nan,nan,4.123337268829346,0.0
nan,nan,nan,nan,nan,nan,4.440100193023682,0.0
nan,nan,nan,nan,nan,nan,4.500831127166748,0.0
nan,nan,nan,nan,nan,nan,4.6362833976745605,0.0
nan,nan,nan,nan,nan,nan,0.5607076287269592,0.0
nan,nan,nan,nan,nan,nan,5.172399997711182,0.0
nan,nan,nan,nan,nan,nan,3.3070068359375,0.0
nan,nan,nan,nan,nan,nan,3.3764750957489014,0.0
nan,nan,nan,nan,nan,nan,3.4154815673828125,0.0
nan,nan,nan,nan,nan,nan,3.6723756790161133,0.0
nan,nan,nan,nan,nan,nan,5.0473198890686035,0.0
nan,nan,nan,nan,nan,nan,3.793931245803833,0.0
nan,nan,nan,nan,nan,nan,0.8454376697364757,0.0
nan,nan,nan,nan,nan,nan,4.063980579376221,0.0
nan,nan,nan,nan,nan,nan,4.494657516479492,0.0
nan,nan,nan,nan,nan,nan,3.480034589767456,0.0
nan,nan,nan,nan,nan,nan,0.5141990780830383,0.0
nan,nan,nan,nan,nan,nan,6.075817584991455,0.0
nan,nan,nan,nan,nan,nan,3.694780111312866,0.0
nan,nan,nan,nan,nan,nan,3.5670249462127686,0.0
nan,nan,nan,nan,nan,nan,3.179208755493164,0.0
nan,nan,nan,nan,nan,nan,0.3674156665802002,0.0
nan,nan,nan,nan,nan,nan,3.2482686042785645,0.0
nan,nan,nan,nan,nan,nan,3.2466893196105957,0.0
nan,nan,nan,nan,nan,nan,3.6565306186676025,0.0
nan,nan,nan,nan,nan,nan,3.634652853012085,0.0
nan,nan,nan,nan,nan,nan,0.22053278982639313,0.0
