oiihb, oiiihb
-0.13219626519883465, 0.7744399900586754
0.032660696431835, 0.7477280831613411
0.056059645011126924, 0.7706795759808953
0.1870195770665577, 0.6349804955534184
0.17748906113936158, 0.5925947937715439
0.24215465990087826, 0.694288060685303
0.2849210359396669, 0.7171585100980085
0.358343098573379, 0.7606139848502858
0.39817452723695657, 0.7623807311195876
0.4314587656019866, 0.7466421015095683
0.3292193900039777, 0.7083571961142388
0.3671801928679703, 0.694288060685303
0.34992528247524635, 0.6587586311228293
0.3366051366954427, 0.635191208411225
0.3366051366954427, 0.635191208411225
0.22943117924680423, 0.5074667992176609
0.261264070008708, 0.5359940784284061
0.3023210810927034, 0.5036901764585111
0.2683917993485061, 0.4249484023643062
0.31915671328896855, 0.42379758598705464
0.2596514615607899, 0.377473174632333
0.3027726114581205, 0.3192840085149605
0.3058365675091649, 0.2935122051370713
0.3166249180257371, 0.24581005586592175
0.391627336938409, 0.3541488821412748
0.5019620069449668, 0.2860724203883599
0.4136878205059289, 0.28552132522178875
0.5492275605534471, 0.34024183352603643
0.5492275605534471, 0.34024183352603643
0.4519066407215885, 0.4058059496666414
0.3754367481213111, 0.42353824708513876
0.33850801466398606, 0.46995991052807873
0.3840319511487147, 0.4727478037236743
0.35548878162056385, 0.496671817425413
0.3307513680294999, 0.5578595895961875
0.37238891815474584, 0.5750732092108533
0.343845748626595, 0.5932431410263337
0.4824655708096368, 0.767810639378451
0.49330229957964666, 0.7129604616232452
0.4409409032757452, 0.6941745999157147
0.4409409032757452, 0.6941745999157147
0.4643398518550371, 0.6734274877624455
0.41267187718374054, 0.6074419459062272
0.4363288431146993, 0.5927568805852415
0.4535353752539857, 0.5167057475984136
0.4267983271875032, 0.5069157040510897
0.5033004719567389, 0.4987789460034794
0.5533880903490758, 0.5152631749565066
0.539164883838438, 0.65809407518667
0.5909618671855681, 0.6432145056892471
0.613909285399443, 0.5988675534616339
0.5607577109560618, 0.5856574781452946
0.5607577109560618, 0.5856574781452946
0.6697055376974099, 0.5508088132003501
0.640065794424675, 0.5198340231027738
0.6730113850156423, 0.419631954875031
0.6196824236429899, 0.44952076332083457
0.6196824236429899, 0.44952076332083457
0.6019921089693281, 0.4799606669332094
0.553758990292097, 0.46274704731854377
0.5490017953707387, 0.4335390034902693
0.49912381607663103, 0.4468787482575667
0.49912381607663103, 0.4468787482575667
0.5230387993592569, 0.5903417870611498
0.4884160959824547, 0.5865813729833698
0.4884160959824547, 0.5865813729833698
0.4884160959824547, 0.629988221691538
0.4884160959824547, 0.629988221691538
0.5118634228151842, 0.663475357401424
0.5118634228151842, 0.663475357401424
0.13199737682359136, 0.7554109981305988
0.13199737682359136, 0.7554109981305988
0.11717750518722381, 0.707838518310407
0.6190696324327809, 1.2259490182941983
0.8974381027124072, 1.3517770117675025
0.6467742455680143, 0.8058686232346044
0.8312082737564099, 0.852063365138368
0.8312082737564099, 0.852063365138368
0.8064708601653461, 0.8247517370303534
0.9397045701323412, 0.9277741158164312
1.1110764698926001, 0.935748787050344
1.1110764698926001, 0.935748787050344
0.9194340819420104, 0.7733377997255328
0.9006149413548059, 0.7059421025901471
0.9006149413548059, 0.7059421025901471
1.0331713557736757, 0.596484877300282
1.0331713557736757, 0.596484877300282
1.1093832310222862, 0.5680872675404947
1.1093832310222862, 0.5680872675404947
0.7415633701366415, 0.4845477237608462
0.7415633701366415, 0.4845477237608462
