z, sfr
0.13696332508335207, -0.004328762011381659
0.12207926800166363, -0.05776658270361046
0.11778382321858359, -0.01757626644276522
0.11778382321858359, -0.01757626644276522
0.10932929697887049, -0.24722455452934033
0.13303606128167889, -0.1944957552010449
0.12455426237667641, -0.33245638585688964
0.12173835968554617, -0.46799141710980496
0.11288156163281446, -0.7822371489877786
0.12368835525373806, -0.64293310943185
0.15976327326528802, -0.7748484000373168
0.16732461971677337, -0.9146748763877228
0.16640416726325621, -0.6592779177162049
0.16825189033661286, -0.5835618994309171
0.1637178097322506, -0.44664614236402644
0.18673593923650172, -0.4639611904095531
0.17181779132320152, -0.3569735982834219
0.17397915004738626, -0.1969959884317567
0.16772689152979198, -0.14273719563392095
0.20030409021797677, -0.5784121653139285
0.18957229642659904, -0.7131635413751283
0.18957229642659904, -0.7131635413751283
0.22355403737718776, -0.7658550237895325
0.24871988927297892, -0.3087974624498553
0.24871988927297892, -0.3087974624498553
0.23093811150429203, -0.3661908760145536
0.23093811150429203, -0.3661908760145536
0.21878813911786563, -0.25330721149360946
0.22949266024395398, -0.22908853437820698
0.22144722398358185, -0.16083589887116334
0.22144722398358185, -0.16083589887116334
0.20989725023352218, -0.08332866871909683
0.2158767820982225, 0.08220916130236011
0.1922245631259929, 0.1092266069596044
0.1922245631259929, 0.1092266069596044
0.17780414135422418, 0.27886929750909584
0.17780414135422418, 0.27886929750909584
0.21888359344637853, 0.2837578132288461
0.2517948822843584, 0.4943744752308983
0.2517948822843584, 0.4943744752308983
0.2542221494951148, 0.8126504338091238
0.26771530064704396, 0.9284075006996924
0.2582380494589785, 0.2602854743912677
0.2526607894072968, 0.1332213825916595
0.2526607894072968, 0.1332213825916595
0.25698350685566623, 0.04742979755574206
0.27079711182474586, -0.030040115682433033
0.27079711182474586, -0.030040115682433033
0.25060852134426964, -0.03082377087414878
0.27589028206754074, -0.1156824330627857
0.26802893629787206, -0.25468793730758454
0.26802893629787206, -0.25468793730758454
0.29713568832798104, -0.228603414497621
0.3714877920731998, -0.2603974251329415
0.4157036006736348, -0.29782628976583636
0.37488323890172975, -0.18449482227819747
0.3708877934368331, -0.05769194887582785
0.378537776050509, 0.08295549958018489
0.31397655914418376, 0.05791585035917546
0.31397655914418376, 0.05791585035917546
0.3481219360865089, 0.12083216717977407
0.3333878786639121, 0.21300494449109042
0.31926745621032676, 0.26271107379419734
0.31926745621032676, 0.26271107379419734
0.3102742948311481, 0.3207015579811552
0.36339462864857125, 0.3611530926392388
0.36339462864857125, 0.3611530926392388
0.3462333040152181, 0.3743632801567309
0.3462333040152181, 0.3743632801567309
0.33386515030647657, 0.5056815001399384
0.36085145261033497, 0.5994962216624686
0.35081511178383684, 0.7360014926765559
0.33955150101931586, 0.7712659763037597
0.31505382942311494, 1.5322324843735422
0.5060033954468285, 1.5534658083776471
0.47968527344256034, 1.4057654631961936
0.47968527344256034, 1.4057654631961936
0.38377412778607317, 0.9172124265323256
