z, logmass
0.13492386383679228, 9.216559096857187
0.10759245105532365, 7.967374187681593
0.1303662766770533, 7.96289396056513
0.1231277558939385, 7.588994610419855
0.12403080721970722, 7.45232550402555
0.12606972779116937, 7.318672788165103
0.11133164795108472, 7.185020072304655
0.12031277558939385, 7.019118592942533
0.16890822505732261, 7.502583893361723
0.15231465694632254, 7.563044780091823
0.17141278146863426, 7.647104486880919
0.1669045799282733, 7.763900902699226
0.19086366041507438, 7.765409097966154
0.22309835969192782, 7.680062989331736
0.23223469927685345, 7.884201654578925
0.25148098065729907, 7.758799654002262
0.2682156505379505, 7.98689200878302
0.25531189370333357, 8.044469581032226
0.27816332529837146, 8.18051766584603
0.23121171144688107, 7.991860181427019
0.23121171144688107, 7.991860181427019
0.21955670527367865, 8.096546676425577
0.22119348580163445, 8.127952624925145
0.22119348580163445, 8.127952624925145
0.22119348580163445, 8.127952624925145
0.20412722676230233, 7.978286424024663
0.18948086307249104, 8.010623904894981
0.18948086307249104, 8.010623904894981
0.16741254629901817, 8.018120522545301
0.16741254629901817, 8.018120522545301
0.1755964489387971, 8.101869718544148
0.1755964489387971, 8.101869718544148
0.1907931095302487, 8.130658504668752
0.1915621141748486, 8.462816332867567
0.20963725086718799, 8.400802892186217
0.22154624022576286, 8.380220462661077
0.22154624022576286, 8.380220462661077
0.2444541125286613, 8.336127930445583
0.2444541125286613, 8.336127930445583
0.2584372979011112, 8.407900281677644
0.24332529837145042, 8.479362122119458
0.24332529837145042, 8.479362122119458
0.24865189017578931, 8.56581719786191
0.26542889058733615, 8.62002351010269
0.26542889058733615, 8.62002351010269
0.25391498618378505, 8.735710958812962
0.25391498618378505, 8.735710958812962
0.265464166029749, 8.931377115354758
0.265464166029749, 8.931377115354758
0.21419483802692693, 8.806995364517489
0.3360432712093598, 8.125246745181538
0.3360432712093598, 8.125246745181538
0.32060673760950087, 8.258943819726307
0.3313093068375566, 8.27464679397609
0.3431689105767535, 8.308669904850621
0.3431689105767535, 8.308669904850621
0.30324416485390093, 8.46135249628496
0.30324416485390093, 8.46135249628496
0.32404256570051154, 8.935990418524186
0.32404256570051154, 8.941224743274114
0.32404256570051154, 8.941224743274114
0.3094244223646305, 8.860935524652339
0.314969721911929, 9.569388071949785
0.35627726497736495, 8.883780247077873
0.35627726497736495, 8.883780247077873
0.33992356987477224, 8.730565351431677
0.3815556470104063, 8.91806951005833
0.3815556470104063, 8.91806951005833
0.3819154565230173, 9.03180517665846
0.3819154565230173, 9.03180517665846
0.41266153213004886, 8.86506088229423
0.41266153213004886, 8.86506088229423
0.40362396378387916, 8.95541952225697
0.40362396378387916, 8.95541952225697
0.4301228761244048, 9.003371260008429
0.4301228761244048, 9.003371260008429
0.41788935269563177, 9.062590103577527
0.41788935269563177, 9.062590103577527
0.44340055264859785, 9.187859028101226
0.4374248927038627, 8.912214163727903
0.43590099359162804, 8.675959811032005
0.4383138338526663, 8.561292612061127
0.429106943382915, 8.487878989509172
0.4200270445058499, 8.400359305343004
0.4200270445058499, 8.400359305343004
0.37365394790993006, 8.295317940869873
0.38104768063966143, 8.389935014527468
0.38104768063966143, 8.389935014527468
