object_id,ra,dec,flux_HST_F218W,flux_HST_F225W,flux_HST_F275W,flux_HST_F435W,flux_HST_F606W,flux_HST_F814W,flux_HST_F125W,flux_HST_F160W,flux_Spitzer_I1_3.6,flux_Spitzer_I2_4.5,flux_Spitzer_I4_8.0,flux_Spitzer_M1_24
38d05m01pt605s-44d20m27pt16s,38.08377916666666,-44.34087777777778,-999.0,-999.0,-999.0,2.6853643363235737,5.2190355808715685,7.683958060065884,67.2492403451201,66.59510168898402,2.0601455985940444,3.7148714985469242,-999.0,-999.0
38d04m00pt81s-44d20m58pt424s,38.06689166666666,-44.349562222222225,-999.0,-999.0,-999.0,0.5728381278319779,4.092341421111794,7.9813005493590286,72.0469219242886,72.27428778031809,1.9150555422016162,1.7914524245730943,-999.0,-999.0
38d04m12pt825s-44d21m10pt642s,38.070229166666664,-44.35295611111111,-999.0,-999.0,-999.0,1.554497333928316,4.487337900376316,6.31626697681702,66.8181819390004,65.32571096992967,1.6659869907284293,1.0926200745448673,-999.0,-999.0
34d35m05pt955s-31d42m25pt197s,34.5849875,-31.706999166666662,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.3058828215046274,5.609645573808353,-999.0,-999.0
34d34m42pt045s-31d41m44pt286s,34.57834583333333,-31.695635,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.7006056887079284,1.7154478475532933,-999.0,-999.0
0d47m35pt895s-6d05m45pt616s,0.7933041666666666,-6.096004444444445,-999.0,-999.0,-999.0,-999.0,0.8664462404009913,1.1872099249976182,-999.0,-999.0,4.353661884863559,10.544775641998282,-999.0,-999.0
2d55m43pt935s-15d22m53pt365s,2.9288708333333324,-15.38149027777778,-999.0,-999.0,-999.0,-999.0,4.6266686711963265,5.545219408307759,-999.0,-999.0,-999.0,9.271890698623812,-999.0,-999.0
2d55m43pt275s-15d23m04pt376s,2.928687499999999,-15.384548888888888,-999.0,-999.0,-999.0,-999.0,2.485583824601053,3.834373008000102,-999.0,-999.0,3.9490587065475444,10.147619759857218,-999.0,-999.0
2d56m07pt62s-15d23m06pt546s,2.935449999999999,-15.385151666666664,-999.0,-999.0,-999.0,-999.0,2.1605151904974056,3.6786583724415527,-999.0,-999.0,3.6911548382476562,9.435644744293732,-999.0,-999.0
4d38m38pt61s16d26m31pt04s,4.644058333333333,16.441955555555555,-999.0,-999.0,-999.0,0.5570450989478001,,1.6567452915267822,-999.0,-999.0,4.052047013244814,14.855895474346635,248.17771150402342,-999.0
4d45m39pt18s-40d51m33pt895s,4.760883333333332,-40.85941527777778,-999.0,-999.0,-999.0,-999.0,2.9655723430504977,-999.0,-999.0,-999.0,1.4391580425264774,3.9699380464325165,-999.0,-999.0
4d46m35pt34s-20d26m04pt362s,4.776483333333333,-20.434545,-999.0,-999.0,-999.0,-999.0,1.2916699071047397,1.4230794875656396,-999.0,-999.0,1.5008960363382347,3.8280593979124635,-999.0,-999.0
4d54m58pt005s3d36m09pt248s,4.916112499999999,3.602568888888889,-999.0,-999.0,-999.0,-999.0,1.3786374606899299,-999.0,-999.0,-999.0,3.431791447568047,7.906732769869527,-999.0,-999.0
6d23m36pt795s-12d22m50pt684s,6.393554166666666,-12.380745555555556,-999.0,-999.0,-999.0,0.021620383203611582,-999.0,,-999.0,-999.0,1.7260818042892285,4.264503915399739,-999.0,-999.0
6d51m52pt995s26d07m16pt522s,6.864720833333332,26.121256111111112,-999.0,-999.0,-999.0,-999.0,,-999.0,-999.0,-999.0,3.9783296061681708,12.98796175547687,-999.0,-999.0
6d56m36pt285s26d16m00pt993s,6.943412499999999,26.2669425,-999.0,-999.0,-999.0,-999.0,0.565217996463244,-999.0,-999.0,-999.0,2.033709030139306,7.598094292389215,-999.0,-999.0
6d55m56pt13s26d16m02pt84s,6.9322583333333325,26.267455555555554,-999.0,-999.0,-999.0,-999.0,-0.016465338261105987,-999.0,-999.0,-999.0,2.544611633703881,7.951672288149177,-999.0,-999.0
7d03m32pt925s-75d37m59pt602s,7.059145833333333,-75.63322277777777,-999.0,-999.0,-999.0,-999.0,2.318311950680911,2.9777638433787423,-999.0,-999.0,2.492461913006641,2.245065427825026,-999.0,-999.0
7d01m01pt38s-75d37m22pt757s,7.017049999999999,-75.62298805555555,-999.0,-999.0,-999.0,-999.0,2.7908098846503084,2.0768447505337937,-999.0,-999.0,1.1786275059459166,1.8631213759573253,-999.0,-999.0
7d04m12pt555s-75d37m54pt293s,7.070154166666666,-75.63174805555555,-999.0,-999.0,-999.0,-999.0,0.25212469128189796,0.07671867614615062,-999.0,-999.0,1.4298325886551455,2.5184981213759023,-999.0,-999.0
7d01m44pt475s-75d37m58pt35s,7.029020833333333,-75.632875,-999.0,-999.0,-999.0,-999.0,1.0530326157763794,2.0775363019136,-999.0,-999.0,1.3959362774158381,1.312376102969731,-999.0,-999.0
8d28m41pt88s-7d51m59pt549s,8.478299999999999,-7.866541388888889,-999.0,-999.0,-999.0,-999.0,-999.0,11.66921902417632,-999.0,-999.0,6.788104811825791,13.133595816053077,-999.0,-999.0
8d28m02pt205s-7d52m20pt125s,8.467279166666666,-7.872256944444445,-999.0,-999.0,-999.0,-999.0,-999.0,3.1239102532048153,-999.0,-999.0,4.283633076243934,11.83900596992827,-999.0,-999.0
8d28m38pt715s-7d51m40pt821s,8.477420833333332,-7.861339166666666,-999.0,-999.0,-999.0,-999.0,-999.0,0.6078454890209749,-999.0,-999.0,4.103990623010025,11.59290990781616,-999.0,-999.0
8d37m02pt79s2d24m57pt689s,8.617441666666666,2.416024722222222,-999.0,-999.0,-999.0,-999.0,,-0.4585181527368417,-999.0,-999.0,3.2299598354283034,8.772703778914352,-999.0,-999.0
8d37m21pt135s2d25m43pt101s,8.622537499999998,2.4286391666666667,-999.0,-999.0,-999.0,-999.0,,0.6297727602214421,-999.0,-999.0,3.413094000792541,9.248558435128457,-999.0,-999.0
8d44m20pt61s2d33m16pt81s,8.739058333333332,2.5546694444444444,-999.0,-999.0,-999.0,-999.0,2.274797509556492,,-999.0,-999.0,3.8376666888045476,9.916655675516449,-999.0,-999.0
8d44m45pt72s2d34m00pt454s,8.746033333333331,2.5667927777777777,-999.0,-999.0,-999.0,-999.0,0.4596005153854656,,-999.0,-999.0,3.5463239092376764,9.407148405069872,-999.0,-999.0
8d51m41pt55s-20d15m44pt023s,8.861541666666666,-20.262228611111112,-999.0,-999.0,-999.0,0.4465849307365356,5.048379019149809,8.998577867903563,-999.0,-999.0,2.906815734259028,4.213794155608003,-999.0,-999.0
10d32m44pt1s-28d32m04pt231s,10.545583333333331,-28.53450861111111,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
10d51m29pt295s-20d36m50pt04s,10.8581375,-20.6139,-999.0,-999.0,-999.0,0.14117351707512646,2.1132918542254187,2.293690591949559,,,2.0233164129893315,4.394131384704939,-999.0,-999.0
