UNIQUE_ID,FIELD_NAME,RA,DEC,Z,Z_ERR,LEAD_LINE,SN,QUALITY,CONFIDENCE,OTHER_LINES,GUO_ID,GUO_SEP,SKELTON_ID,SKELTON_SEP,STELLAR_MASS,DETECTED?_OIII,WFoiii5007_flux,WFoiii5007_flux_err,WFoiii5007_centroid,WFoiii4959_flux,WFoiii4959_flux_err,WFoiii4959_centroid,WFoii_flux,WFoii_flux_err,WFoii_centroid,WFhalpha_flux,WFhalpha_flux_err,WFhalpha_centroid,WFhbeta_flux,WFhbeta_flux_err,WFhbeta_centroid,DETECTED?_Hb,RAJ2000,DEJ2000,F606W,e_F606W,F814W,e_F814W,F125W,e_F125W,F140W,e_F140W,F160W,e_F160W,WFoiii5007_ew,WFoiii4959_ew,WFhbeta_ew,z,above_master_limit,Z_dir_gen,Z_dir_gen_err,direct,logSFR,log_oiii_ew,logsSFR,t_univ,logsSFRms,dMS
105002016,candels-cdfs-05,53.08437575409364,-27.87280644443485,0.34278434768559024,1.023316717714613e-05,Ha,307.3312129071038,a,3,"O2,Ne3,Hg,Hb,O3_1,O3_2,N2_2,S2_1",4520,0.18,7336,0.17,9.829999923706055,1,7612.034912109375,447.0212936401367,6723.678573092018,2622.362060546875,425.86978912353516,6658.627175403924,33254.29931640625,1148.4759521484375,5006.048400695057,83011.6015625,2208.2777404785156,8812.991512592323,12499.837646484375,529.1620254516602,6527.88902929781,1,34.23603439,-5.25215721,1.269,0.04659,1.437,0.04798,3.886,0.1312,4.547,0.2344,5.183,0.1709,47.32289038183091,16.051606439943807,74.12649411220444,0.34278434768559024,True,7.489999999999968,0.024999999999999467,1.0,0.07243452015273472,1.6750712625523456,-9.75756540355332,9.863989310500639,-9.518799532049023,-0.23876587150429707
105002016,candels-cdfs-05,53.08437575409364,-27.87280644443485,0.34278434768559024,1.023316717714613e-05,Ha,307.3312129071038,a,3,"O2,Ne3,Hg,Hb,O3_1,O3_2,N2_2,S2_1",4520,0.18,7336,0.17,9.829999923706055,1,7612.034912109375,447.0212936401367,6723.678573092018,2622.362060546875,425.86978912353516,6658.627175403924,33254.29931640625,1148.4759521484375,5006.048400695057,83011.6015625,2208.2777404785156,8812.991512592323,12499.837646484375,529.1620254516602,6527.88902929781,1,189.19633484,62.17864609,0.02735,0.01816,,,0.1082,0.02287,0.1795,0.07129,0.09369,0.0436,1828.010328141898,628.8157458968253,2988.238292789628,0.34278434768559024,True,7.639999999999965,0.024999999999999467,1.0,0.07243452015273472,3.2619786451409,-9.75756540355332,9.863989310500639,-9.518799532049023,-0.23876587150429707
105002016,candels-cdfs-05,53.08437575409364,-27.87280644443485,0.34278434768559024,1.023316717714613e-05,Ha,307.3312129071038,a,3,"O2,Ne3,Hg,Hb,O3_1,O3_2,N2_2,S2_1",4520,0.18,7336,0.17,9.829999923706055,1,7612.034912109375,447.0212936401367,6723.678573092018,2622.362060546875,425.86978912353516,6658.627175403924,33254.29931640625,1148.4759521484375,5006.048400695057,83011.6015625,2208.2777404785156,8812.991512592323,12499.837646484375,529.1620254516602,6527.88902929781,1,150.10317993,2.2535181,1.24,0.04977,2.27,0.06015,2.717,0.1165,3.018,0.2101,2.775,0.1334,39.72187313905821,13.67916748083755,65.15400165290689,0.34278434768559024,True,7.489999999999968,0.024999999999999467,1.0,0.07243452015273472,1.599029720054356,-9.75756540355332,9.863989310500639,-9.518799532049023,-0.23876587150429707
105002016,candels-cdfs-05,53.08437575409364,-27.87280644443485,0.34278434768559024,1.023316717714613e-05,Ha,307.3312129071038,a,3,"O2,Ne3,Hg,Hb,O3_1,O3_2,N2_2,S2_1",4520,0.18,7336,0.17,9.829999923706055,1,7612.034912109375,447.0212936401367,6723.678573092018,2622.362060546875,425.86978912353516,6658.627175403924,33254.29931640625,1148.4759521484375,5006.048400695057,83011.6015625,2208.2777404785156,8812.991512592323,12499.837646484375,529.1620254516602,6527.88902929781,1,214.79472351,52.73667145,0.3449,0.03056,0.4596,0.04985,0.5328,0.05001,0.7955,0.08647,0.7661,0.06271,162.81695260591815,55.51136686135901,259.0571802853606,0.34278434768559024,True,7.529999999999967,0.024999999999999467,1.0,0.07243452015273472,2.211699621928494,-9.75756540355332,9.863989310500639,-9.518799532049023,-0.23876587150429707
105003023,candels-cdfs-05,53.086349417100536,-27.870544959169205,0.34329367670280553,1.801804210885969e-05,Ha,28.200589451819507,a,3,"O2,Hb,O3_1,O3_2",4487,0.09,8319,0.06,8.229999542236328,1,2295.8944702148438,261.8569755554199,6726.280161303399,738.8681030273438,165.9128761291504,6662.235543251522,5881.4398193359375,605.8647537231445,5008.515106989665,4378.312683105469,446.64974212646484,8816.102024107124,1951.7900085449219,322.99625396728516,6529.950249745946,1,150.18037415,2.26420045,0.1973,0.02443,0.1479,0.03126,0.1333,0.05815,0.1587,0.0942,0.2542,0.04931,108.98264930992829,34.101702978368365,84.93271645116872,0.34329367670280553,True,7.559999999999967,0.034999999999999254,1.0,-0.7325362018506484,2.0373573611630396,-8.962535744086976,9.859426435858015,-8.85198297021286,-0.11055277387411522
105003023,candels-cdfs-05,53.086349417100536,-27.870544959169205,0.34329367670280553,1.801804210885969e-05,Ha,28.200589451819507,a,3,"O2,Hb,O3_1,O3_2",4487,0.09,8319,0.06,8.229999542236328,1,2295.8944702148438,261.8569755554199,6726.280161303399,738.8681030273438,165.9128761291504,6662.235543251522,5881.4398193359375,605.8647537231445,5008.515106989665,4378.312683105469,446.64974212646484,8816.102024107124,1951.7900085449219,322.99625396728516,6529.950249745946,1,189.25921631,62.18402863,0.1092,0.01698,,,0.1006,0.02356,0.1599,0.0764,0.3128,0.03066,177.2500206990195,55.902968670834696,141.55457027728474,0.34329367670280553,True,7.579999999999966,0.024999999999999467,1.0,-0.7325362018506484,2.248586294571434,-8.962535744086976,9.859426435858015,-8.85198297021286,-0.11055277387411522
105011043,candels-cdfs-05,53.07819728114359,-27.8700683253236,0.663697357747453,3.0236791547001277e-06,O3_2,97.03230324527787,a,3,"O2,Ne3,Hd,Hg,Hb,O3_1",4638,0.37,8375,0.37,9.270000457763672,1,12345.269775390625,501.3440704345703,8329.904046304926,3760.5224609375,386.0512161254883,8250.14133528975,15944.833984375,517.2509002685547,6201.625625874243,nan,nan,nan,4871.619567871094,398.0221176147461,8088.025071660782,1,34.44847488,-5.24791718,0.07573,0.02565,0.1266,0.02986,0.1195,0.07558,0.09918,0.1443,0.1325,0.0687,1248.8929254660175,372.70824591303824,462.8379693385768,0.663697357747453,True,7.789999999999962,0.024999999999999467,1.0,0.34711472898672363,3.0965252054897188,-8.922885728776949,7.509223771273655,-8.977058661128158,0.05417293235120901
105011043,candels-cdfs-05,53.07819728114359,-27.8700683253236,0.663697357747453,3.0236791547001277e-06,O3_2,97.03230324527787,a,3,"O2,Ne3,Hd,Hg,Hb,O3_1",4638,0.37,8375,0.37,9.270000457763672,1,12345.269775390625,501.3440704345703,8329.904046304926,3760.5224609375,386.0512161254883,8250.14133528975,15944.833984375,517.2509002685547,6201.625625874243,nan,nan,nan,4871.619567871094,398.0221176147461,8088.025071660782,1,215.25047302,53.06336212,0.4208,0.02653,0.494,0.04092,1.138,0.05608,,,1.718,0.07996,298.95605500028114,90.98784945834718,117.66361847224582,0.663697357747453,True,8.30999999999995,0.034999999999999254,1.0,0.34711472898672363,2.4756073539648313,-8.922885728776949,7.509223771273655,-8.977058661128158,0.05417293235120901
105011043,candels-cdfs-05,53.07819728114359,-27.8700683253236,0.663697357747453,3.0236791547001277e-06,O3_2,97.03230324527787,a,3,"O2,Ne3,Hd,Hg,Hb,O3_1",4638,0.37,8375,0.37,9.270000457763672,1,12345.269775390625,501.3440704345703,8329.904046304926,3760.5224609375,386.0512161254883,8250.14133528975,15944.833984375,517.2509002685547,6201.625625874243,nan,nan,nan,4871.619567871094,398.0221176147461,8088.025071660782,1,189.24879456,62.18419266,0.3352,0.02525,,,0.6895,0.0318,0.7943,0.1002,1.199,0.06805,337.39323714919465,101.75895518463705,129.1531951463597,0.663697357747453,True,8.299999999999951,0.03999999999999915,1.0,0.34711472898672363,2.528136373160568,-8.922885728776949,7.509223771273655,-8.977058661128158,0.05417293235120901
105011043,candels-cdfs-05,53.07819728114359,-27.8700683253236,0.663697357747453,3.0236791547001277e-06,O3_2,97.03230324527787,a,3,"O2,Ne3,Hd,Hg,Hb,O3_1",4638,0.37,8375,0.37,9.270000457763672,1,12345.269775390625,501.3440704345703,8329.904046304926,3760.5224609375,386.0512161254883,8250.14133528975,15944.833984375,517.2509002685547,6201.625625874243,nan,nan,nan,4871.619567871094,398.0221176147461,8088.025071660782,1,150.10421753,2.26492858,0.8614,0.05236,1.078,0.06661,2.061,0.1032,2.724,0.1972,3.219,0.17,138.93580395674837,42.111461580725454,53.996698156074224,0.663697357747453,True,8.399999999999949,0.034999999999999254,1.0,0.34711472898672363,2.142814178474223,-8.922885728776949,7.509223771273655,-8.977058661128158,0.05417293235120901
