x, y
1.5340444192955156, 2.3165319845745405
1.5632027160843118, 2.2727360812355872
1.5926892063941152, 1.7719318644264868
1.5545169047955865, 1.6121930895490573
1.6670306974112323, 2.090188554928977
1.6650162682133258, 2.2465941902602564
1.6409506295091245, 2.3129469216905996
1.6537671523553543, 2.446776350212197
1.6936596406846798, 2.3836986221731298
1.7087452256330458, 2.416022324283472
1.703839298344886, 2.179388795225084
1.6886744942707597, 2.1045869426196155
1.701615504314613, 1.8544658256302928
1.7950997312208234, 1.4335794430556363
1.9085302022916961, 1.2497529213417824
2.059165369925025, 1.1884580353855396
2.0343754420710143, 1.3986396139759316
1.9486037629084736, 1.6497296668798325
1.8596576602065356, 1.7339883340115887
1.8669571367944546, 1.8371412514776273
1.8115546753430471, 2.0633296513768578
1.778480690338096, 2.046605817491231
1.7568482104965342, 2.0840067437939656
1.7338972980619607, 2.234288704145108
1.7858933371056727, 2.208960719338023
1.774944122223794, 2.2427378253202335
1.777116989673221, 2.3255043311435384
1.7798160984580562, 2.6071158653566657
1.8089178101570238, 2.587795283219968
1.8081312774084028, 2.4674534426293047
1.8011826283774226, 2.409375423909463
1.8011826283774226, 2.409375423909463
1.8325816947234403, 2.4416409898649305
1.8294864903098034, 2.366374048020464
1.8475993775640118, 2.357808654535589
1.8339340783703495, 2.310776505241943
1.8414938463714812, 2.2995368486328314
1.8414938463714812, 2.2995368486328314
1.8557136794454663, 2.2095033234501873
1.8742226623284766, 2.0917000949557196
1.881063799688782, 2.0347654206150807
1.9338180789362003, 1.9431815979691103
1.9413721884283492, 1.9049086293432553
1.911291554675343, 2.162975020832122
1.9102899985853727, 2.202526984865221
1.9102899985853727, 2.202526984865221
1.8775555241193946, 2.2770962928511906
1.8775555241193946, 2.2770962928511906
1.8729268637713963, 2.3311241594480943
1.8729268637713963, 2.3311241594480943
1.8630018390154195, 2.5249500998003995
1.8832083745932948, 2.5750440865841133
1.8832083745932948, 2.5750440865841133
1.8819578441080775, 2.757979187256555
1.8873730372046966, 2.8450477685405886
1.8873730372046966, 2.8450477685405886
1.9571707455085585, 2.4810960603065713
1.9530966190408827, 2.348565005910509
1.9530966190408827, 2.348565005910509
1.9216353090960532, 2.4075150669534717
1.9216353090960532, 2.4075150669534717
1.9474494270759655, 2.086622870763328
1.9474494270759655, 2.086622870763328
1.9433526665723582, 2.0517993139933726
1.9433526665723582, 2.0517993139933726
1.9796010751167068, 2.074801852605469
1.9884792757108503, 2.09195201829351
2.009845805630216, 2.2705075286320566
2.053008912151648, 2.3946669767261595
2.026034799830245, 2.18057089704087
2.0744093931249115, 2.301416584307114
2.0744093931249115, 2.301416584307114
2.127803083887396, 2.531635757610992
2.127803083887396, 2.531635757610992
2.10991087848352, 2.1943879231827608
2.10991087848352, 2.1943879231827608
2.1513820908190695, 1.9712032246187237
2.0650898288301036, 1.9639749626959673
2.0502871693308813, 2.05263259887991
2.011469797708304, 2.07493750363351
2.011469797708304, 2.07493750363351
1.976686942990522, 1.981667732496173
1.985542509548734, 1.9681801445652385
2.004747489036639, 2.0052128752204332
2.004747489036639, 2.0052128752204332
1.9960673362568964, 1.828595236711044
2.0097609279954733, 1.8331104780729803
2.0114924317442355, 1.7916012634924328
2.014666855283633, 1.7318179175629325
