intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,dataproduct_type,proposal_pi,calib_level,t_min,t_max,t_exptime,em_min,em_max,obs_title,t_obs_release,proposal_id,proposal_type,sequence_number,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,obsid,distance
science,HLSP,T16,Photometer,TESS,TESS,OPTICAL,32313998,,hlsp_t16_tess_ffi_s0003-cam2-ccd4-05012286624673442560_tess_v01,24.9806171664,-34.1952464573,timeseries,Joel D. Hartman,4,58385.4477091891,58405.8018710644,1800.0,600.0,1000.0,,60879.78712957,N/A,,3,CIRCLE 24.9806171664 -34.1952464573 0.0011111111111111111,,mast:HLSP/t16/s0003/cam2-ccd4/0050/1228/6624/6734/hlsp_t16_tess_ffi_s0003-cam2-ccd4-05012286624673442560_tess_v01_llc.fits,PUBLIC,False,nan,299171102,157.67201130153794
science,HLSP,TGLC,Photometer,TESS,TESS,Optical,32313998,,hlsp_tglc_tess_ffi_gaiaid-5012286624673442560-s0003-cam2-ccd4_tess_v1_llc,24.98061649423905,-34.19524611404758,timeseries,Timothy D. Brandt,4,58381.55735905583,58408.86952545328,1800.0,600.0,1000.0,,60023.87031241,N/A,,3,CIRCLE 24.98061649423905 -34.19524611404758 0.0011111111111111111,,mast:HLSP/tglc/s0003/cam2-ccd4/0050/1228/6624/6734/hlsp_tglc_tess_ffi_gaiaid-5012286624673442560-s0003-cam2-ccd4_tess_v1_llc.fits,PUBLIC,False,nan,119075775,157.67308943850406
science,HLSP,GSFC-ELEANOR-LITE,Photometer,TESS,TESS,Optical,32314006,,hlsp_gsfc-eleanor-lite_tess_ffi_s0003-0000000032314006_tess_v1.0_lc,25.0307079666428,-34.2273550427328,timeseries,Brian P. Powell,4,58381.546141770836,58408.879141261576,1800.0,600.0,1000.0,,59927.0,N/A,,3,CIRCLE 25.0307079666428 -34.2273550427328 0.0011111111111111111,,mast:HLSP/gsfc-eleanor-lite/s0003/0000/0000/3231/4006/hlsp_gsfc-eleanor-lite_tess_ffi_s0003-0000000032314006_tess_v1.0_lc.fits,PUBLIC,False,nan,104269680,194.83622962732005
science,HLSP,T16,Photometer,TESS,TESS,OPTICAL,32314006,,hlsp_t16_tess_ffi_s0003-cam2-ccd4-05012274564405276032_tess_v01,25.0306851874,-34.2274398394,timeseries,Joel D. Hartman,4,58385.4477091891,58405.8018710644,1800.0,600.0,1000.0,,60879.78709485,N/A,,3,CIRCLE 25.0306851874 -34.2274398394 0.0011111111111111111,,mast:HLSP/t16/s0003/cam2-ccd4/0050/1227/4564/4052/hlsp_t16_tess_ffi_s0003-cam2-ccd4-05012274564405276032_tess_v01_llc.fits,PUBLIC,False,nan,299171085,195.1375961403756
science,HLSP,TGLC,Photometer,TESS,TESS,Optical,32314006,,hlsp_tglc_tess_ffi_gaiaid-5012274564405276032-s0003-cam2-ccd4_tess_v1_llc,25.03068448312589,-34.22744254808814,timeseries,Timothy D. Brandt,4,58381.55735905583,58408.86952545328,1800.0,600.0,1000.0,,60023.87031241,N/A,,3,CIRCLE 25.03068448312589 -34.22744254808814 0.0011111111111111111,,mast:HLSP/tglc/s0003/cam2-ccd4/0050/1227/4564/4052/hlsp_tglc_tess_ffi_gaiaid-5012274564405276032-s0003-cam2-ccd4_tess_v1_llc.fits,PUBLIC,False,nan,119129595,195.14723154496383
science,HLSP,GSFC-ELEANOR-LITE,Photometer,TESS,TESS,Optical,10000256376,,hlsp_gsfc-eleanor-lite_tess_ffi_s0003-0000010000256376_tess_v1.0_lc,24.981606,-34.123669,timeseries,Brian P. Powell,4,58381.546141770836,58408.879141261576,1800.0,600.0,1000.0,,59927.0,N/A,,3,CIRCLE 24.981606 -34.123669 0.0011111111111111111,,mast:HLSP/gsfc-eleanor-lite/s0003/0000/0100/0025/6376/hlsp_gsfc-eleanor-lite_tess_ffi_s0003-0000010000256376_tess_v1.0_lc.fits,PUBLIC,False,nan,104249003,217.31861053796067
science,HLSP,GSFC-ELEANOR-LITE,Photometer,TESS,TESS,Optical,32314539,,hlsp_gsfc-eleanor-lite_tess_ffi_s0003-0000000032314539_tess_v1.0_lc,25.1018237261355,-34.1675666045616,timeseries,Brian P. Powell,4,58381.546141770836,58408.879141261576,1800.0,600.0,1000.0,,59927.0,N/A,,3,CIRCLE 25.1018237261355 -34.1675666045616 0.0011111111111111111,,mast:HLSP/gsfc-eleanor-lite/s0003/0000/0000/3231/4539/hlsp_gsfc-eleanor-lite_tess_ffi_s0003-0000000032314539_tess_v1.0_lc.fits,PUBLIC,False,nan,104267902,218.93248591492312
science,HLSP,T16,Photometer,TESS,TESS,OPTICAL,32314539,,hlsp_t16_tess_ffi_s0003-cam2-ccd4-05012276625989598080_tess_v01,25.1018400142,-34.1675678816,timeseries,Joel D. Hartman,4,58385.4477091891,58405.8018710644,1800.0,600.0,1000.0,,60879.78709485,N/A,,3,CIRCLE 25.1018400142 -34.1675678816 0.0011111111111111111,,mast:HLSP/t16/s0003/cam2-ccd4/0050/1227/6625/9895/hlsp_t16_tess_ffi_s0003-cam2-ccd4-05012276625989598080_tess_v01_llc.fits,PUBLIC,False,nan,299171086,218.9805440271466
science,HLSP,TGLC,Photometer,TESS,TESS,Optical,32314539,,hlsp_tglc_tess_ffi_gaiaid-5012276625989598080-s0003-cam2-ccd4_tess_v1_llc,25.10184052741656,-34.16756792069091,timeseries,Timothy D. Brandt,4,58381.55735905583,58408.86952545328,1800.0,600.0,1000.0,,60023.87031241,N/A,,3,CIRCLE 25.10184052741656 -34.16756792069091 0.0011111111111111111,,mast:HLSP/tglc/s0003/cam2-ccd4/0050/1227/6625/9895/hlsp_tglc_tess_ffi_gaiaid-5012276625989598080-s0003-cam2-ccd4_tess_v1_llc.fits,PUBLIC,False,nan,119129614,218.98204863304264
science,HLSP,GSFC-ELEANOR-LITE,Photometer,TESS,TESS,Optical,32314533,,hlsp_gsfc-eleanor-lite_tess_ffi_s0003-0000000032314533_tess_v1.0_lc,25.09161650680869,-34.2045287958335,timeseries,Brian P. Powell,4,58381.546141770836,58408.879141261576,1800.0,600.0,1000.0,,59927.0,N/A,,3,CIRCLE 25.09161650680869 -34.2045287958335 0.0011111111111111111,,mast:HLSP/gsfc-eleanor-lite/s0003/0000/0000/3231/4533/hlsp_gsfc-eleanor-lite_tess_ffi_s0003-0000000032314533_tess_v1.0_lc.fits,PUBLIC,False,nan,104271115,220.38410480836313
