object_id,ra,dec,z,zcluster,name,oiii5007_flux,oiii5007_flux_err,oiii5007_ew,oiii5007_ew_err,oiii5007_centroid,oiii5007_fwhm,oiii5007_vel_disp,oiii4959_flux,oiii4959_flux_err,oiii4959_ew,oiii4959_ew_err,oiii4959_centroid,oiii4959_fwhm,oiii4959_vel_disp,oii3726_flux,oii3726_flux_err,oii3726_ew,oii3726_ew_err,oii3726_centroid,oii3726_fwhm,oii3726_vel_disp,oii3729_flux,oii3729_flux_err,oii3729_ew,oii3729_ew_err,oii3729_centroid,oii3729_fwhm,oii3729_vel_disp,halpha_flux,halpha_flux_err,halpha_ew,halpha_ew_err,halpha_centroid,halpha_fwhm,halpha_vel_disp,hbeta_flux,hbeta_flux_err,hbeta_ew,hbeta_ew_err,hbeta_centroid,hbeta_fwhm,hbeta_vel_disp,hgamma_flux,hgamma_flux_err,hgamma_ew,hgamma_ew_err,hgamma_centroid,hgamma_fwhm,hgamma_vel_disp,hdelta_flux,hdelta_flux_err,hdelta_ew,hdelta_ew_err,hdelta_centroid,hdelta_fwhm,hdelta_vel_disp,hepsilon_flux,hepsilon_flux_err,hepsilon_ew,hepsilon_ew_err,hepsilon_centroid,hepsilon_fwhm,hepsilon_vel_disp,hzeta_flux,hzeta_flux_err,hzeta_ew,hzeta_ew_err,hzeta_centroid,hzeta_fwhm,hzeta_vel_disp,heta_flux,heta_flux_err,heta_ew,heta_ew_err,heta_centroid,heta_fwhm,heta_vel_disp,oiii4363_flux,oiii4363_flux_err,oiii4363_ew,oiii4363_ew_err,oiii4363_centroid,oiii4363_fwhm,oiii4363_vel_disp,neiii_flux,neiii_flux_err,neiii_ew,neiii_ew_err,neiii_centroid,neiii_fwhm,neiii_vel_disp,nii6583_flux,nii6583_flux_err,nii6583_ew,nii6583_ew_err,nii6583_centroid,nii6583_fwhm,nii6583_vel_disp,nii6548_flux,nii6548_flux_err,nii6548_ew,nii6548_ew_err,nii6548_centroid,nii6548_fwhm,nii6548_vel_disp,sii6716_flux,sii6716_flux_err,sii6716_ew,sii6716_ew_err,sii6716_centroid,sii6716_fwhm,sii6716_vel_disp,sii6731_flux,sii6731_flux_err,sii6731_ew,sii6731_ew_err,sii6731_centroid,sii6731_fwhm,sii6731_vel_disp,nev3426_flux,nev3426_flux_err,nev3426_ew,nev3426_ew_err,nev3426_centroid,nev3426_fwhm,nev3426_vel_disp,fevii3760_flux,fevii3760_flux_err,fevii3760_ew,fevii3760_ew_err,fevii3760_centroid,fevii3760_fwhm,fevii3760_vel_disp,heii4686_flux,heii4686_flux_err,heii4686_ew,heii4686_ew_err,heii4686_centroid,heii4686_fwhm,heii4686_vel_disp,hei5876_flux,hei5876_flux_err,hei5876_ew,hei5876_ew_err,hei5876_centroid,hei5876_fwhm,hei5876_vel_disp,flux_HST_F435W,flux_HST_F606W,flux_HST_F814W,flux_Spitzer_I1_3.6,flux_Spitzer_I2_4.5
8d51m41pt55s-20d15m44pt023s,8.861541666666666,-20.262228611111112,0.3255930938784817,0.3524,macs0035m20,4985.181173438838,104.83196842095127,2374.6920087104045,136.39738149927635,5006.845354786945,2.1313063705392103,51.186920328837644,1640.3842276472622,134.39358606888496,48.33791099681986,10.98844473963463,4958.785349115855,1.9340050310478503,46.28534634826118,3810.5252139098466,318.30755171493723,156.73003947149937,65.89751047123983,3727.1773523423994,3.2270386042864994,107.63540645517301,2954.7035948081398,262.9039557518726,121.90858091059096,54.427600236781934,3731.646951515719,3.2270386042864994,107.55487084765912,3672.7108026157775,139.54412653026415,176.39605509910618,12.837545735963964,6562.738084111787,2.474170740187336,46.03484208728188,1808.99167894062,117.85625929906449,217.60599605217556,40.66711785904478,4861.008643274652,2.0497872676914017,50.453359285807714,1679.710812177911,144.9881873795447,55.59913357028162,16.999903365049484,4340.102881050066,2.2352840300428523,62.265381404692356,0.0,0.0,nan,nan,4102.295941243126,2.4724341813099437,73.59990917649725,247.04708939561374,275.6306716172111,5.474158470596671,26.26928268394835,3971.776525295905,0.4999617834394905,nan,0.0,0.0,nan,nan,3890.026746689355,7.5396831592689155,245.74890052837705,0.0,100.3191678016638,nan,nan,3835.4,1.0,23.704860453545347,0.0,0.0,nan,nan,4366.716000181708,8.099485522696195,235.44326186565,2064.3931736340237,162.2760473561902,87.7730452784134,31.580963128268948,3870.079787905584,1.2974440095293183,35.948289060719674,0.0,0.0,nan,nan,6582.953667580825,7.590129874675801,146.1516789005529,0.0,0.0,nan,nan,6549.247005273916,0.4999617834394905,nan,1294.6440794097557,203.37647640874647,48.29594502932334,14.189690599762192,6716.889650192597,1.9135271566013219,33.756864293672876,120.74110479802458,15900744275647.16,2.1056884289340614,517613654511.99304,6730.159106990046,0.4999617834394905,nan,0.0,0.0,nan,nan,3426.0,1.0,26.53754284399528,2977.7282923265097,178.105935777828,24.848615690142108,7.313864659364591,3759.8833389934316,1.84430001056069,57.773575335576695,0.0,0.0,nan,nan,4683.876035174764,4.140290561530961,110.87244668984597,490.2628691429751,175.51549433792633,19.44975158873519,15.14249430026378,5874.372568143165,2.873149812397534,60.378139222545656,-0.07476662671886741,0.707921551958099,0.39539214938932354,0.21704821853449285,0.5266662733277443
6d51m52pt995s26d07m16pt522s,6.864720833333332,26.121256111111112,0.8129675247285384,0.365,macs0027p26a,22553.869150154795,121.09826157168692,2272.278614074959,33.324533563116574,5006.847505079423,1.773330136060433,41.429240524760125,9030.68916358591,136.53801701613025,397.17013799213834,16.661163714853767,4958.919793769373,1.8259341867408956,43.295650680236626,5605.990761765494,139.03546810308777,1745.4689101407591,218.07369627624976,3725.9796046381834,1.6722277231271347,51.88942050246218,7423.937321720313,160.94018379066551,2315.9472339851986,252.430701586065,3728.7328952640514,1.6722277231271347,51.85059548993761,0.0,0.0,nan,nan,6562.8,1.0,13.853480493619768,4117.808783221495,146.7264525296053,80.82011058635766,8.2598413817308,4861.314962422772,1.7476190686933042,41.935467331270196,2257.812727980852,100.00855430602994,220.34674968866813,34.57090051821156,4340.2281053758115,1.692838459706737,45.2088236731814,1421.4383155786802,71.66155216925289,32.87017670513414,6.621221773132455,4101.731329217925,1.9577493869574925,56.74792423576115,927.032611622793,83.01016595492848,17.874300554682254,6.892004539460085,3969.8419098001,1.6385678158543484,47.5085235585194,1346.1566797482221,106.5692701850541,15.133903625422688,5.4197532029982,3888.7913738317884,1.3631883854505686,38.29183981537165,0.0,47.44590355172653,nan,nan,3835.4,1.0,23.704860453545347,442.43588796738874,104.79432105587779,24.866803762869814,20.640108620233423,4363.209520517378,1.1324555456734517,25.974328103863616,2834.2968227622378,88.75387641496896,42.59199065469029,6.109917385622014,3868.75877194909,1.498180086262108,43.58874763756428,0.0,0.0,nan,nan,6583.45,1.0,13.810026928666252,0.0,0.0,nan,nan,6548.05,1.0,13.88468655302385,0.0,0.0,nan,nan,6716.44,1.0,13.536579167464883,0.0,0.0,nan,nan,6730.82,1.0,13.507659064352907,1015.2022701892664,198460.27623482907,10.586263842277237,13152.052873582821,3427.8412657942076,0.4999617834394905,nan,190.06842039622893,0.0,22.256408394217775,0.0,3759.791574979611,0.4999617834394905,nan,0.0,0.0,nan,nan,4687.318862946658,5.833007133433033,157.33772022715434,0.0,0.0,nan,nan,5875.62,1.0,15.473706908126772,-999.0,,-999.0,0.06572612073650058,0.06850553796906184
10d12m52pt83s-44d08m06pt786s,10.214674999999998,-44.135218333333334,0.18760992576748725,0.363,macs0040m44,2625.29064947068,83.13680551022692,1421.7869153671272,122.98084441867384,5006.837740418037,1.8881164591113024,44.5882758407986,804.8907130123656,72.58227319415452,38.558223986109674,9.648219784600798,4958.63856095305,1.4525220530668368,32.67459199318995,0.0,0.0,nan,nan,3726.03,1.0,24.400668213494743,0.0,0.0,nan,nan,3728.82,1.0,24.382410999599827,2627.660783525843,113.55589466174757,173.12433589563696,14.331635486804068,6562.3201502095035,1.753714216539426,31.192287049841056,840.437646274386,910.6833689304881,158.8256352156773,493.6289811089903,4861.261414138116,1.043750843418906,20.275518882988916,600.0095587467279,78.49034759020986,8.861668068187766,4.106509146868061,4340.010095554277,1.079248325418693,24.093913087910355,1422.215995140713,153.55565318954083,82.70974397598116,35.68346956810641,4101.594781054289,2.101311989503887,61.49560360927349,0.0,0.0,nan,nan,3970.08,1.0,22.900702702093618,0.0,0.0,nan,nan,3889.06,1.0,23.37778840736009,0.0,0.0,nan,nan,3835.4,1.0,23.704860453545347,0.0,0.0,nan,nan,4359.480754097844,1.389224684040326,35.01304231266559,0.0,0.0,nan,nan,3868.75,1.0,23.500516131444996,0.0,0.0,nan,nan,6583.4920575537235,3.6701960054807343,69.67106513217148,0.0,0.0,nan,nan,6550.775197061597,9.848224449952577,190.98931839637046,144.2432875993748,4.172109440856037e+16,7.471585375565686,4042349255139932.5,6716.136996350992,0.4999617834394905,nan,1321.803908475494,121.54512597176084,24.428748160609747,4.192081223743886,6731.568264315928,2.562611634888834,46.62714759692909,0.0,0.0,nan,nan,3426.0,1.0,26.53754284399528,0.0,0.0,nan,nan,3760.0,1.0,24.18021855944889,529.3425642554786,255152.2926925596,7.850197973939124,11575.255585924417,4685.397322742568,0.7386015711662615,6.4026993464142326,183.10832056913338,642.3462650023997,8.297367102732418,63.287245333186306,5875.260989610645,0.4999617834394905,nan,-999.0,-999.0,-999.0,0.36973520243855057,0.6692983428376933
88d19m48pt8284935s-33d42m42pt89990813s,88.33023013708375,-33.71191664114773,0.7300043801847442,nan,macs0553m33b,25714.62837642129,98.80547963602594,1276.7754536260452,13.399904049087736,5006.842235734503,1.937547145553583,45.93886465926384,8617.419116779181,88.2042227351038,225.0460493325536,6.391200058385597,4958.900263101812,1.8804969964318694,44.808548387945386,10527.346981852741,103.497737573993,50.625352601799214,2.507121082370569,3726.054129625856,1.8866863145060069,59.8627248413286,13790.56934978309,120.29974181121123,66.44709291104661,2.914131515995686,3728.8407225836186,1.8866863145060069,59.81793399534856,0.0,0.0,nan,nan,6562.8,1.0,13.853480493619768,6435.645250029809,116.72755699085356,160.94142567936345,8.372510898521147,4861.337709139837,2.003128085637263,49.1512696432077,3007.243284701681,58.59756837759044,29.56644904197753,2.040330277463501,4340.544885624661,1.7489140964602696,47.009318711955565,1748.7833550384307,44.694168480202976,11.258993061517899,1.1497591418172783,4101.66964353798,1.4861596867765257,40.690425897671666,1510.1575417426811,93.13121721451883,7.9786382673818945,2.1196663377888223,3969.1208253179652,2.083804567214055,62.93909183100879,1592.8062690184988,115.6511104491631,6.08913350637359,1.999917736206661,3888.873845817915,1.6194832922962572,47.806382376318595,248.08403148181847,84.80984702969529,1.405500157127883,2.2511594612854426,3833.686489062504,3.269299543241404,106.00262545518095,16.209690337094017,295.45896056744334,0.09215003412807922,5.887472846534109,4362.680338865332,0.4999617834394905,nan,3092.8728188341447,82.61568299661509,14.011308546401068,1.7147516186970306,3868.5526890736037,1.7824637001538406,53.943663385643845,0.0,0.0,nan,nan,6583.45,1.0,13.810026928666252,0.0,0.0,nan,nan,6548.05,1.0,13.88468655302385,0.0,0.0,nan,nan,6716.44,1.0,13.536579167464883,0.0,0.0,nan,nan,6730.82,1.0,13.507659064352907,0.0,0.0,nan,nan,3426.7759720663657,3.8445673895275383,140.4760695267589,0.0,41.84946171360076,nan,nan,3760.0,1.0,24.18021855944889,318.3920852260169,44.060234155885055,3.4820521135334976,1.4754822356089103,4682.840924133129,0.9883319445340945,18.956827243244227,0.0,0.0,nan,nan,5875.62,1.0,15.473706908126772,0.849394771157883,1.2429292768372273,2.012629430952609,0.500739348837015,0.3317954379777776
2d55m43pt275s-15d23m04pt376s,2.928687499999999,-15.384548888888888,0.3769632541816905,0.3791,macs0011m15,5214.997670738993,147.55046828600823,470.34413784493995,36.34878727827772,5006.832747955684,2.0373353333207715,48.650065232559434,1864.8393948949083,140.97210497534468,155.81427420284527,32.67960487856991,4959.046564507481,2.5437999240317453,62.785691045965464,4659.813660787762,346.7973648557291,47.16360547100228,17.6791903352392,3726.2096813523935,1.70603283983512,53.15859400934559,6866.946092684929,443.92156188321235,69.62739808833373,22.6304308561136,3728.776691449058,1.70603283983512,53.118819368229616,4478.480950094542,137.7015672813382,71.86924489202384,4.2326659310968555,6562.8181996393905,2.9106156874379576,54.80511150312409,1903.5273655031824,98.15043553960489,82.7983070345618,12.246390542643972,4861.02784810381,2.238869947435718,55.69279563428158,3186.8538005297887,664.1336352323244,131.9975306014445,97.02202430007324,4349.301464002934,9.99923566878981,292.5682705754515,1569.6690021071072,230.60800765202626,19.22585606275377,11.293687808758827,4100.436443220492,4.192499761335653,128.30084269466556,612.9968234157114,219.8691972831288,8.104057540440637,12.515489689147815,3970.0016061201086,0.4999617834394905,nan,0.0,93.27871787428323,nan,nan,3889.06,1.0,23.37778840736009,0.0,0.0,nan,nan,3835.9617912016242,6.15460931970869,202.96702853581823,0.0,0.0,nan,nan,4362.4857839597435,5.03745494548828,145.55730143724168,3200.583334276501,313.54919829028285,161.6024005747884,72.49555707248179,3869.407384760722,4.251464205543861,137.99484258830486,0.0,0.0,nan,nan,6583.63981788525,9.99923566878981,192.88987927331783,0.0,0.0,nan,nan,6544.563079383934,0.4999617834394905,nan,1138.719314564365,137.4139462749909,10.385493527211993,2.34398319288308,6716.869692276765,2.2711948730124245,40.95476465641198,815.2047767028928,147.71352648016233,5.812293963001292,1.9659103783993561,6729.954190630839,2.4643288575238076,44.69156645358373,0.0,0.0,nan,nan,3426.0,1.0,26.53754284399528,1570.1872175369244,274.04570833352403,105.55456626599367,90.66007396603419,3759.8290719543456,2.586728494226674,84.31634130286106,123.24484534773644,95.6989986984824,1.1998821773014903,2.8492855293260893,4686.168091527522,0.4999617834394905,nan,96.99162780926878,107.26845689823658,13.301205518915442,31.98850157499306,5874.716406601068,0.4999617834394905,nan,-999.0,1.4350630481402313,2.5473453513504345,0.9715152224769938,0.6098551587317278
17d53m07pt61874487s8d56m05pt75307645s,17.885449651352566,8.934931410123806,0.6984787742335801,0.4854,macs0111p08,3658.2623614266076,105.17128803280409,452.0042764918945,35.49361442297529,5006.849691213242,0.8135140984121806,10.539436781375958,199.73363162914418,24944294.5592619,5.781753017979172,2001797.427579608,4961.39190193422,0.4999617834394905,nan,882.4444436023665,118.95645183635561,3.566573428574087,2.4255232486932883,3723.8860830863005,1.4289341433093352,42.56394680305734,419.88334616382724,79.71986812988192,1.7056236142832597,1.625488912512235,3731.113748153675,1.4289341433093352,42.532099352233615,0.0,0.0,nan,nan,6562.8,1.0,13.853480493619768,252.28539911406318,297.8923689596407,79.2478946858816,268.7546493881108,4857.419665375242,8.204778573343805,214.08605511377814,0.0,0.0,nan,nan,4341.534934008771,9.99923566878981,292.5682705754515,0.0,0.0,nan,nan,4101.474181683113,4.647846317010122,142.61509248073926,835.4957775038143,227.94942868145665,29.1134851899415,34.17014964235242,3971.4830232173276,8.271748095604424,264.30193019434415,279.14435339587493,131.31628189546797,5.8128778376129056,12.357531338633807,3890.4186549956817,0.4999617834394905,nan,0.0,0.0,nan,nan,3834.204879187958,5.547462510999767,182.6675373754802,0.0,0.0,nan,nan,4355.511935330977,0.4999617834394905,nan,667.2362029705963,114.18684025885555,10.984340654535709,8.626584509410874,3865.9873298544117,2.4310230777975645,76.61024934034023,0.0,0.0,nan,nan,6583.45,1.0,13.810026928666252,0.0,0.0,nan,nan,6548.05,1.0,13.88468655302385,0.0,0.0,nan,nan,6716.44,1.0,13.536579167464883,0.0,0.0,nan,nan,6730.82,1.0,13.507659064352907,853.6758864849797,118.37486729076001,118.8527486375135,105.0038622181764,3424.9291138009853,0.7993372259621435,14.341061433366578,0.0,0.0,nan,nan,3759.6135687440337,6.157898168477341,207.14924953680944,0.0,0.0,nan,nan,4685.593906591954,2.016618787273258,51.38480666533038,0.0,0.0,nan,nan,5875.62,1.0,15.473706908126772,nan,nan,nan,0.5594248643065918,0.45425469880332237
16d23m44pt22264049s-24d38m43pt58535203s,16.39561740013605,-24.64544037556473,0.687697362608686,0.23,a141,8260.409849745954,114.81609512691726,382.39898449619625,14.51790052713935,5006.845628450111,1.0087996936954478,18.47069661171365,670.6680306362261,273.6233602736578,7.947805111946133,8.996942032393898,4958.877408351355,3.429000343282057,86.17891207934086,0.0,0.0,nan,nan,3725.9324198462996,1.7634085564161255,55.301247663021,2491.457000960104,15115.32417671494,44.34533652317641,1350.2853166122088,3731.2770461895784,0.5740891323505166,nan,0.0,0.0,nan,nan,6562.8,1.0,13.853480493619768,0.0,0.0,nan,nan,4861.356160594009,7.397829740628601,192.86758754955895,0.0,0.0,nan,nan,4344.469419594942,6.448203034662293,188.01465849865872,326.67526252203544,6.574273844636221e+50,7.577328868382431,6.089898320883069e+49,4102.644396289835,0.4999617834394905,nan,88.20005555192633,98.9448753239596,0.9127681350439357,4.412248574595656,3968.695857229676,0.4999617834394905,nan,806.5949382585502,82.37187423106506,6.218386055727409,2.8779860246237927,3885.8633920452826,1.8105824008214393,54.66142747194988,0.0,0.0,nan,nan,3834.92909088298,3.30886289159725,107.34666196652398,0.0,0.0,nan,nan,4358.281225800788,0.4999617834394905,nan,0.0,0.0,nan,nan,3869.6892673575207,4.459233942109001,144.92209371727614,0.0,0.0,nan,nan,6583.45,1.0,13.810026928666252,0.0,0.0,nan,nan,6548.05,1.0,13.88468655302385,0.0,0.0,nan,nan,6716.44,1.0,13.536579167464883,0.0,0.0,nan,nan,6730.82,1.0,13.507659064352907,0.0,0.0,nan,nan,3426.2985897636386,1.6925722778810206,57.264994606461215,0.0,0.0,nan,nan,3760.0689023751834,4.150217336330868,138.50930825113744,93.21060878843072,4.366576458796755e+18,0.8101664417910158,1.1618719826633787e+17,4683.47466252733,0.4999617834394905,nan,0.0,0.0,nan,nan,5875.62,1.0,15.473706908126772,nan,,nan,0.11546588866041389,0.16118918133123902
7d04m12pt555s-75d37m54pt293s,7.070154166666666,-75.63174805555555,0.4039211267452194,0.388,macs0028m75,5870.374122830106,109.22858632123128,305.0225529842513,15.502075741453135,5006.835221202156,2.198668786534061,52.99701312898833,2393.022504855065,135.10630259214648,81.38314686867201,12.747476768826742,4959.163901571516,2.957529347912966,73.77128779756701,2654.395097448244,288.1044339262247,52.35787400157318,28.632272564039848,3725.7439876061335,1.6148778195644329,49.723560345251364,4278.580264965211,393.08178149646733,84.56050530875257,39.06508676172352,3728.5523720251786,1.6148778195644329,49.68635588556619,4909.803961042687,135.69008266684895,118.9785643512833,6.298332591103634,6562.671588040465,2.7440189889368893,51.46939237400779,1959.8989665585077,102.9036589284853,172.7900484566193,26.02130146952216,4861.294313671018,1.710527804016587,40.87314745433976,1622.64120827166,204.16058241255777,20.96094490442409,9.337357294733907,4341.166234502123,3.0388181689147515,86.73464840813736,2033.6106624898566,399.79630605703005,925.0602981722765,726.0398031749046,4103.250219047029,6.016736403662611,185.48023042689357,393.89686395758696,1.9222401584819568e+149,4.465438933213425,9.377180404157328e+147,3970.9982028690556,0.4999617834394905,nan,0.0,0.0,nan,nan,3888.4232236788116,1.9036973548032046,57.95250851756984,0.0,0.0,nan,nan,3836.2289764550114,4.139808124219654,135.4358058180908,0.0,0.0,nan,nan,4361.474939819394,9.99923566878981,291.0428046557292,3052.906632251513,277.769310053448,24.324471806480236,10.1260144708813,3870.7269388077075,3.763502414426734,121.68563507859382,0.0,0.0,nan,nan,6581.782804483234,0.4999617834394905,nan,0.0,0.0,nan,nan,6551.066888086211,9.533524316282529,184.85474773741618,0.0,0.0,nan,nan,6716.44,1.0,13.536579167464883,0.0,0.0,nan,nan,6730.82,1.0,13.507659064352907,2716.8819517267107,276.59172259948593,11.91741752872105,7.711674888532879,3427.660147665095,1.6637503473571724,56.086546181718774,0.0,0.0,nan,nan,3761.978746318717,9.99923566878981,337.7342754526394,1645.5760897360951,492.08287384780755,340.51993359496703,311.40296093242205,4686.161044589223,9.99923566878981,271.0131455203778,1391.7513913723371,269.47945024619764,48.115288797105876,20.251222931980163,5876.457773515216,7.638810044481961,164.81768815185495,-999.0,1.1541367923204737,1.6300810937060168,0.11841445667826919,0.5635078517782577
48d13m47pt986321s8d22m22pt30596361s,48.22999620027693,8.372862767668968,0.23855702605325257,nan,rxj0312p08,56375.2457627931,205.51121603343722,277.0163919169154,2.7582845983887636,5006.841240689889,2.556767104174843,62.527538700897665,19787.108944840442,174.74841450784226,100.94714992621748,2.4735585083058482,4958.911597505368,2.632124981952837,65.1410870870186,0.0,0.0,nan,nan,3726.03,1.0,24.400668213494743,0.0,0.0,nan,nan,3728.82,1.0,24.382410999599827,39359.666883124126,214.82329939297026,258.7357883917961,2.704916288820836,6562.751802522674,2.7395953028864266,51.380637053672125,11456.783496600243,211.70488202594186,75.31150052508231,3.9916593106917158,4861.222758920577,2.8811215014294103,73.19094142746883,3947.640104366247,222.98600717233174,14.004000369239613,2.801638091014642,4340.39965298914,1.6012564053596667,42.24097247069351,2643.6641281314814,183.15250405901466,13.84630679962478,3.833558330112462,4101.3771573917265,1.5671525795999584,43.519514776598136,0.0,109.5594150618995,nan,nan,3970.08,1.0,22.900702702093618,882.0894805329586,299.22645090748466,2.3889694428383614,3.6629613568153228,3890.1102609923614,1.616630904445865,47.702814780905406,702.0719214616455,3.621931373260107e+45,85.6315884850458,2.0681224647680966e+45,3834.909140923827,0.4999617834394905,nan,390.02535155289456,372.83311115805446,1.1765076053295733,3.9438264456980097,4361.733194947115,0.4999617834394905,nan,8588.706664258918,382.578816602653,49.592876006768385,10.112452686235004,3869.927473332713,4.132568268487864,134.02656997811326,0.0,0.0,nan,nan,6583.049383942439,9.99923566878981,192.88987927331783,0.0,0.0,nan,nan,6547.951249111998,9.99923566878981,193.93267853817915,2914.4151111162246,435.3236631026073,28.44078908362014,7.945891348815433,6716.457203104918,3.1146937737448446,57.528719960561844,1600.2929429260273,372.3066220866771,11.278101960360864,4.897260849012795,6730.673594072972,2.2049625326920275,39.548326784467136,0.0,0.0,nan,nan,3426.0,1.0,26.53754284399528,0.0,0.0,nan,nan,3760.0,1.0,24.18021855944889,2264.352961989412,341.28494065253983,8.053632807286453,3.714040462336687,4684.83115917108,5.656051318430082,152.4937161135149,0.0,117.9529274308182,nan,nan,5875.62,1.0,15.473706908126772,0.7346917478816116,2.840436072421592,4.628207727088525,0.5530035632434651,0.39885840229909186
135d09m40pt25284006s20d53m21pt28761991s,135.16118134445998,20.889246561085816,0.5404366390140505,nan,z2089,5406.854528332823,108.61243441311562,250.96264936407871,13.769978631549225,5006.821374775964,2.1781081507182245,52.44522178557947,204.88081959244053,260.71085472802315,7.920935553809924,27.92939904017965,4962.876520266579,0.4999617834394905,nan,1611.667964703922,218.08355733740459,10.284528542440965,7.016452600236673,3724.767588533355,2.821469266809744,93.38926452622223,361.72103810913677,124.03170181085878,2.314801149225115,3.9905005554186115,3728.827222075535,2.821469266809744,93.31938825221917,0.0,0.0,nan,nan,6562.8,1.0,13.853480493619768,339.4315166223317,881687.5121427182,4.304552881903077,32056.419490443604,4862.539912008443,0.5550212865717525,nan,0.0,0.0,nan,nan,4335.827875837849,0.4999617834394905,nan,356.9276542275519,120.25660320218441,14.079942087864453,18.904369905700598,4106.589126103707,1.1058012595619837,26.56975690363555,1533.530137225967,116.67332042769294,13.769012334927682,4.503878598926194,3972.471318081614,2.964519956923907,92.3762530558308,1258.5524915977537,1808.873077491024,17.777491240266546,115.58993546737058,3888.71538968285,0.7523563045611927,9.02691629404877,308.0790362971781,130.16058452888,2.787587605188922,5.511298614589931,3835.533067694399,0.4999617834394905,nan,2352.584742205265,408.7004374883727,18.98635031984756,11.574359581885979,4360.270946246671,9.99923566878981,291.0428046557292,1266.716672612988,226.1749435276425,20.26618558125471,16.65982925889813,3860.8973874597527,4.261943306926056,138.34444100904426,0.0,0.0,nan,nan,6583.45,1.0,13.810026928666252,0.0,0.0,nan,nan,6548.05,1.0,13.88468655302385,0.0,0.0,nan,nan,6716.44,1.0,13.536579167464883,0.0,0.0,nan,nan,6730.82,1.0,13.507659064352907,0.0,0.0,nan,nan,3426.707906890947,1.9654871437720707,68.24844883653616,480.1062622593387,96.70304798804786,8.740756654791273,8.667298165161718,3759.27429749315,0.8699001980570665,17.486709634644356,0.0,0.0,nan,nan,4685.186071376665,3.4908504879437015,92.92011147205987,199.47584630968936,0.0,10.827656533746817,0.0,5874.00863452315,0.4999617834394905,nan,nan,0.4317784952776862,0.29669477803264216,0.5124530559505689,0.8948182399323512
