object_id,ra,dec,z,direct_metallicity,j19_metallicity,R23,mean_vel_disp,sterr_vel_disp,oiii5007_flux,oiii5007_flux_err,oiii5007_ew,oiii5007_ew_err,oiii5007_centroid,oiii5007_fwhm,oiii5007_vel_disp,oiii4959_flux,oiii4959_flux_err,oiii4959_ew,oiii4959_ew_err,oiii4959_centroid,oiii4959_fwhm,oiii4959_vel_disp,oii3726_flux,oii3726_flux_err,oii3726_ew,oii3726_ew_err,oii3726_centroid,oii3726_fwhm,oii3726_vel_disp,oii3729_flux,oii3729_flux_err,oii3729_ew,oii3729_ew_err,oii3729_centroid,oii3729_fwhm,oii3729_vel_disp,halpha_flux,halpha_flux_err,halpha_ew,halpha_ew_err,halpha_centroid,halpha_fwhm,halpha_vel_disp,hbeta_flux,hbeta_flux_err,hbeta_ew,hbeta_ew_err,hbeta_centroid,hbeta_fwhm,hbeta_vel_disp,hgamma_flux,hgamma_flux_err,hgamma_ew,hgamma_ew_err,hgamma_centroid,hgamma_fwhm,hgamma_vel_disp,hdelta_flux,hdelta_flux_err,hdelta_ew,hdelta_ew_err,hdelta_centroid,hdelta_fwhm,hdelta_vel_disp,hepsilon_flux,hepsilon_flux_err,hepsilon_ew,hepsilon_ew_err,hepsilon_centroid,hepsilon_fwhm,hepsilon_vel_disp,hzeta_flux,hzeta_flux_err,hzeta_ew,hzeta_ew_err,hzeta_centroid,hzeta_fwhm,hzeta_vel_disp,heta_flux,heta_flux_err,heta_ew,heta_ew_err,heta_centroid,heta_fwhm,heta_vel_disp,oiii4363_flux,oiii4363_flux_err,oiii4363_ew,oiii4363_ew_err,oiii4363_centroid,oiii4363_fwhm,oiii4363_vel_disp,neiii_flux,neiii_flux_err,neiii_ew,neiii_ew_err,neiii_centroid,neiii_fwhm,neiii_vel_disp,nii6583_flux,nii6583_flux_err,nii6583_ew,nii6583_ew_err,nii6583_centroid,nii6583_fwhm,nii6583_vel_disp,nii6548_flux,nii6548_flux_err,nii6548_ew,nii6548_ew_err,nii6548_centroid,nii6548_fwhm,nii6548_vel_disp,sii6716_flux,sii6716_flux_err,sii6716_ew,sii6716_ew_err,sii6716_centroid,sii6716_fwhm,sii6716_vel_disp,sii6731_flux,sii6731_flux_err,sii6731_ew,sii6731_ew_err,sii6731_centroid,sii6731_fwhm,sii6731_vel_disp,heii4686_flux,heii4686_flux_err,heii4686_ew,heii4686_ew_err,heii4686_centroid,heii4686_fwhm,heii4686_vel_disp,hei5876_flux,hei5876_flux_err,hei5876_ew,hei5876_ew_err,hei5876_centroid,hei5876_fwhm,hei5876_vel_disp
224d52m17pt6016s-18d10m40pt68516s,224.871556,-18.1779681,0.6695012973895351,8.158568087201372,8.142871269557773,8.379576945330543,68.76248106427578,19.516005048126875,17630.777813169687,519.9978828387217,15.737270259525886,0.464151230497699,5006.840254974253,1.6174960156094174,37.077535318515125,5092.491486794695,814.9428322449916,4.252032343299096,0.6804455716089,4958.8013058722245,1.3831395454447069,30.626026047899472,6661.281398600391,1371.9937757623738,7.131921030411187,1.4689292761312935,3727.995084586508,4.123461400022548,138.84452308845866,11713.868238403804,1354.5388326975835,22.547273249548503,2.607264873257494,3727.8359939012585,6.095729820517075,206.7448543606936,0.0,531.6441895650835,nan,nan,6562.8,1.0,13.853480493619768,4904.593537967375,1148.5422877166588,3.132366868387845,0.7335278206309894,4861.755042523589,2.4657844455790197,61.91806698612925,2037.4012042468576,911.70504324079,2.04381202306449,0.9145737839852026,4340.458221997077,1.5160764354176552,39.444368484068576,4635.993253830538,1039.4608855653205,5.261470109171325,1.1797024024001317,4102.98057483689,9.462690034991365,292.89973203866487,1411.0882150025022,590.9718841419133,1.8982028880716793,0.7949783190878342,3977.471603368388,1.4591221227760554,41.05425243567827,4441.207986392576,1250.604300547512,6.526840363502945,1.8378996553624485,3884.6713538850595,6.614069519249121,215.29854263730945,533.2241318562913,11389242.476608323,0.631854767362087,13495.91424235697,3841.3669760857288,0.40148909714663267,nan,1176.0316123162463,710.3335580098945,1.0494256553832146,0.6338624334995918,4363.180078391786,1.0735369769075542,23.74891573718382,1068.0856332975561,605.8329020019316,0.8711260073081732,0.4941146857181251,3868.4794111308443,1.8336313959877477,55.76991225181787,0.0,531.6441895650835,nan,nan,6583.45,1.0,13.810026928666252,0.0,531.6441895650835,nan,nan,6548.05,1.0,13.88468655302385,0.0,531.6441895650835,nan,nan,6716.44,1.0,13.536579167464883,0.0,531.6441895650835,nan,nan,6730.82,1.0,13.507659064352907,779.1014864798195,727.0669779359881,0.7273640099383446,0.6787849359070276,4689.055650030821,0.7948679990707298,10.231790655290538,0.0,531.6441895650835,nan,nan,5875.62,1.0,15.473706908126772
224d52m15pt84732s-18d10m38pt74692s,224.8710687,-18.1774297,0.6693569842453926,11.37015551876421,7.873319852954241,7.389413548148201,65.76116504692841,18.309431885385393,39505.31720283306,644.9625169754581,74.06847244660665,1.2092394593977578,5006.8424205172105,1.7716274855728582,41.382116194992264,14617.377048432045,1360.798328636169,16.79715383284445,1.5637236958344176,4958.84982645854,1.726047123467409,40.505129254393516,13989.710046003169,2270.3987576332547,10.515788338310996,1.7066138397669366,3727.637542235644,3.8237686415993233,128.44176206963397,15956.269202013273,2258.2778845018743,15.80952702047168,2.237509582143506,3727.7640418297865,3.9982155170696667,134.39946573827274,0.0,666.9140130085756,nan,nan,6562.8,1.0,13.853480493619768,11376.907375870078,1817.2574383558847,10.594337228084662,1.6922558561935308,4861.423936229544,2.16335313175589,53.60680236893947,5872.944450103206,1333.414452851975,9.436027005531233,2.1423895447292685,4340.550979961903,4.001027888160901,115.54422158784973,4825.996025776768,975.2476459313222,14.815169565602588,2.993881297405698,4101.686713582674,2.462513401584967,73.27879362241562,0.0,268.41656838136885,nan,nan,3970.08,1.0,22.900702702093618,1579.699788326988,527.5920004033815,2.2202386946221058,0.7415207515532064,3888.920617846042,2.0307548397980972,62.4034669771115,4490.444467744135,1335.672728708026,8.952912775991093,2.663024010939477,3832.656691772421,10.351081949372169,342.8015021896666,177.18832328518326,15173741.065642463,0.21449348054689857,18368.414316154984,4360.434263247403,0.3270941459396713,nan,2827.029657069181,497.81227467902943,3.204994100424466,0.5643681167176837,3868.5652387087835,1.7838956641392865,53.99489820354311,0.0,666.9140130085756,nan,nan,6583.45,1.0,13.810026928666252,0.0,666.9140130085756,nan,nan,6548.05,1.0,13.88468655302385,0.0,666.9140130085756,nan,nan,6716.44,1.0,13.536579167464883,0.0,666.9140130085756,nan,nan,6730.82,1.0,13.507659064352907,-2.873284379082687e-12,nan,-2.1564988386352924e-15,nan,4675.676395485474,1.3190574467113172,30.375970820544822,0.0,666.9140130085756,nan,nan,5875.62,1.0,15.473706908126772
224d52m13pt72584s-18d10m37pt46784s,224.8704794,-18.1770744,0.6693561140075799,nan,8.15777627282002,9.817356873301856,82.4299495568611,41.37102142986128,52903.1152761154,636.1214407741513,93.2396331449914,1.1211386978608269,5006.839579588619,1.6681580093698576,38.501506685514435,19400.1933874822,1726.4354106116239,31.289144764036166,2.7844406707430243,4958.925218677768,1.7176531437967804,40.269259049241505,26914.049837040122,3121.847231932309,159.97895901092903,18.556474160508802,3727.629031154629,4.549635714606119,153.59993533633897,22078.506092433672,2811.8820944973613,33.14308641423854,4.221048781761278,3727.7380137878813,3.9961621651623993,134.328259393721,0.0,825.4774381924419,nan,nan,6562.8,1.0,13.853480493619768,12355.246545323573,527.0841814597045,14.39937542822692,0.6142882688156994,4861.246006483387,1.6353493318560972,38.705325373190725,4426.732974484431,830.0038255237594,6.278331738356443,1.177174993562831,4340.665430504855,0.9490084064463675,18.795144108251648,2088.3039479472827,841.0401597088877,1.992096828611468,0.802293859827177,4101.598886660954,1.0894969007311814,25.91274302448947,0.0,385.50701959631976,nan,nan,3970.08,1.0,22.900702702093618,1743.1707947689752,318.6249641011817,2.977050388348134,0.5441592848855339,3888.7191370755572,0.9657639705548267,21.780764504525447,1464.126275071079,491.79479827174,3.1800718887523445,1.0681748150053967,3831.4517693520997,2.254909443675936,71.15033571868514,9638.350245178593,4888.262240959303,39.14362382271552,19.852391066885307,4361.599333667362,26.999694720829837,787.534717083131,3812.073317843656,459.60783584741625,5.735162205839232,0.6914676791029575,3868.746528905939,1.5686197412957912,46.19425992906228,0.0,825.4774381924419,nan,nan,6583.45,1.0,13.810026928666252,0.0,825.4774381924419,nan,nan,6548.05,1.0,13.88468655302385,0.0,825.4774381924419,nan,nan,6716.44,1.0,13.536579167464883,0.0,825.4774381924419,nan,nan,6730.82,1.0,13.507659064352907,560.5900052906757,10849747003185.0,0.9524597841562804,18434056246.588814,4686.061776230166,0.2673973168212482,nan,0.0,825.4774381924419,nan,nan,5875.62,1.0,15.473706908126772
224d52m10pt74756s-18d10m36pt18876s,224.8696521,-18.1767191,0.6694880736554325,nan,8.185861901831624,10.949716685454428,34.982135855797566,7.5539601667943215,35790.50534752744,547.9265872679592,119.36669656191911,1.8274172450359318,5006.839304807653,1.5969930953597504,36.49838606167283,10461.215297460183,1057.8697427117702,25.03376314047729,2.5314898718271888,4958.917428289683,1.4066305227649623,31.323272968176354,15046.504993875562,1885.236474255319,84.62234663119013,10.602670485347378,3727.8619404816754,4.446625011656002,150.03687458220895,7413.365320126237,1826.7723345982229,11.601474590583633,2.85878975437589,3728.777885679321,1.8832436028733546,59.691339320603184,0.0,628.7906670102499,nan,nan,6562.8,1.0,13.853480493619768,6275.193498866113,525.2678383565159,9.242704985713221,0.7736646956448153,4861.249945925481,1.536506449725139,35.820166496551785,3095.5464584227425,1411.2325921461327,14.326770615251132,6.5314495853974925,4340.796018946767,2.465562096364711,69.3416445662363,530.9767643771734,411879674.9844617,1.7205979827900046,1334671.091985986,4092.657089365764,0.35060338060114105,nan,1499.4031936758856,342.5539395965706,7.636240748506416,1.744577017803912,3969.8240964001416,1.2125007244323975,31.74766336837365,0.0,361.24297853062114,nan,nan,3889.06,1.0,23.37778840736009,835.2962766027139,515.5784913267328,1.8112198812704867,1.117957831255329,3842.521072600604,1.4999455764304916,44.03403711515152,0.0,384.19405414215663,nan,nan,4363.21,1.0,20.83732430562082,0.0,413.9105045975855,nan,nan,3868.75,1.0,23.500516131444996,0.0,628.7906670102499,nan,nan,6583.45,1.0,13.810026928666252,0.0,628.7906670102499,nan,nan,6548.05,1.0,13.88468655302385,0.0,628.7906670102499,nan,nan,6716.44,1.0,13.536579167464883,0.0,628.7906670102499,nan,nan,6730.82,1.0,13.507659064352907,0.0,353.58412963900037,nan,nan,4685.68,1.0,19.403292965701418,0.0,628.7906670102499,nan,nan,5875.62,1.0,15.473706908126772
224d52m06pt3822s-18d10m35pt5296s,224.8684395,-18.176536,0.6696983131945591,8.062259036101045,8.18628307954199,8.693534758748504,66.88712534581175,26.306372791426877,22305.98099966871,943.6128619545851,60.19974752742229,2.546637875022761,5006.83984108154,1.6348390294662236,37.56610394588217,7408.462678690875,1816.595787421721,251.29214442829607,61.61821565135823,4958.765860393454,1.8542031845100067,44.08040821656538,4483.385856181863,1190.7118103640257,7.311427825422529,1.941792150312219,3728.769485839676,1.6172210108775775,49.81238748696521,9874.05762281726,1650.8958846994078,72.9577219601091,12.198187162961103,3727.891944523939,4.1509241472603815,139.69199127541822,0.0,502.15604940473327,nan,nan,6562.8,1.0,13.853480493619768,5069.501460612228,511.30657338857003,54.381053199470216,5.484837155037466,4861.19634038472,1.6727860203776814,39.78742414905335,1302.905922273226,734.3723618039003,31.954627208898117,18.01096660380412,4340.850166550782,1.2326358056106406,29.758936742620243,15725.412692990725,1926.047164148784,33.496893562605784,4.102696578691856,4102.410157245799,16.079792702205623,498.61397463397674,2476.8695113104254,748.0874293098535,8.056445301789205,2.433283395701495,3970.745810961865,2.0828874093189684,62.90786555266086,0.0,224.8500051639738,nan,nan,3889.06,1.0,23.37778840736009,825.7437432859081,646.5525549184217,8.007177296442643,6.26957331592793,3839.906969669248,0.913261414886076,19.469770462150574,1869.8322747584077,740.6814445415051,282.76828968191205,112.01070176157394,4369.358983526252,5.067082580056057,146.43019820871467,1070.4765038068306,497.2723165561656,4.053539606186054,1.8830053934411675,3869.068259751642,1.111349445007329,28.4052680279896,0.0,502.15604940473327,nan,nan,6583.45,1.0,13.810026928666252,0.0,502.15604940473327,nan,nan,6548.05,1.0,13.88468655302385,0.0,502.15604940473327,nan,nan,6716.44,1.0,13.536579167464883,0.0,502.15604940473327,nan,nan,6730.82,1.0,13.507659064352907,580.7510245402943,13137486624.741196,9.160209252902922,207218104.58294415,4676.908641056519,0.28337813233712167,nan,0.0,502.15604940473327,nan,nan,5875.62,1.0,15.473706908126772
224d52m07pt27968s-18d10m42pt58416s,224.8686888,-18.1784956,0.6693541089110797,nan,8.14462676257594,12.118978853737758,41.02432908524927,9.369543777119569,34329.87626786087,713.307007861528,17.625386339623915,0.366220707998607,5006.840558955252,1.8533394112681745,43.63471125574572,12596.526450241268,1271.2924041069953,6.034057494725049,0.6089814909920593,4958.906616708406,1.7250442485752662,40.476960493581025,17822.236456365354,2459.54577965458,8.567192788115468,1.1823096903178352,3727.6078458103366,4.409488422678258,148.75184166535038,19342.69352364103,2559.613418068818,10.018582524303902,1.3257563238488885,3727.5318260617573,4.598474006692235,155.17233133052514,0.0,712.7691660743928,nan,nan,6562.8,1.0,13.853480493619768,6938.813386259266,696.9854337435694,2.7236534945349744,0.2735837824972912,4861.20963120707,1.5885902756293584,37.345878331608986,3230.1682423485945,1630.506820610153,1.45598680262017,0.7349451280173778,4340.3042286637965,1.6494293318567703,43.80661906790056,2400.3674980897467,605.2508697559971,1.0130883764072123,0.2554494765689543,4101.533179665536,1.4474180514068988,39.322036393030515,0.0,346.96833330362585,nan,nan,3970.08,1.0,22.900702702093618,0.0,248.53884258874706,nan,nan,3889.06,1.0,23.37778840736009,1653.999541212131,450.49906075393983,0.9457486373114927,0.25759310217577774,3829.7159701934456,2.2824533087583463,72.11151072600335,0.0,346.75614644298884,nan,nan,4363.21,1.0,20.83732430562082,2269.3401776625315,435.0255978195105,1.0953999750060954,0.20998483773787344,3868.8267016813224,1.1078091606021558,28.255115859960082,0.0,712.7691660743928,nan,nan,6583.45,1.0,13.810026928666252,0.0,712.7691660743928,nan,nan,6548.05,1.0,13.88468655302385,0.0,712.7691660743928,nan,nan,6716.44,1.0,13.536579167464883,0.0,712.7691660743928,nan,nan,6730.82,1.0,13.507659064352907,0.0,415.5298366866908,nan,nan,4685.68,1.0,19.403292965701418,0.0,712.7691660743928,nan,nan,5875.62,1.0,15.473706908126772
224d52m05pt48472s-18d10m44pt75496s,224.8681902,-18.1790986,0.6695000244102056,nan,8.152930868169138,12.970599094509842,53.910773105417896,15.275199232807887,29891.69338860506,599.6405329735071,17.661878905229344,0.35430506871459316,5006.8421222470815,1.589621385026007,36.28972767106349,10392.144298097048,1201.1151981714008,7.163241783081535,0.8279213920664219,4958.876966927889,2.027910743593702,48.862566336986234,16651.181003468257,1793.1774209026871,14.580205434112964,1.5701526018561889,3727.7984857208494,5.0154466344726725,169.68935303995397,12259.977635066658,1778.8268736670304,7.576689624190539,1.0993184097167408,3727.7644387299642,4.248912502806062,143.08499523934913,0.0,660.3761237127245,nan,nan,6562.8,1.0,13.853480493619768,5334.757155089751,480.9607427025042,2.693715451100913,0.24285480038292573,4861.265621083032,1.3808622852066403,31.171606431113972,1918.877838551618,926.2444738477757,1.0330194912585033,0.49863966112478014,4340.525366257304,1.1437855826620866,26.531940980202126,5215.68724071138,812.2521614984929,3.5669648247818415,0.5554924509858029,4102.8796775378205,8.254455373615949,255.28016857529036,0.0,nan,nan,nan,3976.7133571743643,0.0,nan,1125.1931601263643,490.90833125696224,0.7018669535929344,0.3062161655106581,3888.9941905453747,1.4870228408942878,42.94757661812114,-5.436472934803213e-11,nan,-2.5049785978606167e-14,nan,3845.6861054213964,1.4974543057487608,43.94051524834328,0.0,541.3757920710501,nan,nan,4363.21,1.0,20.83732430562082,2251.432232883183,485.22584805894616,1.3833952605792506,0.2981476096465402,3868.914959681821,1.625825964776223,48.28870937052174,0.0,660.3761237127245,nan,nan,6583.45,1.0,13.810026928666252,0.0,660.3761237127245,nan,nan,6548.05,1.0,13.88468655302385,0.0,660.3761237127245,nan,nan,6716.44,1.0,13.536579167464883,0.0,660.3761237127245,nan,nan,6730.82,1.0,13.507659064352907,0.0,478.6328373594527,nan,nan,4685.68,1.0,19.403292965701418,0.0,660.3761237127245,nan,nan,5875.62,1.0,15.473706908126772
224d52m04pt70928s-18d10m46pt848s,224.8679748,-18.17968,0.6697092798270929,nan,8.173356234610813,8.419690085923662,78.93970728774555,37.67278181425451,21664.052136823582,1442.812232587506,16.82944566829916,1.1208304856604296,5006.832118054639,1.9324853580864076,45.80080720279108,8110.962331168731,1680.8616504621993,4.654356975789448,0.9645378475131468,4959.057200676326,2.239337520063044,54.60952629941648,6119.251057124716,1042.349668906416,3.405926899398511,0.5801636087105778,3728.870234492958,1.782481487250361,56.010555475656545,5888.535508952519,1080.9828345755539,3.1706009364972494,0.5820403362486267,3728.857115020031,1.7249567438259077,53.82652292763769,0.0,549.342754202781,nan,nan,6562.8,1.0,13.853480493619768,4962.510568402455,377.8069484977168,2.764424796045906,0.2104617979446942,4861.423984664819,1.834587080118298,44.40996194798189,2498.1287155346,1141.7858538990802,1.42999167161404,0.6535869235597023,4340.664584754665,2.6430108652769677,74.75387831541084,23745.50488613028,7401.524113319823,21.341526972704916,6.652199111411819,4105.508441490683,23.09735440726635,716.5699803424435,829.7898570668226,488.9701619633826,0.4225604587697254,0.24900214699456727,3970.9395313082928,1.3203885606714898,35.90153865339589,2509.6008649383266,1085.3533660161283,1.5160870754108615,0.6556780536139815,3885.632426486021,5.8333838541081855,189.57859183967415,749.9474334513245,477.1477617332771,0.44514818946570917,0.28322180031431476,3832.2229821290757,1.0314668770521038,25.1466117884352,0.0,380.9296030078444,nan,nan,4363.21,1.0,20.83732430562082,424.6417317094938,1417074.753811638,0.2365687609756288,789.4551893651495,3859.6994729070775,0.500987289881358,nan,0.0,549.342754202781,nan,nan,6583.45,1.0,13.810026928666252,0.0,549.342754202781,nan,nan,6548.05,1.0,13.88468655302385,0.0,549.342754202781,nan,nan,6716.44,1.0,13.536579167464883,0.0,549.342754202781,nan,nan,6730.82,1.0,13.507659064352907,0.0,489.5271895406048,nan,nan,4685.68,1.0,19.403292965701418,0.0,549.342754202781,nan,nan,5875.62,1.0,15.473706908126772
224d52m16pt1328s-18d10m56pt96472s,224.871148,-18.1824902,0.6694294231075677,nan,8.102912906480658,11.536915251246374,45.04159049104444,14.418135543894634,19576.177158061655,497.2374049489099,57.115345379385296,1.4507370816018037,5006.844402905094,1.7295640117639333,40.21518912173175,6777.160270866291,1037.015761181137,67.23225590442722,10.287628777553241,4958.7722054467595,1.7122519291853735,40.11736412761895,22082.3093180847,2357.101337189655,32.27035498149734,3.444589774683478,3728.0877490783746,7.684452438659076,261.4689762989966,12151.454847302115,1646.058779869165,756.34065804445,102.45531883966153,3727.7838410052386,4.520493635866187,152.4779643153127,0.0,474.1982742199939,nan,nan,6562.8,1.0,13.853480493619768,5251.585911387303,469.67538683871106,156.26091826455462,13.975189299395673,4861.104395727571,2.0209979506854854,49.65043468486195,942.7787547086796,733.7820687443931,3.7419033328855122,2.9123922817869503,4342.6559813945105,1.800719420635501,48.6629035877686,0.0,420.0672794102686,nan,nan,4101.73,1.0,22.16567686891332,95.8317617125171,95635986.50611547,0.4440394216909077,443132.2912377205,3961.019592952805,0.3577122965215003,nan,529.1798664689779,445.16803151250235,2.9609344633523857,2.49086076400335,3888.550804591099,1.0242716843600004,24.477986862028935,0.0,295.37823557105895,nan,nan,3835.4,1.0,23.704860453545347,0.0,356.0193343008806,nan,nan,4363.21,1.0,20.83732430562082,0.0,278.45906872424604,nan,nan,3868.75,1.0,23.500516131444996,0.0,474.1982742199939,nan,nan,6583.45,1.0,13.810026928666252,0.0,474.1982742199939,nan,nan,6548.05,1.0,13.88468655302385,0.0,474.1982742199939,nan,nan,6716.44,1.0,13.536579167464883,0.0,474.1982742199939,nan,nan,6730.82,1.0,13.507659064352907,0.0,413.1362898866089,nan,nan,4685.68,1.0,19.403292965701418,0.0,474.1982742199939,nan,nan,5875.62,1.0,15.473706908126772
224d52m15pt81168s-18d10m58pt48392s,224.8710588,-18.1829122,0.6692467697199904,9.236256759887532,7.459718005600186,5.280544148457829,36.94192506659402,11.476074030422033,11833.879869055881,779.7267454462009,93.3664987791768,6.151858649263295,5006.822063174784,1.5973234987154965,36.50773283428363,4026.9165365794265,943.5293660827648,447.9137611862414,104.94873268736434,4958.910278604416,1.3890762996591426,30.80261304526343,2516.674940969951,730.5378473231443,18.781061356917707,5.451747427039038,3728.8990217265587,1.20264554541399,33.41384817853639,2619.043533326073,770.9446418870641,26.808904615819575,7.8914997423428765,3728.8762229427202,1.2536629698796402,35.509055523522115,0.0,465.8158261695438,nan,nan,6562.8,1.0,13.853480493619768,3976.202885466513,343.5728588794305,75.04372984738517,6.484324252890015,4861.082241184577,1.7699881705953875,42.574033797013236,982.5320755920429,487.48660748766974,5.5895901298832005,2.773294019965115,4342.619085834121,1.1917293763249495,28.289143696820414,0.0,560.3013024604896,nan,nan,4101.73,1.0,22.16567686891332,886.0600802358871,327.393678766987,24.58208640797617,9.082927761210868,3971.264209121038,1.2087066530564918,31.598540471131088,783.1442494083886,327.41075208339754,38.9519592473492,16.28472696049378,3889.044570092914,1.1639861233666922,30.44333095223424,786.5399530701676,440.82227651530354,30.697764507956187,17.204794723403854,3838.210391031914,1.0785230799241148,27.235054600292855,285.8493263571801,67980700497.0508,1.5700047964268562,373378615.9477036,4360.620108832873,0.2840593347374729,nan,414.69310436480555,632.9900428248028,1.0198445847440523,1.5566968936235053,3868.6602933422387,1.1063015653146895,28.19107840461464,0.0,465.8158261695438,nan,nan,6583.45,1.0,13.810026928666252,0.0,465.8158261695438,nan,nan,6548.05,1.0,13.88468655302385,0.0,465.8158261695438,nan,nan,6716.44,1.0,13.536579167464883,0.0,465.8158261695438,nan,nan,6730.82,1.0,13.507659064352907,-2220.21383563398,1279.1205497427256,-16.722120652886524,9.634030659157933,4690.828708636329,8.64663740027242,234.15840371081242,0.0,465.8158261695438,nan,nan,5875.62,1.0,15.473706908126772
