object_id,ra,dec,z,zcluster,name,oiii5007_flux,oiii5007_flux_err,oiii5007_ew,oiii5007_ew_err,oiii5007_centroid,oiii5007_fwhm,oiii5007_vel_disp,oiii4959_flux,oiii4959_flux_err,oiii4959_ew,oiii4959_ew_err,oiii4959_centroid,oiii4959_fwhm,oiii4959_vel_disp,oii3726_flux,oii3726_flux_err,oii3726_ew,oii3726_ew_err,oii3726_centroid,oii3726_fwhm,oii3726_vel_disp,oii3729_flux,oii3729_flux_err,oii3729_ew,oii3729_ew_err,oii3729_centroid,oii3729_fwhm,oii3729_vel_disp,halpha_flux,halpha_flux_err,halpha_ew,halpha_ew_err,halpha_centroid,halpha_fwhm,halpha_vel_disp,hbeta_flux,hbeta_flux_err,hbeta_ew,hbeta_ew_err,hbeta_centroid,hbeta_fwhm,hbeta_vel_disp,hgamma_flux,hgamma_flux_err,hgamma_ew,hgamma_ew_err,hgamma_centroid,hgamma_fwhm,hgamma_vel_disp,hdelta_flux,hdelta_flux_err,hdelta_ew,hdelta_ew_err,hdelta_centroid,hdelta_fwhm,hdelta_vel_disp,hepsilon_flux,hepsilon_flux_err,hepsilon_ew,hepsilon_ew_err,hepsilon_centroid,hepsilon_fwhm,hepsilon_vel_disp,hzeta_flux,hzeta_flux_err,hzeta_ew,hzeta_ew_err,hzeta_centroid,hzeta_fwhm,hzeta_vel_disp,heta_flux,heta_flux_err,heta_ew,heta_ew_err,heta_centroid,heta_fwhm,heta_vel_disp,oiii4363_flux,oiii4363_flux_err,oiii4363_ew,oiii4363_ew_err,oiii4363_centroid,oiii4363_fwhm,oiii4363_vel_disp,neiii_flux,neiii_flux_err,neiii_ew,neiii_ew_err,neiii_centroid,neiii_fwhm,neiii_vel_disp,nii6583_flux,nii6583_flux_err,nii6583_ew,nii6583_ew_err,nii6583_centroid,nii6583_fwhm,nii6583_vel_disp,nii6548_flux,nii6548_flux_err,nii6548_ew,nii6548_ew_err,nii6548_centroid,nii6548_fwhm,nii6548_vel_disp,sii6716_flux,sii6716_flux_err,sii6716_ew,sii6716_ew_err,sii6716_centroid,sii6716_fwhm,sii6716_vel_disp,sii6731_flux,sii6731_flux_err,sii6731_ew,sii6731_ew_err,sii6731_centroid,sii6731_fwhm,sii6731_vel_disp,nev3426_flux,nev3426_flux_err,nev3426_ew,nev3426_ew_err,nev3426_centroid,nev3426_fwhm,nev3426_vel_disp,fevii3760_flux,fevii3760_flux_err,fevii3760_ew,fevii3760_ew_err,fevii3760_centroid,fevii3760_fwhm,fevii3760_vel_disp,heii4686_flux,heii4686_flux_err,heii4686_ew,heii4686_ew_err,heii4686_centroid,heii4686_fwhm,heii4686_vel_disp,hei5876_flux,hei5876_flux_err,hei5876_ew,hei5876_ew_err,hei5876_centroid,hei5876_fwhm,hei5876_vel_disp,flux_HST_F435W,flux_HST_F606W,flux_HST_F814W,flux_Spitzer_I1_3.6,flux_Spitzer_I2_4.5,WFC3_F502N,WFC3_F606W,WFC3_F625W,WFC3_F656N,WFC3_F775W
0d47m35pt7414972s-6d05m45pt46070142s,0.7932615269987924,-6.0959613059510875,0.40356436459876277,0.234,a2697,3988.9926538417167,64.98208316839337,91.30362943475343,4.062611126529947,5006.839148133549,2.005502532709892,47.78725643463929,141.87351438114544,84.37067112797378,1.5086858750338217,2.488326363069314,4960.1552060915465,1.4945932385722889,33.902069014347795,0.0,0.0,nan,nan,3725.8393172074752,5.9284884732109315,201.14625991669564,0.0,0.0,nan,nan,3728.523119445392,3.085812782665918,102.60991002149609,0.0,0.0,nan,nan,6562.520512789722,0.4999617834394905,nan,225.18728616729544,71.0839220183381,5.0124701777350955,4.547190876912973,4855.689550963157,2.048056436291737,50.405129709215934,283.8931760980184,66.0734783999189,22.330267520419525,18.39782357467272,4341.477706785064,0.9944982779797321,20.71997210438534,609.9371448035231,116.49351930090218,6.073739644709965,4.6280753783563116,4104.487884303846,2.8112365792373124,84.50733513028088,0.0,62.44260744512954,nan,nan,3970.08,1.0,22.900702702093618,0.0,0.0,nan,nan,3888.4982473509667,4.080792793357396,131.6065707711808,0.0,0.0,nan,nan,3831.9760385499812,5.588815628844737,184.05116714215688,0.0,0.0,nan,nan,4361.953154878922,5.5276911842701795,159.98900525592637,1527.9356442147334,190.25672089653818,139.41315142152234,79.4859156356135,3869.536640421949,6.778844466609626,221.8809819153023,18.666888725031686,187.81559642605293,0.3880037392493251,7.453128296047754,6583.405961855005,0.4999617834394905,nan,347.7192066656473,82.92636439491024,13.746608396001934,6.294265010793665,6548.091314060789,1.5059370975163218,25.92376808470854,0.0,0.0,nan,nan,6716.44,1.0,13.536579167464883,0.0,0.0,nan,nan,6730.82,1.0,13.507659064352907,229.18837621195667,0.0,2.1498186287172847,0.0,3423.43698525485,0.4999617834394905,nan,835.4015580936208,14098700.995428685,5.09698226575754,424148.9703793827,3756.950233685972,0.5604893713594409,nan,0.0,34.59111136224426,nan,nan,4685.68,1.0,19.403292965701418,172.02573702215034,74.82661420176892,8.482243891102083,8.031116363190925,5869.9906538552705,1.1321807475104742,19.280848593249267,nan,nan,nan,0.2537239654712248,0.11435331886498258,0.7607900849023262,0.03433877286712886,0.06219170830839885,4.363132369725686,0.11786081190657025
0d47m48pt01092374s-6d05m28pt46077468s,0.796669701037554,-6.091239104079102,0.636493019604309,0.234,a2697,18342.768660540885,68.24873114911351,18.176749889907224,0.18472790563508096,5006.840834445676,1.7061578651961724,39.563471126068784,6172.784618032881,89.03133378757333,6.295586619562051,0.25193775875344065,4958.924971485399,1.7981981248530818,42.52365054994582,4359.128474228522,106.39051998493038,2.732583602124368,0.3359585599918988,3726.0091038026912,1.6836752121110488,52.31979523028367,6417.408417895022,133.62000423887005,4.030920483279635,0.421943460907614,3728.881789659576,1.6836752121110488,52.28064820020646,0.0,0.0,nan,nan,6562.8,1.0,13.853480493619768,3775.830783477803,116.50194399291375,4.206492539599995,0.3722564704818713,4861.371327364013,1.8034392727729245,43.52618711699272,2185.848799375212,63.61464499085943,1.9143725990705724,0.19732923149516468,4340.3598773307995,1.8542161242411976,50.361610546177126,1251.8394210932784,50.881327147908294,1.007479578360665,0.16363694661317896,4101.488238052665,2.094953179418254,61.28624229314098,744.8375528380597,75.14481076179464,0.6066342173497835,0.26390666894784565,3967.487954972221,1.2241567950879033,32.20435165392934,0.0,0.0,nan,nan,3888.107811255905,5.686648518778757,184.73926975163056,0.0,0.0,nan,nan,3829.647593186112,0.4999617834394905,nan,348.6968479733355,879396.1802210708,0.29090044560440836,2570.6612486351783,4363.412061091764,0.5168278941495127,nan,1692.2004200527167,122.80409121045744,1.346209896620447,0.4475338055983583,3868.8073746476443,1.6826668009224734,50.35320412650667,0.0,0.0,nan,nan,6583.45,1.0,13.810026928666252,0.0,0.0,nan,nan,6548.05,1.0,13.88468655302385,0.0,0.0,nan,nan,6716.44,1.0,13.536579167464883,0.0,0.0,nan,nan,6730.82,1.0,13.507659064352907,255.4780357811572,214413.68032214537,0.1390770985918311,741.8096938157773,3427.8196912486587,0.4999617834394905,nan,818.4189937801627,66.59956848575254,0.523425349322099,0.20977464772622065,3758.698904152189,1.4921435978326003,44.6181533713262,1355.3459761042184,469.4712072075178,1.467562774940182,1.5494444112296206,4694.811977830021,9.99923566878981,271.0131455203778,0.0,0.0,nan,nan,5875.62,1.0,15.473706908126772,nan,5.7488815637447885,13.859048354164466,2.327996599056209,2.684543431007448,8.378851701693362,0.48481508811874763,0.9228276571261894,86.78955485022557,1.6219942169117798
0d48m10pt33722465s-6d05m57pt46071002s,0.8028714512914789,-6.099294641672274,0.5081774652974029,0.234,a2697,1761.5583930657979,82.72286268633098,25.226101461833178,3.2356572480992773,5006.860223559952,1.9313368870459533,45.769475704569665,939.1369639242889,76.59640933620571,19.00872888086018,4.301322269918005,4959.104787754279,1.7443758191806498,41.01938511745206,844.6056493678326,1696.286682561901,13.016716969101463,131.74659929854906,3725.403836527263,4.224626336900394,142.35076792742342,2017.5833431404958,2977.9813681478568,31.151239847683033,231.29281274281496,3728.029768075795,4.224626336900394,142.2442573845392,0.0,0.0,nan,nan,6562.8,1.0,13.853480493619768,693.3642740577019,2477727.3862455958,10.770468955377615,110423.54794079154,4860.490368831173,0.5124781526497829,nan,0.0,0.0,nan,nan,4336.621863580239,0.4999617834394905,nan,23.705574012205194,158.2668892708946,0.5636400667096678,15.034196367006757,4101.897063451465,0.4999617834394905,nan,0.0,0.0,nan,nan,3969.1413619203554,9.99923566878981,319.8627926142355,0.0,41.244549646109064,nan,nan,3889.06,1.0,23.37778840736009,358.62144571294334,65.2793710709417,3.174539431183496,2.7121007335565808,3830.9997459108304,1.2939449564889587,36.1228491150013,0.0,37.738461902976795,nan,nan,4363.21,1.0,20.83732430562082,0.0,0.0,nan,nan,3868.923630947949,0.6385914491141975,nan,0.0,0.0,nan,nan,6583.45,1.0,13.810026928666252,0.0,0.0,nan,nan,6548.05,1.0,13.88468655302385,0.0,0.0,nan,nan,6716.44,1.0,13.536579167464883,0.0,0.0,nan,nan,6730.82,1.0,13.507659064352907,0.0,0.0,nan,nan,3425.6853367749636,7.213353964361549,266.78306424130005,126.6894321410385,93.59265621434339,2.671744031269437,9.726141684616206,3757.883759088729,0.4999617834394905,nan,0.0,0.0,nan,nan,4686.399036353664,2.4402862159307297,63.51631730182846,0.0,0.0,nan,nan,5875.964136628419,3.012854520812849,63.494689394980945,nan,14.506761801661057,30.993382221917134,3.7804706968118906,3.2494612448981726,0.3763075869235402,0.036811486510328555,0.06941239915835602,4.535829517614674,0.14662362403731483
110d51m11pt41361453s-73d27m34pt64474649s,110.85317044847947,-73.4596235406916,0.5494165968883693,nan,BLANK,47309.702704448224,676.3231711969278,79.53570503485724,3.105382288728063,5007.1094704086645,7.326732087852838,185.44637821415847,356.37300559695683,159.16843319241434,0.7153837366320874,0.8875151761232075,4955.527645437163,2.2157889918426164,53.972703564973635,593.1736806223352,255.35945373633714,0.6494844789130405,1.410220571551792,3724.2331172901536,1.7394789459895108,54.40928482937655,1103.4894013024636,390.54191413501593,1.212568772911801,2.156764644143826,3729.3486111860334,1.7394789459895108,54.36857438889565,0.0,0.0,nan,nan,6562.8,1.0,13.853480493619768,0.0,0.0,nan,nan,4861.4176518317745,4.593633022527777,118.89464636556205,550.0209132365588,6168973.980376225,0.9610654040885083,38285.35404536136,4334.391957655395,0.5003955039064253,nan,9.540081829649141,435.6567774806523,0.014138658357896239,2.583653443704454,4098.95657268881,0.4999617834394905,nan,126.05964520859723,0.0,0.17680249933098688,0.0,3970.932475751047,0.4999617834394905,nan,0.0,0.0,nan,nan,3889.1519300941095,4.263703087135115,137.68035903310417,139.34987534183466,419.7257225939118,0.20699454110680113,2.9176238577818596,3835.521218092364,0.4999617834394905,nan,0.0,0.0,nan,nan,4362.990048839122,4.547739357578837,131.11301794710158,0.0,0.0,nan,nan,3868.7527337645215,2.9647154523424604,94.80238513665616,0.0,0.0,nan,nan,6583.45,1.0,13.810026928666252,0.0,0.0,nan,nan,6548.05,1.0,13.88468655302385,0.0,0.0,nan,nan,6716.44,1.0,13.536579167464883,0.0,0.0,nan,nan,6730.82,1.0,13.507659064352907,0.0,0.0,nan,nan,3425.1406306742424,5.707155730444273,210.47659518345165,0.0,0.0,nan,nan,3759.8238951927156,4.9584734071423195,166.20793101437175,365.9092776477868,117.33929127018554,0.7290406345978611,0.7153294365761789,4684.8160802487455,0.9726288224871038,18.347463187316418,0.0,0.0,nan,nan,5873.230035869776,9.406142429137168,203.24265972071962,2.3022634033960516,3.654638130240263,7.066720629746515,2.6283963442389107,2.176925337802367,0.0,0.0,0.0,0.0,0.0
135d08m52pt94267089s20d53m53pt0886783s,135.1480396308023,20.898080188417477,0.08084762004280721,nan,BLANK,8452.960747939926,167.43156828775656,11.786014847116176,0.6376509708429107,5006.833948132245,2.823530165215635,69.55325832579085,3536.387458937847,137.44508109162487,5.496788666938845,0.5926059005601854,4959.673816341196,3.5756076744479515,90.020307805324,0.0,0.0,nan,nan,3726.03,1.0,24.400668213494743,0.0,0.0,nan,nan,3728.82,1.0,24.382410999599827,13533.839204422167,184.44538039355186,31.764226146894917,0.8291841392736615,6562.772300929258,2.510806919210495,46.77534261248364,5399.485817260373,196.51530266403486,7.8063990617937105,0.814896984916585,4861.328374122224,2.5899473478960022,65.30210820686185,0.0,0.0,nan,nan,4340.46,1.0,20.94654063936261,0.0,0.0,nan,nan,4101.73,1.0,22.16567686891332,0.0,0.0,nan,nan,3970.08,1.0,22.900702702093618,0.0,0.0,nan,nan,3889.06,1.0,23.37778840736009,0.0,0.0,nan,nan,3835.4,1.0,23.704860453545347,0.0,0.0,nan,nan,4363.21,1.0,20.83732430562082,0.0,0.0,nan,nan,3868.75,1.0,23.500516131444996,382.92492866876285,1890.2836308464214,0.5529385939876296,5.2111631342939075,6583.384695623448,0.4999617834394905,nan,0.0,0.0,nan,nan,6547.777483287659,9.99923566878981,193.93267853817915,3148.627350102095,282.7557066993019,8.077974568681919,1.3568694341589826,6716.3751814445,2.4820730957414834,45.137933474895874,1619.6196813115723,274358687.5466452,3.489747812392843,1103264.842195188,6731.22720552645,0.6851308825755644,nan,0.0,0.0,nan,nan,3426.0,1.0,26.53754284399528,0.0,0.0,nan,nan,3760.0,1.0,24.18021855944889,2573.1469746436433,409.6807086472137,3.236856425180453,1.5779647887918582,4682.967980584916,9.147188076450542,247.80071281391815,1319.3046992422462,448.8165849005588,2.7682281810801124,2.047187605473574,5876.156865551733,2.3380524690523643,48.33601223555577,nan,10.663181343283915,15.538350225555865,0.45195646117193655,2.39151622832442,0.0,0.0,0.0,0.0,0.0
135d08m53pt3707574s20d53m57pt68868486s,135.14815854372222,20.899357968017405,0.0811254124963745,nan,BLANK,7438.578570496322,135.19811777690362,9.7744005320654,0.4852444357976078,5006.8183173826665,2.936158416861634,72.50566619299364,2914.613162620139,201.20793924177602,3.5614918267094344,0.6821357821786915,4959.0682358547865,2.9872175780569914,74.55553232706447,0.0,0.0,nan,nan,3726.03,1.0,24.400668213494743,0.0,0.0,nan,nan,3728.82,1.0,24.382410999599827,8644.369764650351,194.3236505470232,17.060616923162407,0.7346196898870782,6562.634084007955,2.7619567459857985,51.82918784910683,2836.4307130931243,148.26118615412994,3.781194284599935,0.5669539645973666,4860.962068182073,1.5020277220577838,34.80278165094547,0.0,0.0,nan,nan,4340.46,1.0,20.94654063936261,0.0,0.0,nan,nan,4101.73,1.0,22.16567686891332,0.0,0.0,nan,nan,3970.08,1.0,22.900702702093618,0.0,0.0,nan,nan,3889.06,1.0,23.37778840736009,0.0,0.0,nan,nan,3835.4,1.0,23.704860453545347,0.0,0.0,nan,nan,4363.21,1.0,20.83732430562082,0.0,0.0,nan,nan,3868.75,1.0,23.500516131444996,565.7816326535973,851.950452263997,0.8698084969914074,2.5005414465419618,6583.377610175445,2.4494290483202192,45.39139380194508,0.0,0.0,nan,nan,6545.010082998805,9.99923566878981,193.93267853817915,2095.399483657893,297.69443308083,4.72785801859802,1.2563913076737974,6716.204085697251,2.718892249452019,49.79928607374152,1854.131112909111,321.62446659406874,4.073865690285705,1.318970310430871,6730.616119040773,3.1782519481644513,58.63888991935447,0.0,0.0,nan,nan,3426.0,1.0,26.53754284399528,0.0,0.0,nan,nan,3760.0,1.0,24.18021855944889,1214.7222835084808,1071.135116925912,1.4468957820290689,3.903146509383564,4685.259355317594,9.99923566878981,271.0131455203778,787.2611554882741,314.9835253697577,1.3909017991154469,1.2095577466185563,5876.923770928039,3.765503614661752,80.16696041880407,nan,10.725237900633765,15.203826726198146,0.8541230723622906,1.245128986930331,0.0,0.0,0.0,0.0,0.0
135d08m54pt86939303s20d53m54pt88870579s,135.1485748313986,20.898580196052816,0.08090723821249379,nan,BLANK,35912.10448549126,169.4961207160461,25.058385962390325,0.3230420636182452,5006.83732392205,2.605355281385899,63.811113540001244,13147.31551057242,150.07752741699832,9.569044232762362,0.30305885831833657,4959.0324301584415,2.7399378036368223,68.00807950994232,0.0,0.0,nan,nan,3726.03,1.0,24.400668213494743,0.0,0.0,nan,nan,3728.82,1.0,24.382410999599827,49664.9545421089,689.5221395528839,49.99403680431721,1.3294799656039775,6562.779785326087,2.5244519129673293,47.050904034159345,19307.262642922113,150.2529700816414,13.982695898114846,0.31210637238004846,4861.319336077329,2.527689561839729,63.60700844919414,0.0,0.0,nan,nan,4340.46,1.0,20.94654063936261,0.0,0.0,nan,nan,4101.73,1.0,22.16567686891332,0.0,0.0,nan,nan,3970.08,1.0,22.900702702093618,0.0,0.0,nan,nan,3889.06,1.0,23.37778840736009,0.0,0.0,nan,nan,3835.4,1.0,23.704860453545347,0.0,0.0,nan,nan,4363.21,1.0,20.83732430562082,0.0,0.0,nan,nan,3868.75,1.0,23.500516131444996,724.9745758790574,4305.4397746184895,0.3885601999374763,4.405549987741821,6583.346173950802,0.4999617834394905,nan,0.0,0.0,nan,nan,6548.220466296344,9.99923566878981,193.93267853817915,8579.002092396851,741.8949272832222,10.330092392231034,1.670895255882884,6716.468301707932,2.576361858340063,46.99785839071798,5327.662912173912,880.3300820270399,5.87767772879135,1.8126450824167801,6730.947355523652,2.0299250129624533,36.03992996669138,0.0,0.0,nan,nan,3426.0,1.0,26.53754284399528,0.0,0.0,nan,nan,3760.0,1.0,24.18021855944889,2885.2466017731035,305.3339677390868,1.8727091207556021,0.6073459149693797,4680.691199806337,6.989454382248732,188.94900146607304,2245.126005042125,458.4834435152394,2.3122969787040275,1.0266127140973484,5875.636141828898,2.726978945757209,57.10703543147437,nan,21.718818934211242,32.6176354193269,1.596412125647803,3.2972352014276622,0.0,0.0,0.0,0.0,0.0
135d08m56pt79607738s20d54m01pt28872719s,135.14911002149546,20.9003579797741,0.0814856701640434,nan,BLANK,6790.481929084655,182.79422545417071,6.317688836232907,0.46452132353635234,5006.848200013363,2.87683984309556,70.95160954481082,1668.8546129302954,155.06496759628,1.530032234768712,0.3944843015281211,4958.656361153656,1.6317069496825618,37.84019830162184,0.0,0.0,nan,nan,3726.03,1.0,24.400668213494743,0.0,0.0,nan,nan,3728.82,1.0,24.382410999599827,9871.707976747224,210.9528410638118,15.292252681749572,0.6259433587270976,6562.706529484098,2.4621900195920543,45.79247952615208,2740.4710619489265,128.12821594621772,2.7267244111796787,0.3656366036874181,4861.454612225372,2.0283158362323235,49.85467309541434,0.0,0.0,nan,nan,4340.46,1.0,20.94654063936261,0.0,0.0,nan,nan,4101.73,1.0,22.16567686891332,0.0,0.0,nan,nan,3970.08,1.0,22.900702702093618,0.0,0.0,nan,nan,3889.06,1.0,23.37778840736009,0.0,0.0,nan,nan,3835.4,1.0,23.704860453545347,0.0,0.0,nan,nan,4363.21,1.0,20.83732430562082,0.0,0.0,nan,nan,3868.75,1.0,23.500516131444996,227.0414303269723,0.0,0.2693371118686262,0.0,6583.2930440578775,0.4999617834394905,nan,0.0,0.0,nan,nan,6546.922035330895,0.4999617834394905,nan,2425.3282532555054,284.97948471661056,3.828816478690602,0.8415219261331753,6716.185702646966,2.6970426446285116,49.370554879309495,1707.06998472717,266.3081365580751,2.6298014878430056,0.7657566799240215,6730.384103172373,2.0911234067098685,37.27068294415976,0.0,0.0,nan,nan,3426.0,1.0,26.53754284399528,0.0,0.0,nan,nan,3760.0,1.0,24.18021855944889,853.0004911794705,106952861.12544727,0.6569699947895448,251919.49138277836,4686.081936473005,0.6891130655188729,nan,556.4756199194936,151.9141759103405,0.7358135211435223,0.43668004159870394,5876.032966065873,1.6555361622976412,32.50706279642763,nan,15.123514623759219,21.520393764957838,0.8166950401959419,0.8438850237065092,0.0,0.0,0.0,0.0,0.0
135d08m57pt65244372s20d53m59pt08873487s,135.1493479010342,20.89974687079747,0.0814370611887496,nan,BLANK,7977.077004861493,203.8944859043018,4.785052173634943,0.3340693145247879,5006.829219972885,3.1425902037741853,77.89984738519216,2554.1506042191463,247.67608767276997,1.396034367695989,0.37558289912687226,4959.086066959517,3.2209095874469558,80.71398719847112,0.0,0.0,nan,nan,3726.03,1.0,24.400668213494743,0.0,0.0,nan,nan,3728.82,1.0,24.382410999599827,15607.845492251796,353.69896603932335,13.577760657666923,0.5893993440514955,6562.415204793075,2.8227250999498232,53.046906680406494,5018.615020213247,246.22358205825722,2.763129063765711,0.3888571094588557,4861.096674352904,2.575675060256773,64.91380772583848,0.0,0.0,nan,nan,4340.46,1.0,20.94654063936261,0.0,0.0,nan,nan,4101.73,1.0,22.16567686891332,0.0,0.0,nan,nan,3970.08,1.0,22.900702702093618,0.0,0.0,nan,nan,3889.06,1.0,23.37778840736009,0.0,0.0,nan,nan,3835.4,1.0,23.704860453545347,0.0,0.0,nan,nan,4363.21,1.0,20.83732430562082,0.0,0.0,nan,nan,3868.75,1.0,23.500516131444996,1705.1218014477056,217012.27435378984,1.2156951894949397,295.40818554872675,6583.027944798632,0.9459579208538205,12.304081752815131,0.0,0.0,nan,nan,6548.299198636282,0.4999617834394905,nan,3493.0293892696327,353.39181848662673,3.1365525222083885,0.5935613808840937,6716.170267439249,2.445547542970434,44.41583257279335,2823.918682072575,427.13100356725806,2.549080653669537,0.7196611427175279,6730.37099477294,2.4365070439944843,44.14244765153357,0.0,0.0,nan,nan,3426.0,1.0,26.53754284399528,0.0,0.0,nan,nan,3760.0,1.0,24.18021855944889,169.4596517753154,511620207966.9996,0.08330100938706174,768586042.4799268,4687.955045383609,0.4999617834394905,nan,591.126302997106,235.4461054831457,0.45281139569612533,0.392161869925699,5875.02271426965,2.096695975266338,42.823567874614014,nan,24.101220834294544,36.32528662091674,1.565560197508407,1.9007396743808913,0.0,0.0,0.0,0.0,0.0
135d09m01pt29197837s20d53m29pt0887543s,135.1503588828811,20.891413542860217,0.5686725398081556,nan,BLANK,0.0,253.1424849589776,nan,nan,5006.84,1.0,18.158683277981286,0.0,0.0,nan,nan,4959.299299880741,0.4999617834394905,nan,14290.941817631001,149857.22986905827,24.827208883441433,1316.0341258393037,3721.03,20.015970000000003,683.4827048255002,8042.968376204708,147391.2780547997,14.06716792513771,1294.3783355709581,3730.6631661148062,20.015970000000003,682.9713053086389,0.0,0.0,nan,nan,6562.8,1.0,13.853480493619768,0.0,0.0,nan,nan,4861.403729818769,0.9337696183614848,16.184426606388215,3277.849885646589,1081.8955123407657,4.299564615202657,5.049770200568202,4330.46,9.99923566878981,292.5682705754515,134.38750299497528,119.53858929295673,0.10751442663321434,0.38184495876038954,4103.031265687681,0.4999617834394905,nan,825.2134251430291,163.62803896543963,0.9886582755629928,0.8443790108020461,3969.3770731788645,4.156373473797713,131.38025230728135,1116.4337109262024,141.18420253673352,0.877576157933731,0.5023161483149221,3887.8815089402874,3.1694074784933814,101.18984911619725,483.52329050725416,85.53007739810792,0.4218240526335386,0.3493926399619889,3834.563442351146,0.9753972172567,22.547115195464183,1062.2841436676033,212.48119802748877,1.5003156251402405,1.050855125536306,4364.823603288478,1.8307268982492215,49.35809223828506,0.0,0.0,nan,nan,3868.0943439509415,2.4551462114925795,77.43881663953744,0.0,0.0,nan,nan,6583.45,1.0,13.810026928666252,0.0,0.0,nan,nan,6548.05,1.0,13.88468655302385,0.0,0.0,nan,nan,6716.44,1.0,13.536579167464883,0.0,0.0,nan,nan,6730.82,1.0,13.507659064352907,0.0,0.0,nan,nan,3423.353178269175,4.894227236807297,179.99964561401998,0.0,0.0,nan,nan,3760.7491352859684,0.4999617834394905,nan,965.0772989581014,267.73508186247886,0.8214595868599517,0.6970922180406641,4685.555972844905,3.375069880070462,89.70681736447898,0.0,0.0,nan,nan,5874.950192240092,7.069714856828933,152.43047906068523,nan,60.15952383910399,214.9745533652636,13.522030901898995,6.928066390812638,0.0,0.0,0.0,0.0,0.0
