object_id,ra,dec,z,angdisp,foreground,cluster_member,lensed,Z_dir,Z_dir_e,Z_j19,Z_j19_e,R23,R23_e,mean_vel_disp,sterr_vel_disp,zcluster,name,oiii5007_flux,oiii5007_flux_err,oiii5007_ew,oiii5007_ew_err,oiii5007_centroid,oiii5007_fwhm,oiii5007_vel_disp,oiii4959_flux,oiii4959_flux_err,oiii4959_ew,oiii4959_ew_err,oiii4959_centroid,oiii4959_fwhm,oiii4959_vel_disp,oii3726_flux,oii3726_flux_err,oii3726_ew,oii3726_ew_err,oii3726_centroid,oii3726_fwhm,oii3726_vel_disp,oii3729_flux,oii3729_flux_err,oii3729_ew,oii3729_ew_err,oii3729_centroid,oii3729_fwhm,oii3729_vel_disp,halpha_flux,halpha_flux_err,halpha_ew,halpha_ew_err,halpha_centroid,halpha_fwhm,halpha_vel_disp,hbeta_flux,hbeta_flux_err,hbeta_ew,hbeta_ew_err,hbeta_centroid,hbeta_fwhm,hbeta_vel_disp,hgamma_flux,hgamma_flux_err,hgamma_ew,hgamma_ew_err,hgamma_centroid,hgamma_fwhm,hgamma_vel_disp,hdelta_flux,hdelta_flux_err,hdelta_ew,hdelta_ew_err,hdelta_centroid,hdelta_fwhm,hdelta_vel_disp,hepsilon_flux,hepsilon_flux_err,hepsilon_ew,hepsilon_ew_err,hepsilon_centroid,hepsilon_fwhm,hepsilon_vel_disp,hzeta_flux,hzeta_flux_err,hzeta_ew,hzeta_ew_err,hzeta_centroid,hzeta_fwhm,hzeta_vel_disp,heta_flux,heta_flux_err,heta_ew,heta_ew_err,heta_centroid,heta_fwhm,heta_vel_disp,oiii4363_flux,oiii4363_flux_err,oiii4363_ew,oiii4363_ew_err,oiii4363_centroid,oiii4363_fwhm,oiii4363_vel_disp,neiii_flux,neiii_flux_err,neiii_ew,neiii_ew_err,neiii_centroid,neiii_fwhm,neiii_vel_disp,nii6583_flux,nii6583_flux_err,nii6583_ew,nii6583_ew_err,nii6583_centroid,nii6583_fwhm,nii6583_vel_disp,nii6548_flux,nii6548_flux_err,nii6548_ew,nii6548_ew_err,nii6548_centroid,nii6548_fwhm,nii6548_vel_disp,sii6716_flux,sii6716_flux_err,sii6716_ew,sii6716_ew_err,sii6716_centroid,sii6716_fwhm,sii6716_vel_disp,sii6731_flux,sii6731_flux_err,sii6731_ew,sii6731_ew_err,sii6731_centroid,sii6731_fwhm,sii6731_vel_disp,nev3426_flux,nev3426_flux_err,nev3426_ew,nev3426_ew_err,nev3426_centroid,nev3426_fwhm,nev3426_vel_disp,fevii3760_flux,fevii3760_flux_err,fevii3760_ew,fevii3760_ew_err,fevii3760_centroid,fevii3760_fwhm,fevii3760_vel_disp,heii4686_flux,heii4686_flux_err,heii4686_ew,heii4686_ew_err,heii4686_centroid,heii4686_fwhm,heii4686_vel_disp,hei5876_flux,hei5876_flux_err,hei5876_ew,hei5876_ew_err,hei5876_centroid,hei5876_fwhm,hei5876_vel_disp
88d21m08pt23096203s-33d42m11pt39349775s,88.35228637834102,-33.703164860484925,0.6989912515032484,4.647914788585335,0,0,0,nan,nan,nan,nan,nan,nan,76.09527496825311,20.39943933251688,nan,BLANK,1192.5803192473384,166.35348613639113,29.39976245589581,11.202324337819306,5006.602327096759,0.4999617834394905,nan,0.0,0.0,nan,nan,4960.197744190924,0.5685591926593183,nan,1418.5550762966711,125.68878905143328,215.75469836382712,96.2535398593576,3726.6779050039186,1.0395328294798165,26.258736952909217,0.0,0.0,nan,nan,3730.521663871833,0.8559519444561824,16.818414295620148,0.0,0.0,nan,nan,6562.8,1.0,13.853480493619768,0.0,0.0,nan,nan,4860.242270500749,9.99923566878981,261.2208748844296,0.0,0.0,nan,nan,4342.144662280088,1.7214862044644321,46.13010817768945,1320.0443124926837,661632.7691746874,8.164131894328403,16334.176908774509,4103.507445043602,0.4999617834394905,nan,712.7586981245333,1387.4279539666472,12.259167521874312,102.73329314794974,3970.22271120673,0.6849015436459297,nan,0.0,0.0,nan,nan,3887.808654592129,5.5492801489910155,180.20712987509134,2147.719980080322,235.30126901219134,15.334388790100837,7.874529195859325,3833.0347463301905,3.7063743712227657,120.81324279294537,600.6862910416658,140.83897801587977,15.169471192762144,12.427641725735468,4369.498681520448,2.13907575599006,58.97761170823752,2967.586940492537,332.1871170373128,37.04197668709039,18.970316673861664,3870.811743766911,7.132395651085673,233.57480565476754,0.0,0.0,nan,nan,6583.45,1.0,13.810026928666252,0.0,0.0,nan,nan,6548.05,1.0,13.88468655302385,0.0,0.0,nan,nan,6716.44,1.0,13.536579167464883,0.0,0.0,nan,nan,6730.82,1.0,13.507659064352907,665.0797425492666,103035.18863938662,11.70522747659466,11535.782819434935,3426.713641655453,0.4999617834394905,nan,0.0,0.0,nan,nan,3762.2621904118932,3.950096047011735,131.62979148997164,1184.3315709374153,413.92272354033446,57.14325345992231,61.04167851796376,4687.62683078406,7.76139718291053,210.0180944816398,0.0,0.0,nan,nan,5875.62,1.0,15.473706908126772
88d21m54pt38932442s-33d42m13pt19106439s,88.36510814567254,-33.70366418455411,0.7622762308981048,47.07429189566175,0,0,0,nan,nan,nan,nan,nan,nan,73.104560031791,13.787395946743361,nan,BLANK,1384.3927645916192,57661.60738494681,28.33839114951957,3223.9301615651448,5006.866284366086,0.4999617834394905,nan,979.9285693771657,376.4983169814925,7.188484601670872,7.673176576049522,4954.940550011612,4.5096469130807275,114.37293357164397,612.3447351448666,176.73676544819142,2.1372837657964983,3.10972008085443,3724.9574738807473,1.3836246347600032,40.77887360717754,764.5107506091787,194.5187980977342,2.675120167059495,3.4225986370985866,3728.5632494670494,1.3836246347600032,40.74836179449577,0.0,0.0,nan,nan,6562.8,1.0,13.853480493619768,0.0,0.0,nan,nan,4861.0973957984625,5.335619076509906,138.5232453504553,0.0,0.0,nan,nan,4341.767834285122,5.20336094640366,151.23254761296988,52.243932926885044,288.16926823010965,3.87821709955164,85.45203479883418,4102.152390123142,0.4999617834394905,nan,0.0,0.0,nan,nan,3968.066958606018,5.670040533863599,180.43250723246376,0.0,0.0,nan,nan,3889.362832985756,4.243081600424524,136.9959734628589,1725.5414649368458,158.33224673518652,13.391743433102883,5.748050632316648,3836.132439831178,3.2891392447292365,106.67671087934667,1001.0236494885322,250.4737634598262,13.57677267716633,11.893317703483778,4365.281106017305,3.7707218913550618,108.11001630861594,0.0,0.0,nan,nan,3868.562019164146,1.838068963705718,55.92787412831821,0.0,0.0,nan,nan,6583.45,1.0,13.810026928666252,0.0,0.0,nan,nan,6548.05,1.0,13.88468655302385,0.0,0.0,nan,nan,6716.44,1.0,13.536579167464883,0.0,0.0,nan,nan,6730.82,1.0,13.507659064352907,0.0,0.0,nan,nan,3426.245804139229,2.4444588982173876,87.03199767262747,2458.496709133107,229.8605338392788,21.66175991236635,9.976277719568488,3758.437688438523,6.327162321375236,212.91675972027602,0.0,0.0,nan,nan,4685.5810159518605,2.9328186720115372,77.3818202111069,0.0,0.0,nan,nan,5875.62,1.0,15.473706908126772
88d20m09pt74633861s-33d42m54pt2999808s,88.33604064961483,-33.71508332800021,0.3241668089670833,16.432846510025794,0,0,0,9.65808274559328,0.05529974215273916,8.03319569060206,5.8750797300497845e-05,7.359731247922568,0.14714498398980067,67.39985303059142,11.02584681695369,nan,BLANK,12338.246890286919,80.12714440329968,13.853142169325569,0.24573183415397604,5006.838414124541,2.729629825878032,67.08590881806055,4931.928800977441,114.10713459913246,5.497640440668648,0.3529119361706918,4958.933926654027,3.2105552555741435,80.44162925883212,19658.902917225423,560.2660983604275,17.4241569993269,2.5017540377996403,3725.8483571163547,2.807135521177259,92.88362144515985,31635.46021820089,895.0327425193534,28.093632435570367,3.9965862366353613,3728.6232448840938,2.807135521177259,92.81412350644679,24082.861028098054,465.2145350671729,36.22413465828681,1.3403293454125105,6562.738017467753,3.131869586203652,59.21739655869601,9316.174261939848,117.25804401093457,10.214313719384702,0.36874102150440513,4861.333471128906,2.7203751333529533,68.8431530905886,3555.8019739181086,121.35176543298402,2.7877541147523472,0.336934403481033,4340.583740493202,1.904424484168105,51.948485788204025,359.3563466483995,0.0,0.26240992005299,0.0,4101.18501640795,0.4999617834394905,nan,0.0,0.0,nan,nan,3970.2253289627433,0.4999617834394905,nan,266.8494749484228,698.6031296677295,0.17515086549872777,2.074189021881341,3888.866164703295,0.4999617834394905,nan,0.0,0.0,nan,nan,3834.829043140382,1.932276325374992,59.78222934159246,69.50919401384024,281.0260106472691,0.05471546913564103,0.7736114269434592,4367.674795572412,0.4999617834394905,nan,3746.6534812728205,208.26324498428642,2.5454972965157316,0.648657332906943,3867.6387628458433,4.325448677517379,140.46257131752944,2156.250415544634,1827.5114209600933,2.0947068743715094,3.389403412194301,6583.462313717069,2.0749928070720003,37.773791723571854,0.0,0.0,nan,nan,6547.860805227756,9.99923566878981,193.93267853817915,4409.353140766315,437.188439821502,7.727327496028186,1.4330796265973107,6716.348285355964,3.4524928156566554,64.08278555099406,3333.9875710598826,454.49121310809613,5.638015062459709,1.4344054614066963,6731.163646210821,2.9409828793124095,54.02858456531231,0.0,0.0,nan,nan,3426.0,1.0,26.53754284399528,156.43092068036876,474.360176352663,0.11257356264592529,1.6803874525555111,3759.4244627517573,0.4999617834394905,nan,548.4533723408969,2931594.7826889777,0.4927651452900578,8054.742193195883,4686.235880153603,0.6235469017510059,nan,1295.4369504691385,188.98685840220813,2.05862957509673,0.6528889530811778,5876.007331950996,2.675982857991813,55.96299917289164
88d19m48pt8284935s-33d42m42pt89990813s,88.33023013708375,-33.71191664114773,0.7300043801847442,12.25088863725316,0,0,0,11.016938794409134,0.054473673786516436,8.15405453374439,1.9906500627130204e-05,9.11329968421809,0.16838553659251476,40.25682289225364,7.06511451902184,nan,BLANK,25714.62837642129,98.80547963602594,1276.7754536260452,13.399904049087736,5006.842235734503,1.937547145553583,45.93886465926384,8617.419116779181,88.2042227351038,225.0460493325536,6.391200058385597,4958.900263101812,1.8804969964318694,44.808548387945386,10527.346981852741,103.497737573993,50.625352601799214,2.507121082370569,3726.054129625856,1.8866863145060069,59.8627248413286,13790.56934978309,120.29974181121123,66.44709291104661,2.914131515995686,3728.8407225836186,1.8866863145060069,59.81793399534856,0.0,0.0,nan,nan,6562.8,1.0,13.853480493619768,6435.645250029809,116.72755699085356,160.94142567936345,8.372510898521147,4861.337709139837,2.003128085637263,49.1512696432077,3007.243284701681,58.59756837759044,29.56644904197753,2.040330277463501,4340.544885624661,1.7489140964602696,47.009318711955565,1748.7833550384307,44.694168480202976,11.258993061517899,1.1497591418172783,4101.66964353798,1.4861596867765257,40.690425897671666,1510.1575417426811,93.13121721451883,7.9786382673818945,2.1196663377888223,3969.1208253179652,2.083804567214055,62.93909183100879,1592.8062690184988,115.6511104491631,6.08913350637359,1.999917736206661,3888.873845817915,1.6194832922962572,47.806382376318595,248.08403148181847,84.80984702969529,1.405500157127883,2.2511594612854426,3833.686489062504,3.269299543241404,106.00262545518095,16.209690337094017,295.45896056744334,0.09215003412807922,5.887472846534109,4362.680338865332,0.4999617834394905,nan,3092.8728188341447,82.61568299661509,14.011308546401068,1.7147516186970306,3868.5526890736037,1.7824637001538406,53.943663385643845,0.0,0.0,nan,nan,6583.45,1.0,13.810026928666252,0.0,0.0,nan,nan,6548.05,1.0,13.88468655302385,0.0,0.0,nan,nan,6716.44,1.0,13.536579167464883,0.0,0.0,nan,nan,6730.82,1.0,13.507659064352907,0.0,0.0,nan,nan,3426.7759720663657,3.8445673895275383,140.4760695267589,0.0,41.84946171360076,nan,nan,3760.0,1.0,24.18021855944889,318.3920852260169,44.060234155885055,3.4820521135334976,1.4754822356089103,4682.840924133129,0.9883319445340945,18.956827243244227,0.0,0.0,nan,nan,5875.62,1.0,15.473706908126772
88d19m51pt9540592s-33d42m44pt29998123s,88.33109834977691,-33.71230555034175,0.7303612048554116,9.66830777097832,0,0,0,nan,nan,8.08981532789837,3.1864040148571105e-05,9.457553915512003,0.3115161421463484,65.7683672835349,15.857330241935417,nan,BLANK,12898.037896835363,99.25003958550862,42.35538478058814,0.8902292975041807,5006.8434771898155,2.7988335988783573,68.904869392955,4492.5403271277655,89.87403070508944,13.455378940717289,0.746847958206427,4958.933814820627,2.7978137239981624,69.54382158908756,10550.415665392418,136.37614907806886,26.170186988996974,1.703837629179014,3726.1952046276465,2.2134527948391782,71.74721774225402,15842.59567878168,185.28630159005985,39.37306153336153,2.3149045852573047,3728.9521072189896,2.2134527948391782,71.69353460992237,0.0,0.0,nan,nan,6562.8,1.0,13.853480493619768,4629.483475248781,149.8674538706295,12.488542342922585,1.1595352039314626,4861.3982883276785,2.6146887457158208,65.97483988933794,2374.4687217500996,66.53519793170013,6.727209650183999,0.667568373068044,4340.615991616953,2.335670524596318,65.35855641783019,1192.7826630606373,65.59721370511664,2.846820222254582,0.6256136481348608,4101.544177375923,2.7636339886649544,82.98091937599726,75.93244644333161,142.80287885158327,0.14952995273576894,1.2116427226451416,3968.8444647348315,0.4999617834394905,nan,611.9055014578429,517674.85092857166,1.199806715835126,4591.576138955868,3888.844337811596,0.4999617834394905,nan,39.19243612601396,61.498760859883625,0.08511341543606665,0.6251840249996609,3835.0437767882995,0.4999617834394905,nan,0.0,0.0,nan,nan,4362.063911559437,9.99923566878981,291.0428046557292,1518.5352686504787,75.43926470323686,3.0584495788274335,0.6960370472441285,3868.783973502605,2.8445872434056962,90.72918439073031,0.0,0.0,nan,nan,6583.45,1.0,13.810026928666252,0.0,0.0,nan,nan,6548.05,1.0,13.88468655302385,0.0,0.0,nan,nan,6716.44,1.0,13.536579167464883,0.0,0.0,nan,nan,6730.82,1.0,13.507659064352907,0.0,0.0,nan,nan,3426.2489218347578,3.0749194472842687,111.26380465357049,1577.4352316853017,148.12113697872593,3.869874671025293,1.7859105476946942,3761.7543420322136,5.253521277800179,176.29328655449433,355.5338516856322,81455.75906619249,0.9996620854057137,699.3831269439553,4689.995310366603,0.5346543014638936,nan,0.0,0.0,nan,nan,5875.62,1.0,15.473706908126772
88d20m26pt81459385s-33d42m18pt69931468s,88.34078183162464,-33.705194254078826,0.32209183262901964,33.90446165499478,0,0,0,nan,nan,8.041607931608159,8.392882513987589e-05,8.654695208193965,0.2834824176587539,54.55974491608895,9.25021614761773,nan,BLANK,6012.608017616492,70.07192953145572,18.43665562441006,0.5868819497795292,5006.834836106922,2.075741206209363,49.68864168019345,2098.299042491073,73.1895137759801,6.257440515349214,0.605573863952314,4958.969368162544,2.3241934890379947,56.89844823395967,7939.316847332877,333.4258684030055,29.316189823387663,6.203013358289875,3725.7782759714933,2.664506196040574,87.84236083891939,13886.84255060271,540.479989975612,51.38377694438504,10.055022466507818,3728.7408349334614,2.664506196040574,87.7766349023656,9494.999142597146,186.20802816220777,43.96635825934811,1.6515423794359398,6562.774903776463,2.282444615050843,42.14288495833154,3459.0549681864914,85.53249369654066,10.981368313204516,0.7788483247025862,4861.230925507033,2.16668965530583,53.69913992194263,1685.246090603445,82.86944462614501,4.206545947215401,0.7325338240803231,4340.639776986993,1.9176475988484716,52.36530272782437,531.4003560986858,92.00815700094687,1.127798523731164,0.7799763289252092,4102.2925297616575,0.9930947576406283,21.86455121426151,963.4470567599254,10286614.680501958,1.714881468674277,78821.61829000128,3970.2837549845226,0.5962813120391108,nan,0.0,0.0,nan,nan,3888.658240543846,4.942357337654055,160.15933333720108,0.0,0.0,nan,nan,3837.082324879969,0.4999617834394905,nan,0.0,0.0,nan,nan,4367.360265942933,4.070805559894343,117.00908200533111,746.7162359705476,107.38157582769739,1.3153144795676708,0.8663879803697692,3868.9651391859406,1.4639410094848404,42.310185886338836,727.9770694917555,750.147822285466,1.862928883024064,3.66475898327138,6583.740603927044,1.6047445722128983,27.924398752638673,0.0,0.0,nan,nan,6548.526817940016,0.4999617834394905,nan,1568.695840707413,176.13666243073138,9.942316209997225,2.088037001588194,6716.4650960836825,2.1563614326307,38.66028083048997,1023.698842698722,189.31996531835972,6.167262662903883,2.128784308541733,6730.688071922406,1.8755178872020908,32.91106290133802,0.0,0.0,nan,nan,3426.0,1.0,26.53754284399528,1112.9147079048685,7892411.299008787,2.1974184558390517,76658.74865404783,3760.390494387873,0.6055109300547795,nan,0.0,0.0,nan,nan,4685.77497966165,3.1801470673949597,84.28555745447005,435.26313187276077,8159753.1713238545,1.8007280246501882,73395.59763282182,5875.455896884275,0.6069972103826007,nan
90d02m09pt29683101s-20d08m25pt42075551s,90.03591578639167,-20.14039465430772,0.34775621463490825,39.575458868583155,0,0,0,nan,nan,8.399816247262695,0.009559657357407733,nan,nan,79.74175648771815,15.84679156846886,0.46,BLANK,561.8771864303847,12897.652142377068,32.5552705846491,2041.1444237567598,5006.8651868390825,0.7468510856890623,6.62019851719034,877.5645246455204,153.5083540718992,11.8026282823224,5.729355424805713,4958.3775739171115,3.7626434241886195,94.91198669402876,217.52172266309256,479.5329981762892,1.2699451715461185,14.109678010883576,3725.326136405185,0.4999617834394905,nan,0.0,0.0,nan,nan,3729.3371609002697,5.142437255033173,173.93990932720732,0.0,0.0,nan,nan,6562.012309289663,3.3117805124348414,62.79292739302928,0.0,76.10096473280184,nan,nan,4861.33,1.0,18.702211490174054,0.0,0.0,nan,nan,4340.808018692831,3.5747283594584838,102.82054191898024,2043.3270013156957,281.6752083133982,19.233981194458657,10.575194959388055,4104.993335052041,4.261399461075227,130.46930581358868,4183.689883764558,538.4994520329133,32.90081874231384,18.230546505662065,3970.2815005066113,7.292232606533645,232.76305025154699,0.0,0.0,nan,nan,3890.5270908750526,2.640898681297895,83.35879355332224,1233.9739060012027,180.21123788108827,28.913974332819244,19.755279160065474,3835.9191072139365,1.6567359453593669,49.84295974486309,0.0,0.0,nan,nan,4363.037467559481,5.7678405386315506,167.05057912814047,1346.6673578860498,7473633.544532631,21.16747982923028,538445.2889064576,3867.9026283147396,0.5954855232749195,nan,0.0,0.0,nan,nan,6585.845528480815,1.8697148637127146,33.526785040994206,186.15251764551618,526.1027072853718,45.652336578567045,247.75730014191686,6546.995979975476,0.4999617834394905,nan,1559.8101129510992,215.53282894161106,709.1870333769851,183.36602686785622,6713.754462775339,3.2781772004804433,60.70469525896052,0.0,0.0,nan,nan,6729.063713027143,5.939951654313259,111.56837331518729,0.0,0.0,nan,nan,3426.0,1.0,26.53754284399528,0.0,0.0,nan,nan,3758.3031438233697,0.4999617834394905,nan,81.56231779657946,338.0799790896941,4.608182688287614,58.419952852113454,4685.911016232545,0.4999617834394905,nan,766.5189887434999,17238973.26507143,68.19593996234941,3334402.361231891,5875.73442282651,0.5590692965691579,nan
90d01m35pt85316203s-20d07m59pt41999829s,90.02662587834072,-20.133172221746328,0.3283239518834278,33.98275305838341,0,0,0,nan,nan,7.58108175340602,0.00470865685230905,3.7122442104958053,282.4639764983018,120.8595863598609,20.34317356622433,0.46,BLANK,3698.5191907196017,218.48585803207288,1.5930518159496199,0.2570415472847109,5006.902210572902,3.742461268643785,93.48105819500724,54.501974179977765,269.0156934187435,0.022241711726585137,0.3042121069137506,4962.767857985832,0.4999617834394905,nan,10989.525741134465,1695441.1281799374,5.55639453102105,4312.65267118762,3727.860350356084,5.54760003946355,188.03410672781916,17054.126230995345,1725974.8591446567,8.618097170391678,4390.320585583258,3727.094257387845,5.54760003946355,187.89341472397595,37324.70033047045,1570.903481808464,16.726547922286873,1.348653361610194,6561.69073654408,4.264700373738316,81.6078332208753,8565.350589578438,250.2390525447703,3.5642380497706077,0.29872354131178297,4860.7688441428645,3.6581223260441917,94.02982945859539,1713.2600117086513,281.7996315901153,0.6249409553620974,0.3640981239630986,4340.19129413407,2.9108809297363107,82.87365274408756,0.0,0.0,nan,nan,4101.670830718668,5.485538002505152,168.86903987675103,0.0,0.0,nan,nan,3969.638801350278,0.4999617834394905,nan,0.0,0.0,nan,nan,3883.1210123194887,0.4999617834394905,nan,0.0,0.0,nan,nan,3835.543137404269,2.4880556347746747,79.25118681062334,3025.652418602778,737.1755190213548,1.078547600320154,0.9209644162904068,4362.975383255428,9.99923566878981,291.0428046557292,11931.944524984834,1157.5748730745684,4.359095641186841,1.9374982398005542,3868.6073452305995,9.99923566878981,328.2406140748108,6654.165346147541,3093.655488077648,2.4123203938352793,2.1416175448269272,6582.1599889767585,3.0038357242611844,56.488630988897725,0.0,0.0,nan,nan,6551.156140969681,9.99923566878981,193.93267853817915,1586.543146243008,377.8169580938453,0.9005176239904981,0.4010611923256293,6717.243552716787,1.9868381834749547,35.24573444397365,5523.3396169561665,555.0036688988722,3.2717454145051046,0.6136680685569957,6729.995463331008,5.96209777540518,111.99018453287654,0.0,0.0,nan,nan,3426.0,1.0,26.53754284399528,0.0,0.0,nan,nan,3760.096485741453,1.563657461824141,47.34250717366435,1877.1367462655328,419.88338032408717,0.6790512469858404,0.46375400322574156,4690.408413644043,9.04629506050933,245.05129251361691,2363.9914270306385,428.28493628865675,1.220846867635022,0.48091077333566423,5875.243174097975,4.909031333101532,105.2796156737396
92d56m40pt78433942s-30d37m20pt36208363s,92.94466231650597,-30.62232280100793,0.11327726804392335,24.13349499398317,0,0,0,nan,nan,nan,nan,2.775830197042812,579.5558473068949,50.30010458581753,10.944568528898188,nan,BLANK,1856.4315458773697,145.84576947827566,33.97734894141562,7.291108745821501,5006.8222581798245,1.8504946994413056,43.55658172446642,363.21797133190336,463432.61994440056,14.228873829877521,50375.851883137744,4958.665751872914,0.7629498999402436,7.790924603062203,0.0,0.0,nan,nan,3726.03,1.0,24.400668213494743,0.0,0.0,nan,nan,3728.82,1.0,24.382410999599827,767.7356829176985,235.57612038310984,13.711231865502452,8.061317661687244,6560.692414059708,9.99923566878981,193.49681168128302,799.6344731655211,151.86893306985405,17.989470009003966,9.804848478963914,4859.764612689614,3.016338906923659,76.83632463698324,1124.3202531724305,173.88215189123665,24.359690035195907,13.353245132861597,4338.779473655153,3.727138998659753,107.37544607342006,0.0,0.0,nan,nan,4101.73,1.0,22.16567686891332,0.0,0.0,nan,nan,3970.08,1.0,22.900702702093618,0.0,0.0,nan,nan,3889.06,1.0,23.37778840736009,0.0,0.0,nan,nan,3835.4,1.0,23.704860453545347,0.0,0.0,nan,nan,4360.950612925796,0.8544140765065261,14.294983796604638,0.0,0.0,nan,nan,3868.75,1.0,23.500516131444996,55.00521060062155,176.35700886904428,4.182010706689197,25.60647034904666,6581.4743769254255,0.4999617834394905,nan,0.0,0.0,nan,nan,6548.61793504276,5.5709419941679,107.4543156602797,33.17519366170009,4980049.371586485,1.6083202366977742,451655.5080768405,6715.3147819538235,0.4999617834394905,nan,0.0,0.0,nan,nan,6732.004051878577,3.219861257625264,59.44545627791014,0.0,0.0,nan,nan,3426.0,1.0,26.53754284399528,0.0,0.0,nan,nan,3760.0,1.0,24.18021855944889,0.0,0.0,nan,nan,4686.555244551709,3.156072678921385,83.6148789677156,0.0,0.0,nan,nan,5875.37312967116,6.833497925738452,147.2860877005468
92d56m43pt10698141s-30d36m52pt76199783s,92.94530749483593,-30.614656110508314,0.5476344475203039,20.969964792391146,0,0,0,nan,nan,nan,nan,nan,nan,85.47531501667024,20.775886533163273,nan,BLANK,2362.4830516097027,151.74209961406933,92.46497346771224,16.219541591457237,5007.287303740745,2.8502761723515473,70.25503521303247,275.73585360988955,1803551.3566537304,10.475877265090887,189884.43090958253,4962.623165108198,0.4999617834394905,nan,0.0,0.0,nan,nan,3726.2575925100177,7.284426351712052,247.74075880560625,0.0,0.0,nan,nan,3728.7936306506326,5.233165879550935,177.06617693467348,0.0,0.0,nan,nan,6562.8,1.0,13.853480493619768,0.0,0.0,nan,nan,4861.552566400911,9.653127414638528,252.13378169840598,0.0,0.0,nan,nan,4340.033891213681,1.5345195195350925,40.05323020076925,0.0,0.0,nan,nan,4101.664687172875,1.355691765073593,36.035020419422345,61.594977462338726,81.41872671202516,1.481344202481529,8.423695172152332,3971.4471271774987,0.4999617834394905,nan,236.9806792863158,86.97982270489472,3.8825581421536417,6.440050145443306,3890.3636597188465,2.3592168811471885,73.75221157370231,0.0,0.0,nan,nan,3835.7087781840587,6.393755466057708,210.95500194444026,228.528411576676,25899.728260871445,9.795068363847436,3887.0606925602915,4364.931014216338,0.5883616397521317,nan,0.0,0.0,nan,nan,3869.729991831586,0.4999617834394905,nan,0.0,0.0,nan,nan,6583.45,1.0,13.810026928666252,0.0,0.0,nan,nan,6548.05,1.0,13.88468655302385,0.0,0.0,nan,nan,6716.44,1.0,13.536579167464883,0.0,0.0,nan,nan,6730.82,1.0,13.507659064352907,1753.453605920629,173.6009417594312,36.37242712990589,22.82239606335024,3431.022765859192,5.691540786770987,209.89191728724666,431.03732658493834,73.59061061398259,42.65557346490928,35.85523912267424,3759.148160873545,1.8250506280982433,57.068467771504196,5.6098329713673705,136.2864566924389,0.19759811072168948,14.680306381432988,4686.223124291209,0.4999617834394905,nan,0.0,0.0,nan,nan,5875.78069400268,4.440500076036349,95.01163624413336
