object_id,ra,dec,z,angdisp,foreground,cluster_member,lensed,Z_dir,Z_dir_e,Z_j19,Z_j19_e,R23,R23_e,mean_vel_disp,sterr_vel_disp,zcluster,name,oiii5007_flux,oiii5007_flux_err,oiii5007_ew,oiii5007_ew_err,oiii5007_centroid,oiii5007_fwhm,oiii5007_vel_disp,oiii4959_flux,oiii4959_flux_err,oiii4959_ew,oiii4959_ew_err,oiii4959_centroid,oiii4959_fwhm,oiii4959_vel_disp,oii3726_flux,oii3726_flux_err,oii3726_ew,oii3726_ew_err,oii3726_centroid,oii3726_fwhm,oii3726_vel_disp,oii3729_flux,oii3729_flux_err,oii3729_ew,oii3729_ew_err,oii3729_centroid,oii3729_fwhm,oii3729_vel_disp,halpha_flux,halpha_flux_err,halpha_ew,halpha_ew_err,halpha_centroid,halpha_fwhm,halpha_vel_disp,hbeta_flux,hbeta_flux_err,hbeta_ew,hbeta_ew_err,hbeta_centroid,hbeta_fwhm,hbeta_vel_disp,hgamma_flux,hgamma_flux_err,hgamma_ew,hgamma_ew_err,hgamma_centroid,hgamma_fwhm,hgamma_vel_disp,hdelta_flux,hdelta_flux_err,hdelta_ew,hdelta_ew_err,hdelta_centroid,hdelta_fwhm,hdelta_vel_disp,hepsilon_flux,hepsilon_flux_err,hepsilon_ew,hepsilon_ew_err,hepsilon_centroid,hepsilon_fwhm,hepsilon_vel_disp,hzeta_flux,hzeta_flux_err,hzeta_ew,hzeta_ew_err,hzeta_centroid,hzeta_fwhm,hzeta_vel_disp,heta_flux,heta_flux_err,heta_ew,heta_ew_err,heta_centroid,heta_fwhm,heta_vel_disp,oiii4363_flux,oiii4363_flux_err,oiii4363_ew,oiii4363_ew_err,oiii4363_centroid,oiii4363_fwhm,oiii4363_vel_disp,neiii_flux,neiii_flux_err,neiii_ew,neiii_ew_err,neiii_centroid,neiii_fwhm,neiii_vel_disp,nii6583_flux,nii6583_flux_err,nii6583_ew,nii6583_ew_err,nii6583_centroid,nii6583_fwhm,nii6583_vel_disp,nii6548_flux,nii6548_flux_err,nii6548_ew,nii6548_ew_err,nii6548_centroid,nii6548_fwhm,nii6548_vel_disp,sii6716_flux,sii6716_flux_err,sii6716_ew,sii6716_ew_err,sii6716_centroid,sii6716_fwhm,sii6716_vel_disp,sii6731_flux,sii6731_flux_err,sii6731_ew,sii6731_ew_err,sii6731_centroid,sii6731_fwhm,sii6731_vel_disp,nev3426_flux,nev3426_flux_err,nev3426_ew,nev3426_ew_err,nev3426_centroid,nev3426_fwhm,nev3426_vel_disp,fevii3760_flux,fevii3760_flux_err,fevii3760_ew,fevii3760_ew_err,fevii3760_centroid,fevii3760_fwhm,fevii3760_vel_disp,heii4686_flux,heii4686_flux_err,heii4686_ew,heii4686_ew_err,heii4686_centroid,heii4686_fwhm,heii4686_vel_disp,hei5876_flux,hei5876_flux_err,hei5876_ew,hei5876_ew_err,hei5876_centroid,hei5876_fwhm,hei5876_vel_disp,flux_HST_F435W,flux_HST_F606W,flux_HST_F814W,flux_Spitzer_I1_3.6,flux_Spitzer_I2_4.5
0d47m32pt175s-6d05m30pt586s,0.7922708333333333,-6.0918294444444445,0.22446931972086026,21.365298321343804,0,1,0,nan,nan,nan,nan,2.8116123150000125,0.12316194864166125,77.57405562296728,19.81651530144908,0.232,a2697,6362.788986019171,116.68381817352665,12.591940432369901,0.6307317828532486,5006.824002805668,2.2687033561460854,54.87228939310504,2085.405759243036,92.94423394888827,3.7326415923420884,0.4616176554102517,4958.654409952975,2.2040895195204637,53.65603726162177,0.0,0.0,nan,nan,3726.03,1.0,24.400668213494743,0.0,0.0,nan,nan,3728.82,1.0,24.382410999599827,5889.1157796685575,141.58628320614724,19.538480003285624,0.8997477157033152,6562.87407686711,2.21862761525735,40.84028834141955,3004.750939591104,120.45476241828455,5.393862548975504,0.620171774761167,4861.40337711292,2.285546184338905,56.97826504454364,1093.8301749217612,111.47447916406995,1.7633334367883382,0.6363978039927326,4340.650912160729,2.0435672118605797,56.313785342574114,706.7724973949751,104.86493616369195,1.058994561556572,0.62753804801252,4102.50323721998,1.4207865834357394,38.374942742187734,908.537603935894,124.43776752313794,1.395615529410512,0.8225180404345862,3971.047466998948,2.568152853515384,79.23573754432674,2499.271395464334,731.696343336173,3.3318707030737476,4.42523288259405,3884.2351659816354,9.99923566878981,326.52642944617054,0.0,0.0,nan,nan,3835.4,1.0,23.704860453545347,818.504181901079,21176677.1958435,1.2384356037723523,112258.84619809609,4363.679236945411,0.6207593383870463,nan,0.0,0.0,nan,nan,3858.75,9.99923566878981,328.2406140748108,78.04687728594136,795.3603706417058,0.1920827149353491,3.7366063520392045,6584.313586129654,0.4999617834394905,nan,0.0,0.0,nan,nan,6546.043057760952,7.747134551478258,150.00715683587984,1614.7691675993804,131.62416495321742,5.527640837212892,0.842763453984749,6716.4482834455,2.9525378129051782,54.369738586278324,781.313187568151,187.75912775943004,2.4522363303158863,1.09985544349378,6730.960024555424,2.948194371485827,54.169012061700656,0.0,0.0,nan,nan,3426.0,1.0,26.53754284399528,0.0,0.0,nan,nan,3760.0,1.0,24.18021855944889,571.0550757034432,98.76433266903119,0.9336253046448784,0.4937631895661775,4686.376647947624,1.5379915591575248,37.20826307780595,1163.8039184576105,154.9677929584038,2.9927192100510966,0.866652448119044,5874.151286269798,8.109497996594506,175.05690725980423,-999.0,3.4003360620502234,4.710827320376643,0.17654110163492048,0.0740792465912797
0d47m35pt895s-6d05m45pt616s,0.7933041666666666,-6.096004444444445,0.4171300625171268,23.503009517081964,0,0,0,8.769434614379257,0.005302351166699796,8.775329364055633,0.002490171821416462,8.044968083273025,0.41117388155361145,96.70322419015832,22.853351319464224,0.232,a2697,11241.277265827432,56.59734976301956,280.516391884786,3.857673853020273,5006.839084639678,1.8612553173180164,43.85201561171645,4060.43167869229,65.97169842834694,99.47211699588128,4.484194431910959,4958.9088857014685,1.9539557468554143,46.83437146297198,1227.0092039192944,174.11784214695822,6.998127160789378,5.001599445652909,3726.264110442177,1.7314640347655226,54.11000840789738,1072.1633950722967,148.90328461568996,6.127426726544648,4.2773019502570415,3729.1781977122605,1.7314640347655226,54.06952189381034,4217.348179790714,168.73371007703503,101.32374925156527,7.7649585613490775,6562.7787176872735,2.1180158998393086,38.77806009318091,2187.812476236767,107.58949892467416,43.853579870458326,6.185116258358759,4861.493123721483,1.8614111775786863,45.169005292427194,1378.5272190946382,91.34119851769846,32.02570783841526,7.514232357133037,4340.818597896786,2.3607550506925907,66.12935685653686,1318.9770709879954,98.18888746417116,12.491235033396082,3.715484490343308,4101.701361528274,3.1949650153338487,96.75644884001943,368.0086557927496,10211784.785675453,3.000213611255977,357972.5441465321,3972.2793746365983,0.5171138264282209,nan,0.0,51.589647615759084,nan,nan,3889.06,1.0,23.37778840736009,1953.2784956583153,191.32279037879158,155.80748657264377,71.56250820597172,3832.3848682712537,6.884273031713467,227.32836171483774,516.0793716243148,76.24628808897309,6.547099137055848,3.389275375077046,4363.452759793805,1.1825162953882133,27.808798641209172,1015.1905687026045,94.56551526935229,13.17034647399423,5.619706619499626,3868.8830195741825,1.7482943908405366,52.71882988288291,0.0,0.0,nan,nan,6582.8830763053475,5.267932255735621,100.96740791117448,0.0,0.0,nan,nan,6548.72083089888,9.99923566878981,193.93267853817915,0.0,0.0,nan,nan,6716.44,1.0,13.536579167464883,0.0,0.0,nan,nan,6730.82,1.0,13.507659064352907,2564.0215910798265,322.1925650040063,49.063478930102725,39.22920528948127,3426.443574021458,9.99923566878981,370.65991701749095,0.0,0.0,nan,nan,3762.7038215290904,9.99923566878981,337.7342754526394,0.0,0.0,nan,nan,4686.95535495369,9.99923566878981,271.0131455203778,255.80347578149093,172.15832330638412,4.262269985984382,6.237766392636465,5874.700625676206,2.3755416932076985,49.18670240695292,-999.0,-0.8633398692744606,-1.4487304148933275,-999.0,0.1916287011461565
0d47m43pt575s-6d05m04pt384s,0.7954374999999999,-6.084551111111111,0.8000350448050766,27.562286704118616,0,0,0,8.132766017447196,0.0,7.875307741873607,0.005751746723574991,6.98271032025973,0.6966293772841116,45.10146333288366,11.245513877356288,0.232,a2697,4086.6915825273877,138.24534017502964,62.12650653759385,5.740417925970567,5006.831154980506,1.873090930162101,44.176638995741264,1804.4678819335386,134.81781102492016,44.163391468423576,9.154676691738295,4959.014088341578,2.053789488473105,49.56985977851961,1756.447490254632,66.34342455987047,10.60875099612024,2.0184224533275996,3726.087849074511,1.3026864913393574,37.53780245316292,2865.3897928960373,90.58249468585991,17.337424078707592,2.7558683074518178,3728.633828867244,1.3026864913393574,37.50971569412271,0.0,0.0,nan,nan,6562.8,1.0,13.853480493619768,1505.5753805379904,146.7576727431479,18.307827208809833,5.118693609797137,4861.222634475485,1.9683178603231282,48.177106341603555,693.78965143607,323952.81333755236,15.914405658278406,26317.236345969857,4340.517182651139,0.5002724464205979,nan,416.3459926844606,126.94997284182764,5.126411614462073,6.245815311174422,4101.648590233728,2.340290743375851,69.31287057190774,344.13610292500283,84.87228438823023,3.442730225111916,3.656890380768397,3969.4800492652284,4.096041690350039,129.41711138374868,165.5997544547211,0.0,1.5818974087004658,0.0,3888.091515357724,0.4999617834394905,nan,374.01517431598285,89.525059380758,3.4827343925040855,3.9025988218399243,3834.9286106201234,2.649987527779549,84.83788378930859,987.6345989535487,394587.2328431947,11.043952257672988,15465.45639648461,4362.7772604532065,0.4999617834394905,nan,660.6948863675191,59.676719962879496,7.22096439348461,2.9876773800163687,3868.8711243937273,1.1516148358401745,30.092047497757438,0.0,0.0,nan,nan,6583.45,1.0,13.810026928666252,0.0,0.0,nan,nan,6548.05,1.0,13.88468655302385,0.0,0.0,nan,nan,6716.44,1.0,13.536579167464883,0.0,0.0,nan,nan,6730.82,1.0,13.507659064352907,557.9995015833667,62.89742353162615,5.758231780702123,4.129175156656294,3426.6613137299523,1.3443483001543561,42.64944741161652,268.98229167581775,32.73145988257688,2.4950331145075357,1.492716514396865,3761.2069460329226,1.007559103309505,24.537329753802346,0.0,0.0,nan,nan,4689.244114269337,8.132682346366225,220.14531387112743,0.0,0.0,nan,nan,5875.62,1.0,15.473706908126772,-999.0,-0.02312480539900013,-0.09519050650678738,0.1911821736094253,0.05575022169939943
0d47m45pt105s-6d05m37pt659s,0.7958624999999999,-6.093794166666666,0.6042435040270533,11.332934719656217,0,0,0,nan,nan,nan,nan,nan,nan,66.24283857765047,21.63344127899962,0.232,a2697,1996.235449421168,121.1279879065033,8.662719685573647,1.4357360956522844,5006.833451984068,1.853350824745123,43.63502468471149,0.0,0.0,nan,nan,4959.7478428676395,2.6889231220967544,66.65252545594939,721.9302468692663,255.8890547021762,2.6151075321334125,4.66994390436292,3725.8224142594536,0.4999617834394905,nan,0.0,47.41173430983759,nan,nan,3728.82,1.0,24.382410999599827,0.0,0.0,nan,nan,6562.8,1.0,13.853480493619768,0.0,0.0,nan,nan,4861.865812973785,3.5879348690656916,92.15643436023879,242.64036352238372,80.12694097236817,1.8171045257428349,2.124952576979524,4340.7238678132635,1.032158861558786,22.248155037862098,435.9860095293408,62.362659802670045,1.937996410174311,1.1075796812272598,4101.765073007157,1.7748604985260228,50.62293524806083,0.0,54.27761072409779,nan,nan,3970.08,1.0,22.900702702093618,0.0,0.0,nan,nan,3886.5630954713583,9.43179214305453,307.9024649371704,0.0,0.0,nan,nan,3838.147167220545,9.487277318874826,314.0570490496776,105.11443353830246,117.57966688581776,0.6684691671358574,2.6194845948416186,4363.906401542224,0.4999617834394905,nan,139.0554660469168,73985474.17183314,0.35192921693768264,857306.5743892181,3869.6423390950113,0.4999617834394905,nan,0.0,0.0,nan,nan,6583.45,1.0,13.810026928666252,0.0,0.0,nan,nan,6548.05,1.0,13.88468655302385,0.0,0.0,nan,nan,6716.44,1.0,13.536579167464883,0.0,0.0,nan,nan,6730.82,1.0,13.507659064352907,793.4663464113187,62.55523741043013,1.469241080400787,0.7382108372224414,3424.6047669550717,1.0133845950479656,27.22963822432343,0.0,0.0,nan,nan,3762.7712032557024,7.268966746564565,244.97663956133331,430.2102039623683,60.69701625990107,2.33689092985972,1.0085763800120677,4685.418940151276,1.1278290269240956,24.026652176734665,0.0,0.0,nan,nan,5875.62,1.0,15.473706908126772,-999.0,-0.0833306789209784,-0.9605840066934793,-0.08302337622866646,-0.23773999439396729
0d47m46pt41s-6d05m01pt731s,0.7962249999999998,-6.0838141666666665,0.813730341991405,29.234392149658305,0,0,0,nan,nan,7.995054837583766,0.005742774737297959,7.657246782344966,1.2710694233796889,47.74267136982182,15.686974371211788,0.232,a2697,2631.1753853074147,126.41843917172314,161.06592596676776,21.137357541580972,5006.842178496315,2.003571712900292,47.73486257063124,648.1729577339107,87.71897925227861,7.289559336587664,2.736740894388615,4959.380628059953,1.5038472363619615,34.17073007166657,1384.470730149666,69.78828444063166,7.843174601487567,1.991732076137701,3725.905951911926,1.4751623977721935,44.36687333976902,1586.994935203225,72.12239595962903,9.00809924562495,2.0583467639600443,3728.708276172414,1.4751623977721935,44.33367689246988,0.0,0.0,nan,nan,6562.8,1.0,13.853480493619768,816.3265709035902,133.3659143771464,16.707999602099157,7.829416748854983,4861.222489373825,1.755217878314025,42.152560955104285,88.27133415263357,143.99896199083807,0.6964808124396319,4.024429999412321,4340.224478071667,0.4999617834394905,nan,0.0,0.0,nan,nan,4101.47128023074,1.9053089619815902,55.00152350500359,0.0,0.0,nan,nan,3973.5105427157696,2.6150198117635757,80.79666229839106,353.91373032235066,53.7527878514079,3.5657043909267205,2.451153459342482,3887.9462374083014,1.138799051652348,29.40480550514024,119.73694845218827,1551.241045957657,0.7938063175650303,48.161863884413805,3834.3620877858802,0.4999617834394905,nan,1179.3675011802975,105.31994407298323,14.146615243730414,4.429185504412305,4362.188445002607,2.2025532392427385,60.93430958136255,351.59875398275443,55.57004799706897,2.7962202792294293,2.026189071625547,3867.4878144882928,1.0135581206830682,24.121302699884023,0.0,0.0,nan,nan,6583.45,1.0,13.810026928666252,0.0,0.0,nan,nan,6548.05,1.0,13.88468655302385,0.0,0.0,nan,nan,6716.44,1.0,13.536579167464883,0.0,0.0,nan,nan,6730.82,1.0,13.507659064352907,180.86782661961004,91.15529682547465,0.6452827693731175,2.0638926558161015,3429.468324170293,0.4999617834394905,nan,2096.274446785904,572.8642945891555,31.753256146883956,42.58925792060859,3763.7462531055044,9.99923566878981,337.7342754526394,0.0,0.0,nan,nan,4687.534783216456,2.6710370355803037,70.0357054091201,0.0,0.0,nan,nan,5875.62,1.0,15.473706908126772,-999.0,0.9793916507898521,2.3053820180429034,2.2551211294622164,3.0376241379467794
0d47m48pt18s-6d05m28pt496s,0.7967166666666666,-6.091248888888889,0.6364947128440614,5.584921070167412,0,0,0,10.061163784579014,0.00048685353479466524,8.194251275508693,0.00026784729636282966,8.990946442706022,0.29138746715829633,53.594911959876356,16.034354053471862,0.232,a2697,18725.16152186058,64.03206183763875,17.304290662570942,0.16162638258529516,5006.841151089399,1.7144040304620602,39.793278599292925,6239.756444842583,82.70947041297038,5.967412980688489,0.2194669558308716,4958.923989601534,1.7910054033867,42.32310659015777,4474.784146615972,120.00317906212011,2.631673413760552,0.35551011880737227,3726.040999470925,1.7163636432493705,53.54542113426375,6433.04875045251,148.17388680827275,3.790888513824743,0.4389660050263382,3728.8923007615986,1.7163636432493705,53.50535705904301,0.0,0.0,nan,nan,6562.8,1.0,13.853480493619768,3989.8748248994084,127.02525204617551,4.12814678252546,0.37695168060009854,4861.382706720551,1.8763883994195423,45.59202791509586,2331.678897950266,67.5301532768227,1.9013951858843625,0.1950366379277287,4340.42440464379,1.8432593133601098,50.014383099296964,1120.0264520332587,51.36869980155942,0.8390632996085035,0.1537796731390585,4101.494141946715,1.6088268848821512,44.96060826583902,191.0313583652423,152.62918339917786,0.14402675645819862,0.49586762558790565,3968.639112631551,0.4999617834394905,nan,0.0,0.0,nan,nan,3888.5239294608227,7.747323409537682,252.57478815320948,151.0317502470045,110.28451954768296,0.10593747372886879,0.36213992869561445,3834.9202958625597,1.3327169736426205,37.643978304345865,264.7458274305654,0.0,0.20557066141342714,0.0,4363.481758102811,0.4999617834394905,nan,1785.473559267852,117.78194744489902,1.3142087694621496,0.39713047271790525,3868.838227666342,1.4926601785056595,43.38319147046445,0.0,0.0,nan,nan,6583.45,1.0,13.810026928666252,0.0,0.0,nan,nan,6548.05,1.0,13.88468655302385,0.0,0.0,nan,nan,6716.44,1.0,13.536579167464883,0.0,0.0,nan,nan,6730.82,1.0,13.507659064352907,614.6195139755444,87.21338213136028,0.31450416248679236,0.28377824595120305,3427.1890250542015,1.6004572380584585,53.482813970885836,248.87926248447965,92.88159783240977,0.14834972930016682,0.27267757926423836,3758.6342648693376,0.4999617834394905,nan,1134.3433091770833,393.69893553057204,1.1446415375188541,1.2127426981282334,4690.846629703101,9.99923566878981,271.0131455203778,0.0,0.0,nan,nan,5875.62,1.0,15.473706908126772,-999.0,6.267504186686932,14.977900372148106,2.7246724830375895,2.797756985275839
0d47m51pt42s-6d05m58pt798s,0.7976166666666666,-6.099666111111111,0.1835258189765272,28.79174331922129,0,0,0,nan,nan,nan,nan,14.399822389411446,2.470632870389893,65.64599949613418,14.464535738456231,0.232,a2697,12585.963140492424,262.9888212242434,115.73440489835518,6.605488699724746,5006.804804520119,3.5312070295515303,88.00700010733269,2182.5233403800416,418.52313175677136,28.942393005895802,15.42269052864487,4954.275502069332,7.28387452296592,186.1334284106587,0.0,0.0,nan,nan,3726.03,1.0,24.400668213494743,0.0,0.0,nan,nan,3728.82,1.0,24.382410999599827,0.0,0.0,nan,nan,6562.8742142952315,5.019955538366195,96.42946882686597,1025.6019887948137,172.58594285740088,94.23880599483485,45.45824811583469,4862.989510191877,4.263144993271485,110.12935731801643,0.0,50.187422369265214,nan,nan,4340.46,1.0,20.94654063936261,284.0847914175487,0.0,7.51082989349276,0.0,4102.15399789962,0.4999617834394905,nan,0.0,0.0,nan,nan,3970.08,1.0,22.900702702093618,0.0,0.0,nan,nan,3889.06,1.0,23.37778840736009,0.0,0.0,nan,nan,3835.4,1.0,23.704860453545347,0.0,0.0,nan,nan,4364.301024901018,3.9358337643590935,113.00922360985864,0.0,0.0,nan,nan,3868.75,1.0,23.500516131444996,1226.070862132616,314.13032520558636,24.28044347798309,11.876429094309884,6583.522416052678,4.800471223830462,91.83881473048746,0.0,0.0,nan,nan,6548.970700103971,2.169385525803142,39.9220948661871,0.0,0.0,nan,nan,6717.421826429205,2.3483433613776614,42.48930457786489,0.0,0.0,nan,nan,6729.6657791035805,6.680506763776372,125.66290250082312,0.0,0.0,nan,nan,3426.0,1.0,26.53754284399528,0.0,0.0,nan,nan,3760.0,1.0,24.18021855944889,3812.783677274457,921.2045821461674,25.65973310881737,18.942485733117636,4688.494910478177,9.99923566878981,271.0131455203778,0.0,0.0,nan,nan,5878.98322388429,0.4999617834394905,nan,-999.0,0.6829603273806598,0.6987947381688457,-0.014776386883914932,-0.01787500804183758
0d47m51pt495s-6d05m03pt982s,0.7976375,-6.0844394444444445,0.6467146874470218,26.18154992279784,0,0,0,nan,nan,8.060864177258928,0.0001492331932939531,10.91301189152032,1.1731763627518896,60.184304290617774,14.844705358712178,0.232,a2697,1899.3412168314305,81.90258848278023,19.447646502214656,2.2905887623207017,5006.848980267367,1.8063624352625893,42.34185815471693,825.0401368729658,87.56990219473093,6.302557568052595,1.856084483812266,4958.884461237545,2.7115616250898973,67.25429645116759,2749.3927506973005,130.47746313067603,18.252379148242582,4.363844404350364,3725.870478933628,2.1490373533460416,69.42333835003042,3070.0545394987853,134.96867513403424,20.42531041152999,4.51405387270872,3728.971120665347,2.1490373533460416,69.3713940046352,0.0,0.0,nan,nan,6562.8,1.0,13.853480493619768,782.9028987441355,81.65146045510791,8.676129107015486,2.5952112906261915,4861.442744540267,1.3777744930725857,31.07775878093118,383.8978031619085,47.06811047705833,3.325756818790356,1.4443034464683433,4340.218246286743,0.9645722797160269,19.464834674574604,599.7745322107976,56.85603960992227,5.502754385051057,2.0842455033647584,4101.721769384525,1.7323075823081577,49.18239972880674,75.15299892628886,102.17361236471497,0.5308980702213921,3.108816484436093,3969.4092459868743,0.4999617834394905,nan,558.5208660768861,69.00005553393744,3.8990669044830173,2.1776309006984964,3889.8184036685793,1.5168089958413822,44.049677089198475,0.0,0.0,nan,nan,3836.086596471654,5.020793458854097,165.02973512821902,0.0,0.0,nan,nan,4364.216153009728,7.1823373958964325,208.5692065740676,0.0,0.0,nan,nan,3869.2317446785146,7.262581772772349,237.8792876122895,0.0,0.0,nan,nan,6583.45,1.0,13.810026928666252,0.0,0.0,nan,nan,6548.05,1.0,13.88468655302385,0.0,0.0,nan,nan,6716.44,1.0,13.536579167464883,0.0,0.0,nan,nan,6730.82,1.0,13.507659064352907,0.0,40.96517119234264,nan,nan,3426.0,1.0,26.53754284399528,0.0,0.0,nan,nan,3755.296752609632,0.4999617834394905,nan,0.0,0.0,nan,nan,4685.722113531636,5.551218754562513,149.62292159508644,0.0,0.0,nan,nan,5875.62,1.0,15.473706908126772,-999.0,0.5407496687995993,0.6086601256935475,0.19017539778669254,-0.17816015350108233
10d11m49pt875s-44d08m18pt6s,10.197187499999998,-44.1385,0.3395226012802217,62.67326702320006,0,1,0,9.002853564417594,0.0029070777331024027,8.181569504397821,0.000257582012896687,22.695664716071857,1.086692288248622,146.9016658476335,19.357139910010485,0.363,macs0040m44,61394.79676226664,992.7455614382286,18.470544282638045,0.8157390514953452,5006.993414244516,4.568388184407238,114.78976672626183,20186.1825235035,376.6089714111447,6.033713781918061,0.312304983882083,4959.186003314092,4.416438617111912,111.95000537848554,19291.99508970898,2273.038824519067,7.839809609243638,4.655718743104775,3725.210051404818,4.8574498406028335,164.2358326095306,22519.527095440473,3173.3558990860515,9.171519487150704,6.499780108702276,3728.3547387794347,4.8574498406028335,164.11294709266988,16043.180688307322,1725.1805171664487,4.264173791679405,0.8784292318370858,6561.878896779543,5.725596873171271,110.23623491918545,5436.831351475668,189.7303166494238,1.742020697375184,0.17436355813237558,4861.304952469989,3.538239714641221,90.82913337703448,745.1290093577852,186.67870899509103,0.22866436471949822,0.20280919207648507,4341.35235297045,1.8185490176531105,49.23001123569239,0.0,0.0,nan,nan,4105.746278927672,0.4999617834394905,nan,0.0,0.0,nan,nan,3969.6954099421246,0.4999617834394905,nan,0.0,0.0,nan,nan,3889.4823837561635,6.9166716185517085,225.25783990608704,0.0,0.0,nan,nan,3835.168620682075,7.239958202012844,239.19324431362497,3033.7353352464816,246.59052804430286,0.9313062781681468,0.2653916565497544,4362.257227034571,5.668105646147499,164.11844900844173,9504.089155934764,851.9138400634898,3.1849653093771138,1.3080627821458932,3868.4922702906015,4.038363478433586,130.8800068204554,18363.85219561168,2936.9055927728614,5.619425255164883,1.7165057966653663,6580.725338075055,7.481950392815912,144.05063026221902,67.29032462525157,2683.5228257153976,0.019157780450790196,1.4666675957165063,6548.833437698486,0.4999617834394905,nan,8069.843800991098,1512.4591950969475,3.197412318981453,1.1209446445830609,6716.0450520240765,9.99923566878981,189.07053077254085,6487.997621414878,1928.2589354734512,2.5626703369095685,1.4229475438874586,6724.117971964413,9.99923566878981,188.66659273341497,0.0,0.0,nan,nan,3426.0,1.0,26.53754284399528,0.0,0.0,nan,nan,3759.506213125615,9.99923566878981,337.7342754526394,6570.171442923374,541.3199209898102,1.998749896333447,0.5039379459409791,4684.474750185898,9.99923566878981,271.0131455203778,6854.4823244099725,760.240214609386,2.6466932096716924,0.6385256529961507,5873.273379565171,9.99923566878981,216.12712798001303,-999.0,-999.0,-999.0,14.798543024452911,19.921883368491127
10d12m15pt3s-44d08m14pt824s,10.204249999999998,-44.13745111111111,0.5955161948855836,39.91728761548158,0,0,0,7.649513972388512,0.003417979581824817,7.986651861480264,0.004028292584602074,7.6406679904655395,1.146006025618475,106.57056089505195,21.2372014831877,0.363,macs0040m44,11820.532061877237,251.64685070398264,18.14526021757501,1.0551447386616595,5006.785389176136,5.574369855878273,140.61885688610315,2394.5339557062734,158.87918128109786,3.5360910718283596,0.6512038889097203,4957.867183618239,3.6779782219884054,92.69884217559034,16696.261739914356,4877.916569807625,31.9986805866361,47.08903378120809,3726.1290942508617,4.634707816109768,156.54103272764988,22753.068004355446,6192.057973821167,43.676296110008046,59.77511565269825,3728.4150888786353,4.634707816109768,156.42390465997426,0.0,0.0,nan,nan,6562.8,1.0,13.853480493619768,7023.521481213266,209.493570538994,11.23226360727961,0.9610598294557385,4860.936728181891,5.16014119410423,133.8863245458386,1945.544673407947,152.81643676960576,2.4749527811632803,0.6889773217046657,4338.980266606959,4.51382291014467,130.79333699959903,155.4226076754564,57.54495554993448,0.16560553308970452,0.24516396540587623,4100.415554424592,1.0490556073307866,24.251858622753325,0.0,0.0,nan,nan,3965.8227619163144,1.389314157331956,38.48346721097648,0.0,0.0,nan,nan,3888.8342371390727,0.4999617834394905,nan,0.0,0.0,nan,nan,3832.857786631643,0.4999617834394905,nan,1390.560786703118,202.21502621069456,1.6882078023240195,0.8599485814904582,4364.1128215041535,7.160331502453369,207.92403571187089,3878.1082157398573,174.43321974401445,4.3699549256548655,0.9009438958869541,3867.864277414857,8.021728000121348,262.96647042010085,0.0,0.0,nan,nan,6583.45,1.0,13.810026928666252,0.0,0.0,nan,nan,6548.05,1.0,13.88468655302385,0.0,0.0,nan,nan,6716.44,1.0,13.536579167464883,0.0,0.0,nan,nan,6730.82,1.0,13.507659064352907,2957.1463465009365,171.93003038119488,3.4494877096869656,1.2726166492521975,3429.607338241996,6.168154665808849,227.7277989444747,1478.7008907945717,261.853265899389,1.8983138840839822,1.656034713884614,3758.2902468415664,9.748576093893938,329.22576114904734,0.0,0.0,nan,nan,4684.381091010507,2.0282113592858027,51.720528554971345,0.0,0.0,nan,nan,5885.62,9.99923566878981,216.12712798001303,-999.0,-999.0,-999.0,3.4965496047292106,3.1942398995106633
