logmstellar,zdir,merror,zerror,z
9.604445302422596,8.649999999999944,0.15696913002759735,0.02999999999999936,0.5133239354527537
9.90710136475721,nan,0.1368990248677715,nan,0.8614848083977711
9.666249338256806,8.289999999999951,0.1451677046436699,0.03999999999999915,0.6055746871922316
8.9193098575823,nan,0.10887697893069734,nan,0.3049738261621944
9.882610225677492,nan,0.13636727619744243,nan,0.7636623000665741
9.428105110847737,8.619999999999944,0.11758566337202932,0.03999999999999915,0.3769632541816905
9.033040613551588,7.839999999999961,0.22049173749628634,0.024999999999999467,0.4039211267452194
9.126702230924888,7.799999999999962,0.3047462457548522,0.019999999999999574,0.5657121341241902
9.280969898404006,8.669999999999943,0.42084851771855075,0.034999999999999254,0.7169844519341801
9.238982515858812,7.7099999999999635,0.13785427748723103,0.019999999999999574,0.3864327307231097
9.686368907532358,8.509999999999946,0.13304663553652493,0.034999999999999254,0.5342696849731088
8.802903421292427,7.4799999999999685,0.4026911870322101,0.034999999999999254,0.52816467563896
10.050413566728825,nan,0.12348954955097556,nan,0.8268020717462952
9.758662527888859,8.549999999999946,0.13763602997621457,0.02999999999999936,0.5589078881977365
9.53845740045238,7.477878119623871,0.11414544627805696,0.021757435678228777,0.4171300625171268
9.56718104726266,8.249999999999952,0.14309155522940414,0.03999999999999915,0.61583971028766
9.395124813492838,7.975983944299288,0.1150039415595922,0.07659199075935667,0.8129675247285384
8.689414433603542,9.18209801654732,0.2032252080005407,0.06364491624830218,0.46470714870622953
8.624750732173602,8.459999999999948,0.0620206075099582,0.02999999999999936,0.40293015396403087
9.4750382363643,8.489999999999947,0.09736555841936595,0.034999999999999254,0.5528536269911948
