logmstellar,zdir,merror,zerror,z,new,eelg
9.54,7.477878119623871,0.11414544627805696,0.021757435678228777,0.4171300625171268,0,1
8.802903421292427,7.4799999999999685,0.4026911870322101,0.034999999999999254,0.53,0,1
10.02958025200021,7.599999999999966,0.1623226681266626,0.019999999999999574,0.3139852199548101,1,1
9.238982515858812,7.7099999999999635,0.13785427748723103,0.019999999999999574,0.3864327307231097,0,1
8.89,7.749999999999963,0.14042325577411863,0.024999999999999467,0.3254948479519506,1,1
9.126702230924888,7.799999999999962,0.3047462457548522,0.019999999999999574,0.5657121341241902,0,1
9.033040613551588,7.839999999999961,0.22049173749628634,0.024999999999999467,0.4039211267452194,0,1
9.144619419085146,7.86,0.1730265020968909,0.019999999999999574,0.64,1,1
8.793817211792827,7.89,0.02,0.024999999999999467,0.7300043801847442,1,1
9.395124813492838,7.975983944299288,0.1150039415595922,0.08,0.8129675247285384,0,1
9.470159158498475,7.979999999999958,0.12138158497461898,0.024999999999999467,0.33222509390511523,1,1
8.917373431669706,8.079999999999956,0.07,0.03,0.35,1,1
9.57,8.249999999999952,0.14109155522940414,0.04,0.62,0,1
9.666249338256806,8.289999999999951,0.1451677046436699,0.04,0.6055746871922316,0,1
8.624750732173602,8.459999999999948,0.06,0.03,0.40293015396403087,0,0
9.48,8.489999999999947,0.10,0.034999999999999254,0.5528536269911948,0,1
9.686368907532358,8.509999999999946,0.13304663553652493,0.034999999999999254,0.5342696849731088,0,1
8.188186320831676,8.509999999999946,0.02,0.034999999999999254,0.5565841194717231,1,0
9.16,8.509999999999946,0.07,0.034999999999999254,0.5529390342408789,1,1
9.90,8.529999999999946,0.05,0.04,0.5342542479259165,1,1
9.096970969482758,8.539999999999946,0.13923918874351485,0.019999999999999574,0.3978920157068906,1,0
9.758662527888859,8.549999999999946,0.13763602997621457,0.03,0.5589078881977365,0,1
9.365016979681412,8.579999999999945,0.028297414725912767,0.034999999999999254,0.5530582613876898,1,0
8.404859564812357,8.579999999999945,0.07,0.04,0.7604079697024868,1,0
7.9206428443666885,8.589999999999945,0.05,0.034999999999999254,0.3434483003154005,1,0
9.428105110847737,8.619999999999944,0.11758566337202932,0.04,0.3769632541816905,0,1
8.999480429852854,8.639999999999944,0.056789522017474336,0.04,0.7303612048554116,1,0
9.604445302422596,8.649999999999944,0.15696913002759735,0.03,0.5133239354527537,0,1
9.15,8.649999999999944,0.021599999999999998,0.034999999999999254,0.5762005650841973,1,1
9.280969898404006,8.669999999999943,0.42084851771855075,0.034999999999999254,0.7169844519341801,0,0
10.750781517677382,8.729999999999942,0.054278428532201765,0.049999999999998934,0.3087744999888289,1,1
8.076270755468368,8.729999999999942,0.04,0.024999999999999467,0.39170222134730537,1,0
7.9542418715589545,8.81,0.021599999999999998,0.04,0.44225149189779334,1,0
8.121545920553734,8.879999999999939,0.02,0.034999999999999254,0.4029405823417198,1,0
7.799506911660173,8.899999999999938,0.056962486099538266,0.04,0.44378838225385087,1,0
8.955735079258023,8.949999999999937,0.15037513096437669,0.04,0.5534435736532162,1,0
8.319712213756608,8.959999999999937,0.4163296160361545,0.04,0.32209183262901964,1,0
9.410943271586655,9.069999999999935,0.10,0.024999999999999467,0.5366391711089196,1,0
8.689414433603542,9.18,0.2032252080005407,0.06,0.46470714870622953,0,0
8.88,9.30,0.04,0.019999999999999574,0.2847550713737754,1,0
9.875938498812003,9.369999999999928,0.3291894979831837,0.024999999999999467,0.32658745796468347,1,0
9.723545244952664,9.649999999999922,0.3106630046323767,0.019999999999999574,0.31324023191713035,1,0
9.91,nan,0.1368990248677715,nan,0.8614848083977711,0,0
8.92,nan,0.10887697893069734,nan,0.3049738261621944,0,0
9.882610225677492,nan,0.13636727619744243,nan,0.7636623000665741,0,0
10.050413566728825,nan,0.12348954955097556,nan,0.8268020717462952,0,0
