filename,ra,dec
rxj0218m31,34.58129863040806,-31.69939687668962
a209,22.969416197924584,-13.61209250359877
rxj0232m44,38.07857428318949,-44.34662663699782
macs0140m34,25.0238050778472,-34.176944476350016
macs0111p08,17.88123183204167,8.928403637619319
macs0051p27,12.910696991547919,27.33357547971057
macs0140m05,25.003592373123123,-5.91705469512778
macs0040m44,10.208964309832721,-44.13091491612987
macs0011m15,2.9290869736677587,-15.3887518374017
a141,16.386785048117424,-24.646496210645967
macs0217m52,34.31325042068582,-52.76019528842647
a2697,0.79856931500948,-6.091544661679325
macs0138m21,24.516220192104292,-21.92522011983686
macs0018m40,4.756705684875445,-40.863752051028236
a2813,10.853776952379075,-20.62122867471815
macs0159m34,29.766485516234262,-34.21758182833766
macs0025m12,6.386565507841748,-12.386070138372844
rxj0019p03,4.911404446696832,3.599343020580438
a3017,36.471087922588296,-41.91456770088613
macs0027p26a,6.862669130004791,26.11912431102761
macs0032p18,8.050245064685226,18.143307189073557
macs0027p26b,6.941003467433741,26.27438860365214
s780,224.8716645436179,-18.179363243652222
a2811,10.537610366655056,-28.53572532948923
macs0028m75,7.040040371831652,-75.62853596563879
macs0152m28,28.126689427293268,-28.884492008953615
macs0033m07,8.471549713918339,-7.869722587604801
s26,4.783542312867333,-20.441070059987297
macs0034p02b,8.73857221117775,2.5606921599659285
macs0018p16,4.6395957416203055,16.43694892009977
macs0034p02a,8.61706848526243,2.4228958635069398
macs0035m20,8.859266491981181,-20.26248518697438
a3230,62.868344308295754,-63.68582762092041
macs0245m53,41.354010192858105,-53.02938367736935
