I,ID,X_PEAK_SN,Y_PEAK_SN,Z_PEAK_SN,DETSN_MAX,Identification,Short,Comment,Redshift,Quality,Confidence,Association,key,cluster,zcluster,dir
3252,165,179.0,152.0,1352.0,19.171581268310547,OIII 2,O3_2,-,0.2862,a,3,-,macs0611m30,MACSJ0611.8-3036,nan,cubes_new
6483,166,168.0,66.0,3073.0,16.728717803955078,Ha,Ha,-,0.3091,a,3,-,macs0138m21,MACS0138.0-2155,0.338,cubes
3257,167,231.0,245.0,3149.0,28.007892608642578,Ha,Ha,-,0.32353,a,3,-,macs0611m30,MACSJ0611.8-3036,nan,cubes_new
6271,168,190.0,178.0,2919.0,23.395244598388672,Ha,Ha,-,0.27977,a,3,-,macs0217m52,MACSJ0217.2-5244,nan,cubes
6486,169,155.0,175.0,1587.0,15.663216590881348,OIII 2,O3_2,-,0.34494,a,3,-,macs0138m21,MACS0138.0-2155,0.338,cubes
3271,170,283.0,59.0,1482.0,11.719902992248535,OIII 2,O3_2,-,0.31865,a,3,-,macs0611m30,MACSJ0611.8-3036,nan,cubes_new
7185,171,107.0,236.0,2068.0,31.084001541137695,OIII 2,O3_2,-,0.46502,a,3,-,macs0018m40,MACSJ0018.9-4051,nan,cubes
9009,172,108.0,267.0,2064.0,32.622772216796875,Lya,Lya,-,5.0313,c,0,-,macs0034p02b,MACS0034.9+0234,0.38429,cubes
5098,173,244.0,61.0,2574.0,35.52556610107422,OII,O2,-,1.13664,c,0,-,macs0449m28,MACSJ0449.3-2848,nan,cubes_new
10645,174,169.0,287.0,2250.0,21.89533042907715,Ha,Ha,-,0.15236,c,0,-,macs0011m15,MACS0011.7-1523,0.378,cubes
4556,175,160.0,245.0,2447.0,28.86849021911621,Lya,Lya,-,5.42494,c,0,-,rxj0232m44,RXCJ0232.2-4420,0.2836,cubes
7648,176,192.0,144.0,2454.0,42.4499397277832,OII,O2,-,1.09639,a,3,-,macs0257m23,MACSJ0257.1-2325,0.5049,cubes_new
9281,177,229.0,237.0,1669.0,18.344507217407227,Lya,Lya,-,4.62505,c,0,-,macs0032p18,MACS0032.1+1808,0.3892,cubes
4561,178,133.0,69.0,2472.0,19.4151554107666,Lya,Lya,-,5.45065,c,0,-,rxj0232m44,RXCJ0232.2-4420,0.2836,cubes
7806,179,201.0,139.0,2786.0,14.509496688842773,OII,O2,-,1.20782,a,3,-,macs0033m07,MACS0035.4-2015,0.352,cubes
