x, y
7.862910134498415, 7.9239473411959445
8.052307318884035, 7.963506103869232
8.232259630486308, 8.00871611835299
8.334429167023616, 8.024842230498654
8.352794197435678, 7.952837264638941
8.468256517890289, 8.004319263397475
8.358940860675633, 7.807715187254294
8.705127930551987, 7.961682702255328
8.963187840886377, 7.949643078833023
9.051689796967361, 8.025411235257604
9.13174633770239, 8.028876991516656
9.152160255861105, 7.872271363542313
9.33835917644707, 7.978701117318436
9.437530340672208, 8.046490275191392
