object_id,ra,dec,z,angdisp,foreground,cluster_member,lensed,Z_dir,Z_dir_e,Z_j19,Z_j19_e,R23,R23_e,mean_vel_disp,sterr_vel_disp,zcluster,name,oiii5007_flux,oiii5007_flux_err,oiii5007_ew,oiii5007_ew_err,oiii5007_centroid,oiii5007_fwhm,oiii5007_vel_disp,oiii4959_flux,oiii4959_flux_err,oiii4959_ew,oiii4959_ew_err,oiii4959_centroid,oiii4959_fwhm,oiii4959_vel_disp,oii3726_flux,oii3726_flux_err,oii3726_ew,oii3726_ew_err,oii3726_centroid,oii3726_fwhm,oii3726_vel_disp,oii3729_flux,oii3729_flux_err,oii3729_ew,oii3729_ew_err,oii3729_centroid,oii3729_fwhm,oii3729_vel_disp,halpha_flux,halpha_flux_err,halpha_ew,halpha_ew_err,halpha_centroid,halpha_fwhm,halpha_vel_disp,hbeta_flux,hbeta_flux_err,hbeta_ew,hbeta_ew_err,hbeta_centroid,hbeta_fwhm,hbeta_vel_disp,hgamma_flux,hgamma_flux_err,hgamma_ew,hgamma_ew_err,hgamma_centroid,hgamma_fwhm,hgamma_vel_disp,hdelta_flux,hdelta_flux_err,hdelta_ew,hdelta_ew_err,hdelta_centroid,hdelta_fwhm,hdelta_vel_disp,hepsilon_flux,hepsilon_flux_err,hepsilon_ew,hepsilon_ew_err,hepsilon_centroid,hepsilon_fwhm,hepsilon_vel_disp,hzeta_flux,hzeta_flux_err,hzeta_ew,hzeta_ew_err,hzeta_centroid,hzeta_fwhm,hzeta_vel_disp,heta_flux,heta_flux_err,heta_ew,heta_ew_err,heta_centroid,heta_fwhm,heta_vel_disp,oiii4363_flux,oiii4363_flux_err,oiii4363_ew,oiii4363_ew_err,oiii4363_centroid,oiii4363_fwhm,oiii4363_vel_disp,neiii_flux,neiii_flux_err,neiii_ew,neiii_ew_err,neiii_centroid,neiii_fwhm,neiii_vel_disp,nii6583_flux,nii6583_flux_err,nii6583_ew,nii6583_ew_err,nii6583_centroid,nii6583_fwhm,nii6583_vel_disp,nii6548_flux,nii6548_flux_err,nii6548_ew,nii6548_ew_err,nii6548_centroid,nii6548_fwhm,nii6548_vel_disp,sii6716_flux,sii6716_flux_err,sii6716_ew,sii6716_ew_err,sii6716_centroid,sii6716_fwhm,sii6716_vel_disp,sii6731_flux,sii6731_flux_err,sii6731_ew,sii6731_ew_err,sii6731_centroid,sii6731_fwhm,sii6731_vel_disp,nev3426_flux,nev3426_flux_err,nev3426_ew,nev3426_ew_err,nev3426_centroid,nev3426_fwhm,nev3426_vel_disp,fevii3760_flux,fevii3760_flux_err,fevii3760_ew,fevii3760_ew_err,fevii3760_centroid,fevii3760_fwhm,fevii3760_vel_disp,heii4686_flux,heii4686_flux_err,heii4686_ew,heii4686_ew_err,heii4686_centroid,heii4686_fwhm,heii4686_vel_disp,hei5876_flux,hei5876_flux_err,hei5876_ew,hei5876_ew_err,hei5876_centroid,hei5876_fwhm,hei5876_vel_disp,flux_HST_F435W,flux_HST_F606W,flux_HST_F814W,flux_Spitzer_I1_3.6,flux_Spitzer_I2_4.5,WFC3_F502N,WFC3_F606W,WFC3_F625W,WFC3_F656N,WFC3_F775W,logmstellar,logmstellar_err,Z_dir_gen,Z_dir_gen_err,direct
0d47m32pt175s-6d05m30pt586s,0.7922708333333333,-6.0918294444444445,0.22446931972086026,21.365298321343804,0,1,0,nan,nan,nan,nan,2.8116123150000125,0.12316194864166125,77.57405562296728,19.81651530144908,0.232,a2697,6362.788986019171,116.68381817352665,12.591940432369901,0.6307317828532486,5006.824002805668,2.2687033561460854,54.87228939310504,2085.405759243036,92.94423394888827,3.7326415923420884,0.4616176554102517,4958.654409952975,2.2040895195204637,53.65603726162177,0.0,0.0,nan,nan,3726.03,1.0,24.400668213494743,0.0,0.0,nan,nan,3728.82,1.0,24.382410999599827,5889.1157796685575,141.58628320614724,19.538480003285624,0.8997477157033152,6562.87407686711,2.21862761525735,40.84028834141955,3004.750939591104,120.45476241828455,5.393862548975504,0.620171774761167,4861.40337711292,2.285546184338905,56.97826504454364,1093.8301749217612,111.47447916406995,1.7633334367883382,0.6363978039927326,4340.650912160729,2.0435672118605797,56.313785342574114,706.7724973949751,104.86493616369195,1.058994561556572,0.62753804801252,4102.50323721998,1.4207865834357394,38.374942742187734,908.537603935894,124.43776752313794,1.395615529410512,0.8225180404345862,3971.047466998948,2.568152853515384,79.23573754432674,2499.271395464334,731.696343336173,3.3318707030737476,4.42523288259405,3884.2351659816354,9.99923566878981,326.52642944617054,0.0,0.0,nan,nan,3835.4,1.0,23.704860453545347,818.504181901079,21176677.1958435,1.2384356037723523,112258.84619809609,4363.679236945411,0.6207593383870463,nan,0.0,0.0,nan,nan,3858.75,9.99923566878981,328.2406140748108,78.04687728594136,795.3603706417058,0.1920827149353491,3.7366063520392045,6584.313586129654,0.4999617834394905,nan,0.0,0.0,nan,nan,6546.043057760952,7.747134551478258,150.00715683587984,1614.7691675993804,131.62416495321742,5.527640837212892,0.842763453984749,6716.4482834455,2.9525378129051782,54.369738586278324,781.313187568151,187.75912775943004,2.4522363303158863,1.09985544349378,6730.960024555424,2.948194371485827,54.169012061700656,0.0,0.0,nan,nan,3426.0,1.0,26.53754284399528,0.0,0.0,nan,nan,3760.0,1.0,24.18021855944889,571.0550757034432,98.76433266903119,0.9336253046448784,0.4937631895661775,4686.376647947624,1.5379915591575248,37.20826307780595,1163.8039184576105,154.9677929584038,2.9927192100510966,0.866652448119044,5874.151286269798,8.109497996594506,175.05690725980423,-999.0,3.4003360620502234,4.710827320376643,0.17654110163492048,0.0740792465912797,,,,,,7.294918153749545,0.06211737992305467,1.031492,1.031492,1.0
0d47m35pt7414972s-6d05m45pt46070142s,0.7932615269987924,-6.0959613059510875,0.40356436459876277,,,,,,,,,,,,,0.234,a2697,3988.9926538417167,64.98208316839337,91.30362943475343,4.062611126529947,5006.839148133549,2.005502532709892,47.78725643463929,141.87351438114544,84.37067112797378,1.5086858750338217,2.488326363069314,4960.1552060915465,1.4945932385722889,33.902069014347795,0.0,0.0,nan,nan,3725.8393172074752,5.9284884732109315,201.14625991669564,0.0,0.0,nan,nan,3728.523119445392,3.085812782665918,102.60991002149609,0.0,0.0,nan,nan,6562.520512789722,0.4999617834394905,nan,225.18728616729544,71.0839220183381,5.0124701777350955,4.547190876912973,4855.689550963157,2.048056436291737,50.405129709215934,283.8931760980184,66.0734783999189,22.330267520419525,18.39782357467272,4341.477706785064,0.9944982779797321,20.71997210438534,609.9371448035231,116.49351930090218,6.073739644709965,4.6280753783563116,4104.487884303846,2.8112365792373124,84.50733513028088,0.0,62.44260744512954,nan,nan,3970.08,1.0,22.900702702093618,0.0,0.0,nan,nan,3888.4982473509667,4.080792793357396,131.6065707711808,0.0,0.0,nan,nan,3831.9760385499812,5.588815628844737,184.05116714215688,0.0,0.0,nan,nan,4361.953154878922,5.5276911842701795,159.98900525592637,1527.9356442147334,190.25672089653818,139.41315142152234,79.4859156356135,3869.536640421949,6.778844466609626,221.8809819153023,18.666888725031686,187.81559642605293,0.3880037392493251,7.453128296047754,6583.405961855005,0.4999617834394905,nan,347.7192066656473,82.92636439491024,13.746608396001934,6.294265010793665,6548.091314060789,1.5059370975163218,25.92376808470854,0.0,0.0,nan,nan,6716.44,1.0,13.536579167464883,0.0,0.0,nan,nan,6730.82,1.0,13.507659064352907,229.18837621195667,0.0,2.1498186287172847,0.0,3423.43698525485,0.4999617834394905,nan,835.4015580936208,14098700.995428685,5.09698226575754,424148.9703793827,3756.950233685972,0.5604893713594409,nan,0.0,34.59111136224426,nan,nan,4685.68,1.0,19.403292965701418,172.02573702215034,74.82661420176892,8.482243891102083,8.031116363190925,5869.9906538552705,1.1321807475104742,19.280848593249267,nan,nan,nan,0.2537239654712248,0.11435331886498258,0.7607900849023262,0.03433877286712886,0.06219170830839885,4.363132369725686,0.11786081190657025,8.191089895056578,0.13458800777384744,1.031492,1.031492,1.0
0d47m43pt575s-6d05m04pt384s,0.7954374999999999,-6.084551111111111,0.8000350448050766,27.562286704118616,0,0,0,8.132766017447196,0.0,7.875307741873607,0.005751746723574991,6.98271032025973,0.6966293772841116,45.10146333288366,11.245513877356288,0.232,a2697,4086.6915825273877,138.24534017502964,62.12650653759385,5.740417925970567,5006.831154980506,1.873090930162101,44.176638995741264,1804.4678819335386,134.81781102492016,44.163391468423576,9.154676691738295,4959.014088341578,2.053789488473105,49.56985977851961,1756.447490254632,66.34342455987047,10.60875099612024,2.0184224533275996,3726.087849074511,1.3026864913393574,37.53780245316292,2865.3897928960373,90.58249468585991,17.337424078707592,2.7558683074518178,3728.633828867244,1.3026864913393574,37.50971569412271,0.0,0.0,nan,nan,6562.8,1.0,13.853480493619768,1505.5753805379904,146.7576727431479,18.307827208809833,5.118693609797137,4861.222634475485,1.9683178603231282,48.177106341603555,693.78965143607,323952.81333755236,15.914405658278406,26317.236345969857,4340.517182651139,0.5002724464205979,nan,416.3459926844606,126.94997284182764,5.126411614462073,6.245815311174422,4101.648590233728,2.340290743375851,69.31287057190774,344.13610292500283,84.87228438823023,3.442730225111916,3.656890380768397,3969.4800492652284,4.096041690350039,129.41711138374868,165.5997544547211,0.0,1.5818974087004658,0.0,3888.091515357724,0.4999617834394905,nan,374.01517431598285,89.525059380758,3.4827343925040855,3.9025988218399243,3834.9286106201234,2.649987527779549,84.83788378930859,987.6345989535487,394587.2328431947,11.043952257672988,15465.45639648461,4362.7772604532065,0.4999617834394905,nan,660.6948863675191,59.676719962879496,7.22096439348461,2.9876773800163687,3868.8711243937273,1.1516148358401745,30.092047497757438,0.0,0.0,nan,nan,6583.45,1.0,13.810026928666252,0.0,0.0,nan,nan,6548.05,1.0,13.88468655302385,0.0,0.0,nan,nan,6716.44,1.0,13.536579167464883,0.0,0.0,nan,nan,6730.82,1.0,13.507659064352907,557.9995015833667,62.89742353162615,5.758231780702123,4.129175156656294,3426.6613137299523,1.3443483001543561,42.64944741161652,268.98229167581775,32.73145988257688,2.4950331145075357,1.492716514396865,3761.2069460329226,1.007559103309505,24.537329753802346,0.0,0.0,nan,nan,4689.244114269337,8.132682346366225,220.14531387112743,0.0,0.0,nan,nan,5875.62,1.0,15.473706908126772,-999.0,-0.02312480539900013,-0.09519050650678738,0.1911821736094253,0.05575022169939943,,,,,,8.159389100334613,0.02199115290341036,1.031492,1.031492,1.0
0d47m46pt41s-6d05m01pt731s,0.7962249999999998,-6.0838141666666665,0.813730341991405,29.234392149658305,0,0,0,nan,nan,7.995054837583766,0.005742774737297959,7.657246782344966,1.2710694233796889,47.74267136982182,15.686974371211788,0.232,a2697,2631.1753853074147,126.41843917172314,161.06592596676776,21.137357541580972,5006.842178496315,2.003571712900292,47.73486257063124,648.1729577339107,87.71897925227861,7.289559336587664,2.736740894388615,4959.380628059953,1.5038472363619615,34.17073007166657,1384.470730149666,69.78828444063166,7.843174601487567,1.991732076137701,3725.905951911926,1.4751623977721935,44.36687333976902,1586.994935203225,72.12239595962903,9.00809924562495,2.0583467639600443,3728.708276172414,1.4751623977721935,44.33367689246988,0.0,0.0,nan,nan,6562.8,1.0,13.853480493619768,816.3265709035902,133.3659143771464,16.707999602099157,7.829416748854983,4861.222489373825,1.755217878314025,42.152560955104285,88.27133415263357,143.99896199083807,0.6964808124396319,4.024429999412321,4340.224478071667,0.4999617834394905,nan,0.0,0.0,nan,nan,4101.47128023074,1.9053089619815902,55.00152350500359,0.0,0.0,nan,nan,3973.5105427157696,2.6150198117635757,80.79666229839106,353.91373032235066,53.7527878514079,3.5657043909267205,2.451153459342482,3887.9462374083014,1.138799051652348,29.40480550514024,119.73694845218827,1551.241045957657,0.7938063175650303,48.161863884413805,3834.3620877858802,0.4999617834394905,nan,1179.3675011802975,105.31994407298323,14.146615243730414,4.429185504412305,4362.188445002607,2.2025532392427385,60.93430958136255,351.59875398275443,55.57004799706897,2.7962202792294293,2.026189071625547,3867.4878144882928,1.0135581206830682,24.121302699884023,0.0,0.0,nan,nan,6583.45,1.0,13.810026928666252,0.0,0.0,nan,nan,6548.05,1.0,13.88468655302385,0.0,0.0,nan,nan,6716.44,1.0,13.536579167464883,0.0,0.0,nan,nan,6730.82,1.0,13.507659064352907,180.86782661961004,91.15529682547465,0.6452827693731175,2.0638926558161015,3429.468324170293,0.4999617834394905,nan,2096.274446785904,572.8642945891555,31.753256146883956,42.58925792060859,3763.7462531055044,9.99923566878981,337.7342754526394,0.0,0.0,nan,nan,4687.534783216456,2.6710370355803037,70.0357054091201,0.0,0.0,nan,nan,5875.62,1.0,15.473706908126772,-999.0,0.9793916507898521,2.3053820180429034,2.2551211294622164,3.0376241379467794,,,,,,9.687665841850803,0.13380473354953215,1.031492,1.031492,1.0
0d47m48pt01092374s-6d05m28pt46077468s,0.796669701037554,-6.091239104079102,0.636493019604309,,,,,,,,,,,,,0.234,a2697,18342.768660540885,68.24873114911351,18.176749889907224,0.18472790563508096,5006.840834445676,1.7061578651961724,39.563471126068784,6172.784618032881,89.03133378757333,6.295586619562051,0.25193775875344065,4958.924971485399,1.7981981248530818,42.52365054994582,4359.128474228522,106.39051998493038,2.732583602124368,0.3359585599918988,3726.0091038026912,1.6836752121110488,52.31979523028367,6417.408417895022,133.62000423887005,4.030920483279635,0.421943460907614,3728.881789659576,1.6836752121110488,52.28064820020646,0.0,0.0,nan,nan,6562.8,1.0,13.853480493619768,3775.830783477803,116.50194399291375,4.206492539599995,0.3722564704818713,4861.371327364013,1.8034392727729245,43.52618711699272,2185.848799375212,63.61464499085943,1.9143725990705724,0.19732923149516468,4340.3598773307995,1.8542161242411976,50.361610546177126,1251.8394210932784,50.881327147908294,1.007479578360665,0.16363694661317896,4101.488238052665,2.094953179418254,61.28624229314098,744.8375528380597,75.14481076179464,0.6066342173497835,0.26390666894784565,3967.487954972221,1.2241567950879033,32.20435165392934,0.0,0.0,nan,nan,3888.107811255905,5.686648518778757,184.73926975163056,0.0,0.0,nan,nan,3829.647593186112,0.4999617834394905,nan,348.6968479733355,879396.1802210708,0.29090044560440836,2570.6612486351783,4363.412061091764,0.5168278941495127,nan,1692.2004200527167,122.80409121045744,1.346209896620447,0.4475338055983583,3868.8073746476443,1.6826668009224734,50.35320412650667,0.0,0.0,nan,nan,6583.45,1.0,13.810026928666252,0.0,0.0,nan,nan,6548.05,1.0,13.88468655302385,0.0,0.0,nan,nan,6716.44,1.0,13.536579167464883,0.0,0.0,nan,nan,6730.82,1.0,13.507659064352907,255.4780357811572,214413.68032214537,0.1390770985918311,741.8096938157773,3427.8196912486587,0.4999617834394905,nan,818.4189937801627,66.59956848575254,0.523425349322099,0.20977464772622065,3758.698904152189,1.4921435978326003,44.6181533713262,1355.3459761042184,469.4712072075178,1.467562774940182,1.5494444112296206,4694.811977830021,9.99923566878981,271.0131455203778,0.0,0.0,nan,nan,5875.62,1.0,15.473706908126772,nan,5.7488815637447885,13.859048354164466,2.327996599056209,2.684543431007448,8.378851701693362,0.48481508811874763,0.9228276571261894,86.78955485022557,1.6219942169117798,9.144619419085146,0.1730265020968909,1.031492,1.031492,1.0
0d47m48pt18s-6d05m28pt496s,0.7967166666666666,-6.091248888888889,0.6364947128440614,5.584921070167412,0,0,0,10.061163784579014,0.00048685353479466524,8.194251275508693,0.00026784729636282966,8.990946442706022,0.29138746715829633,53.594911959876356,16.034354053471862,0.232,a2697,18725.16152186058,64.03206183763875,17.304290662570942,0.16162638258529516,5006.841151089399,1.7144040304620602,39.793278599292925,6239.756444842583,82.70947041297038,5.967412980688489,0.2194669558308716,4958.923989601534,1.7910054033867,42.32310659015777,4474.784146615972,120.00317906212011,2.631673413760552,0.35551011880737227,3726.040999470925,1.7163636432493705,53.54542113426375,6433.04875045251,148.17388680827275,3.790888513824743,0.4389660050263382,3728.8923007615986,1.7163636432493705,53.50535705904301,0.0,0.0,nan,nan,6562.8,1.0,13.853480493619768,3989.8748248994084,127.02525204617551,4.12814678252546,0.37695168060009854,4861.382706720551,1.8763883994195423,45.59202791509586,2331.678897950266,67.5301532768227,1.9013951858843625,0.1950366379277287,4340.42440464379,1.8432593133601098,50.014383099296964,1120.0264520332587,51.36869980155942,0.8390632996085035,0.1537796731390585,4101.494141946715,1.6088268848821512,44.96060826583902,191.0313583652423,152.62918339917786,0.14402675645819862,0.49586762558790565,3968.639112631551,0.4999617834394905,nan,0.0,0.0,nan,nan,3888.5239294608227,7.747323409537682,252.57478815320948,151.0317502470045,110.28451954768296,0.10593747372886879,0.36213992869561445,3834.9202958625597,1.3327169736426205,37.643978304345865,264.7458274305654,0.0,0.20557066141342714,0.0,4363.481758102811,0.4999617834394905,nan,1785.473559267852,117.78194744489902,1.3142087694621496,0.39713047271790525,3868.838227666342,1.4926601785056595,43.38319147046445,0.0,0.0,nan,nan,6583.45,1.0,13.810026928666252,0.0,0.0,nan,nan,6548.05,1.0,13.88468655302385,0.0,0.0,nan,nan,6716.44,1.0,13.536579167464883,0.0,0.0,nan,nan,6730.82,1.0,13.507659064352907,614.6195139755444,87.21338213136028,0.31450416248679236,0.28377824595120305,3427.1890250542015,1.6004572380584585,53.482813970885836,248.87926248447965,92.88159783240977,0.14834972930016682,0.27267757926423836,3758.6342648693376,0.4999617834394905,nan,1134.3433091770833,393.69893553057204,1.1446415375188541,1.2127426981282334,4690.846629703101,9.99923566878981,271.0131455203778,0.0,0.0,nan,nan,5875.62,1.0,15.473706908126772,-999.0,6.267504186686932,14.977900372148106,2.7246724830375895,2.797756985275839,,,,,,9.23661589257072,0.18460555592792433,1.031492,1.031492,1.0
0d48m10pt33722465s-6d05m57pt46071002s,0.8028714512914789,-6.099294641672274,0.5081774652974029,,,,,,,,,,,,,0.234,a2697,1761.5583930657979,82.72286268633098,25.226101461833178,3.2356572480992773,5006.860223559952,1.9313368870459533,45.769475704569665,939.1369639242889,76.59640933620571,19.00872888086018,4.301322269918005,4959.104787754279,1.7443758191806498,41.01938511745206,844.6056493678326,1696.286682561901,13.016716969101463,131.74659929854906,3725.403836527263,4.224626336900394,142.35076792742342,2017.5833431404958,2977.9813681478568,31.151239847683033,231.29281274281496,3728.029768075795,4.224626336900394,142.2442573845392,0.0,0.0,nan,nan,6562.8,1.0,13.853480493619768,693.3642740577019,2477727.3862455958,10.770468955377615,110423.54794079154,4860.490368831173,0.5124781526497829,nan,0.0,0.0,nan,nan,4336.621863580239,0.4999617834394905,nan,23.705574012205194,158.2668892708946,0.5636400667096678,15.034196367006757,4101.897063451465,0.4999617834394905,nan,0.0,0.0,nan,nan,3969.1413619203554,9.99923566878981,319.8627926142355,0.0,41.244549646109064,nan,nan,3889.06,1.0,23.37778840736009,358.62144571294334,65.2793710709417,3.174539431183496,2.7121007335565808,3830.9997459108304,1.2939449564889587,36.1228491150013,0.0,37.738461902976795,nan,nan,4363.21,1.0,20.83732430562082,0.0,0.0,nan,nan,3868.923630947949,0.6385914491141975,nan,0.0,0.0,nan,nan,6583.45,1.0,13.810026928666252,0.0,0.0,nan,nan,6548.05,1.0,13.88468655302385,0.0,0.0,nan,nan,6716.44,1.0,13.536579167464883,0.0,0.0,nan,nan,6730.82,1.0,13.507659064352907,0.0,0.0,nan,nan,3425.6853367749636,7.213353964361549,266.78306424130005,126.6894321410385,93.59265621434339,2.671744031269437,9.726141684616206,3757.883759088729,0.4999617834394905,nan,0.0,0.0,nan,nan,4686.399036353664,2.4402862159307297,63.51631730182846,0.0,0.0,nan,nan,5875.964136628419,3.012854520812849,63.494689394980945,nan,14.506761801661057,30.993382221917134,3.7804706968118906,3.2494612448981726,0.3763075869235402,0.036811486510328555,0.06941239915835602,4.535829517614674,0.14662362403731483,9.558750355284678,0.16598405749157624,1.031492,1.031492,1.0
10d11m49pt875s-44d08m18pt6s,10.197187499999998,-44.1385,0.3395226012802217,62.67326702320006,0,1,0,9.002853564417594,0.0029070777331024027,8.181569504397821,0.000257582012896687,22.695664716071857,1.086692288248622,146.9016658476335,19.357139910010485,0.363,macs0040m44,61394.79676226664,992.7455614382286,18.470544282638045,0.8157390514953452,5006.993414244516,4.568388184407238,114.78976672626183,20186.1825235035,376.6089714111447,6.033713781918061,0.312304983882083,4959.186003314092,4.416438617111912,111.95000537848554,19291.99508970898,2273.038824519067,7.839809609243638,4.655718743104775,3725.210051404818,4.8574498406028335,164.2358326095306,22519.527095440473,3173.3558990860515,9.171519487150704,6.499780108702276,3728.3547387794347,4.8574498406028335,164.11294709266988,16043.180688307322,1725.1805171664487,4.264173791679405,0.8784292318370858,6561.878896779543,5.725596873171271,110.23623491918545,5436.831351475668,189.7303166494238,1.742020697375184,0.17436355813237558,4861.304952469989,3.538239714641221,90.82913337703448,745.1290093577852,186.67870899509103,0.22866436471949822,0.20280919207648507,4341.35235297045,1.8185490176531105,49.23001123569239,0.0,0.0,nan,nan,4105.746278927672,0.4999617834394905,nan,0.0,0.0,nan,nan,3969.6954099421246,0.4999617834394905,nan,0.0,0.0,nan,nan,3889.4823837561635,6.9166716185517085,225.25783990608704,0.0,0.0,nan,nan,3835.168620682075,7.239958202012844,239.19324431362497,3033.7353352464816,246.59052804430286,0.9313062781681468,0.2653916565497544,4362.257227034571,5.668105646147499,164.11844900844173,9504.089155934764,851.9138400634898,3.1849653093771138,1.3080627821458932,3868.4922702906015,4.038363478433586,130.8800068204554,18363.85219561168,2936.9055927728614,5.619425255164883,1.7165057966653663,6580.725338075055,7.481950392815912,144.05063026221902,67.29032462525157,2683.5228257153976,0.019157780450790196,1.4666675957165063,6548.833437698486,0.4999617834394905,nan,8069.843800991098,1512.4591950969475,3.197412318981453,1.1209446445830609,6716.0450520240765,9.99923566878981,189.07053077254085,6487.997621414878,1928.2589354734512,2.5626703369095685,1.4229475438874586,6724.117971964413,9.99923566878981,188.66659273341497,0.0,0.0,nan,nan,3426.0,1.0,26.53754284399528,0.0,0.0,nan,nan,3759.506213125615,9.99923566878981,337.7342754526394,6570.171442923374,541.3199209898102,1.998749896333447,0.5039379459409791,4684.474750185898,9.99923566878981,271.0131455203778,6854.4823244099725,760.240214609386,2.6466932096716924,0.6385256529961507,5873.273379565171,9.99923566878981,216.12712798001303,-999.0,-999.0,-999.0,14.798543024452911,19.921883368491127,,,,,,9.264581812462588,0.5354944207645544,1.031492,1.031492,1.0
10d12m15pt3s-44d08m14pt824s,10.204249999999998,-44.13745111111111,0.5955161948855836,39.91728761548158,0,0,0,7.649513972388512,0.003417979581824817,7.986651861480264,0.004028292584602074,7.6406679904655395,1.146006025618475,106.57056089505195,21.2372014831877,0.363,macs0040m44,11820.532061877237,251.64685070398264,18.14526021757501,1.0551447386616595,5006.785389176136,5.574369855878273,140.61885688610315,2394.5339557062734,158.87918128109786,3.5360910718283596,0.6512038889097203,4957.867183618239,3.6779782219884054,92.69884217559034,16696.261739914356,4877.916569807625,31.9986805866361,47.08903378120809,3726.1290942508617,4.634707816109768,156.54103272764988,22753.068004355446,6192.057973821167,43.676296110008046,59.77511565269825,3728.4150888786353,4.634707816109768,156.42390465997426,0.0,0.0,nan,nan,6562.8,1.0,13.853480493619768,7023.521481213266,209.493570538994,11.23226360727961,0.9610598294557385,4860.936728181891,5.16014119410423,133.8863245458386,1945.544673407947,152.81643676960576,2.4749527811632803,0.6889773217046657,4338.980266606959,4.51382291014467,130.79333699959903,155.4226076754564,57.54495554993448,0.16560553308970452,0.24516396540587623,4100.415554424592,1.0490556073307866,24.251858622753325,0.0,0.0,nan,nan,3965.8227619163144,1.389314157331956,38.48346721097648,0.0,0.0,nan,nan,3888.8342371390727,0.4999617834394905,nan,0.0,0.0,nan,nan,3832.857786631643,0.4999617834394905,nan,1390.560786703118,202.21502621069456,1.6882078023240195,0.8599485814904582,4364.1128215041535,7.160331502453369,207.92403571187089,3878.1082157398573,174.43321974401445,4.3699549256548655,0.9009438958869541,3867.864277414857,8.021728000121348,262.96647042010085,0.0,0.0,nan,nan,6583.45,1.0,13.810026928666252,0.0,0.0,nan,nan,6548.05,1.0,13.88468655302385,0.0,0.0,nan,nan,6716.44,1.0,13.536579167464883,0.0,0.0,nan,nan,6730.82,1.0,13.507659064352907,2957.1463465009365,171.93003038119488,3.4494877096869656,1.2726166492521975,3429.607338241996,6.168154665808849,227.7277989444747,1478.7008907945717,261.853265899389,1.8983138840839822,1.656034713884614,3758.2902468415664,9.748576093893938,329.22576114904734,0.0,0.0,nan,nan,4684.381091010507,2.0282113592858027,51.720528554971345,0.0,0.0,nan,nan,5885.62,9.99923566878981,216.12712798001303,-999.0,-999.0,-999.0,3.4965496047292106,3.1942398995106633,,,,,,9.2483624149982,0.27029759054956426,1.031492,1.031492,1.0
10d12m40pt95s-44d07m36pt244s,10.211374999999997,-44.126734444444445,0.3100129674661394,11.404008604700051,0,0,0,7.800183526953036,0.028905259852934254,8.009367849967076,5.006227547050084e-05,7.996659575846278,0.1662220994232096,88.16047469450058,20.8839293650235,0.363,macs0040m44,7041.993422188298,89.86941358783317,10.876692568555539,0.3791399420423249,5006.842180858533,2.3146027526470756,56.09797126941661,1710.8554901272455,86.63343573159337,2.5425736756270796,0.3572189930852647,4958.970260344623,1.829571959089801,43.39675169230589,14491.16979366368,256.4327553367682,15.433710407089192,1.375854459975015,3725.9329592836043,2.354845741214614,76.8227823597324,19956.023746974133,330.79826252581347,21.29551606013204,1.7748522970492304,3728.727867546327,2.354845741214614,76.76530155808908,12949.409875529776,249.9683208428543,30.490326665473777,1.1273564598979227,6562.797600318014,2.534742120598681,47.25863320092067,5402.261037025768,98.11558099124686,9.141205710260426,0.4761806008277142,4861.3428282244495,2.141593511477265,53.00419724312771,457.59437552019034,19806.682657018326,0.5288490584648399,81.05683484670695,4340.856319426952,0.4999617834394905,nan,193.49254164839442,2.562878626920963e+35,0.20008798437256467,1.0587621582480638e+33,4102.003710042707,0.4999617834394905,nan,0.0,0.0,nan,nan,3971.019401711265,3.261283986000787,102.14346279632238,333.9674145797615,211.47372500209121,0.32640145971647044,0.9350361867978703,3888.67405202531,0.4999617834394905,nan,0.0,0.0,nan,nan,3835.703525152026,7.351418138040206,242.91013257071853,1724.432502437575,353.2868367480353,2.003291341185609,1.4375288808876625,4364.271790555456,8.753389569824558,254.589210665765,4368.091786185304,391.92264661835236,4.354151907573114,1.7929812569831303,3865.859841662289,9.99923566878981,328.2406140748108,1636.7442588506897,20060849.315604035,2.5530873621990797,59740.714651241695,6583.5038484220695,0.6227972245967703,nan,0.0,0.0,nan,nan,6548.572251350755,0.4999617834394905,nan,3288.5567184532765,298.3097480315351,8.361000263351434,1.418588620671855,6716.518407635656,2.757798194650136,50.562094038609594,2220.9920905977333,370.92829704283014,5.165449634303596,1.6101762920029707,6730.574977598046,2.743127542638686,50.167134680055845,0.0,0.0,nan,nan,3426.0,1.0,26.53754284399528,1009.9654229865039,144.08636970008425,1.122584603561328,0.7897823755965326,3756.78022027529,2.5752664875088143,83.91313583819561,579.4514251365201,70.01490704677231,0.7550122163809846,0.2791899299276284,4684.2891281924,2.068408171195031,52.88265410154376,669.7472098447604,110.03154626957566,1.4528433745523421,0.5188531705558697,5876.293192191616,2.043419583277085,41.59692556740144,-999.0,-999.0,-999.0,0.5076460077043073,0.1446769798761244,,,,,,7.908525859017567,0.04971317726702307,1.031492,1.031492,1.0
