x, y
6.601245038407722, 7.130289157872957
6.704239127330878, 7.173869749637906
6.605392786772895, 7.529898613697497
6.809382049744425, 7.3550589695841095
6.805209314943316, 7.44877663976826
6.710785573545789, 7.597183426443203
6.607141837288329, 7.571655803848541
6.613588337759502, 7.634996379060625
6.718281504326223, 7.7081005586592175
6.605642651132243, 7.809499793089179
6.802110996887404, 7.776665632112559
6.905854678888604, 7.730757293606455
6.905854678888604, 7.690125181046969
6.803210400068534, 7.640531243534037
6.793465690053971, 7.665632112559487
7.021316999343214, 7.7433012621560104
7.10172335018133, 7.815241568384026
7.096601130814701, 7.867758121249741
7.313458408292641, 7.877276019035795
7.30843613466975, 7.8414675150010344
7.210089522830463, 7.790282950548313
7.200244867072161, 7.638255224498241
7.214012393272224, 7.605951272501552
7.502380850395499, 7.657678977860542
7.716514606356549, 7.624249948272294
8.016326851137954, 7.638229360645561
8.010779862360433, 7.670003103662322
7.902288757531625, 7.827022553279536
7.477444387332591, 7.820556590109662
7.593331477198093, 7.826789778605421
8.10860175904509, 7.8659605834885165
8.508559639053086, 7.98055038278502
8.60428267511922, 7.9306331471135945
8.304420457465946, 7.782045313469895
