object_id,ra,dec,z,angdisp,Z_dir,Z_dir_e,Z_j19,Z_j19_e,R23,R23_e,mean_vel_disp,sterr_vel_disp,oiii5007_flux,oiii5007_flux_err,oiii5007_ew,oiii5007_ew_err,oiii5007_centroid,oiii5007_fwhm,oiii5007_vel_disp,oiii4959_flux,oiii4959_flux_err,oiii4959_ew,oiii4959_ew_err,oiii4959_centroid,oiii4959_fwhm,oiii4959_vel_disp,oii3726_flux,oii3726_flux_err,oii3726_ew,oii3726_ew_err,oii3726_centroid,oii3726_fwhm,oii3726_vel_disp,oii3729_flux,oii3729_flux_err,oii3729_ew,oii3729_ew_err,oii3729_centroid,oii3729_fwhm,oii3729_vel_disp,halpha_flux,halpha_flux_err,halpha_ew,halpha_ew_err,halpha_centroid,halpha_fwhm,halpha_vel_disp,hbeta_flux,hbeta_flux_err,hbeta_ew,hbeta_ew_err,hbeta_centroid,hbeta_fwhm,hbeta_vel_disp,hgamma_flux,hgamma_flux_err,hgamma_ew,hgamma_ew_err,hgamma_centroid,hgamma_fwhm,hgamma_vel_disp,hdelta_flux,hdelta_flux_err,hdelta_ew,hdelta_ew_err,hdelta_centroid,hdelta_fwhm,hdelta_vel_disp,hepsilon_flux,hepsilon_flux_err,hepsilon_ew,hepsilon_ew_err,hepsilon_centroid,hepsilon_fwhm,hepsilon_vel_disp,hzeta_flux,hzeta_flux_err,hzeta_ew,hzeta_ew_err,hzeta_centroid,hzeta_fwhm,hzeta_vel_disp,heta_flux,heta_flux_err,heta_ew,heta_ew_err,heta_centroid,heta_fwhm,heta_vel_disp,oiii4363_flux,oiii4363_flux_err,oiii4363_ew,oiii4363_ew_err,oiii4363_centroid,oiii4363_fwhm,oiii4363_vel_disp,neiii_flux,neiii_flux_err,neiii_ew,neiii_ew_err,neiii_centroid,neiii_fwhm,neiii_vel_disp,nii6583_flux,nii6583_flux_err,nii6583_ew,nii6583_ew_err,nii6583_centroid,nii6583_fwhm,nii6583_vel_disp,nii6548_flux,nii6548_flux_err,nii6548_ew,nii6548_ew_err,nii6548_centroid,nii6548_fwhm,nii6548_vel_disp,sii6716_flux,sii6716_flux_err,sii6716_ew,sii6716_ew_err,sii6716_centroid,sii6716_fwhm,sii6716_vel_disp,sii6731_flux,sii6731_flux_err,sii6731_ew,sii6731_ew_err,sii6731_centroid,sii6731_fwhm,sii6731_vel_disp,heii4686_flux,heii4686_flux_err,heii4686_ew,heii4686_ew_err,heii4686_centroid,heii4686_fwhm,heii4686_vel_disp,hei5876_flux,hei5876_flux_err,hei5876_ew,hei5876_ew_err,hei5876_centroid,hei5876_fwhm,hei5876_vel_disp
29d46m30pt68004s-34d13m03pt78948s,29.7751889,-34.2177193,0.688920751978447,31.618227193942236,nan,nan,nan,nan,nan,nan,573.147851224081,353.8671360928847,16716447.892730303,459.03337461930766,112.52676394227474,5.274586743615406,5006.836390822859,1.789883495260365,41.88695757219216,5694463.618593982,644.9520843587354,32.956488646629445,7.157517007575901,4958.8421406742555,1.6697413897921798,38.918419565875695,-50.396192676630115,58.83887879510869,-1.4105673033473936,1.6468743805023165,3726.4948148040166,0.8070485336310418,13.723680929514115,1248112335.6095054,2517.994494914047,163.63482131007,55.72897072609993,3714.3617755963623,142.201091769165,4854.999934244893,0.0,131.39715162269871,nan,nan,6562.8,1.0,13.853480493619768,3929827.4356103637,95.05086844689976,45.270128467201936,2.6840839643848633,4861.336113649758,1.9788000226287383,48.47070543021388,8362290.514015314,76.89563281253525,38.47375042126023,4.136697913525971,4340.43165737452,1.7204404304146395,46.09653151514472,9777382.359852288,43.89674214026696,34.49229991898883,4.423528638449155,4101.691104572952,1.4890745048238794,40.79295694059145,37596733.19221606,130.571436269902,37.07037641413182,6.442794568183758,3968.3493001553184,6.432328734488291,205.0429968445675,31852631.99756493,99.72312366035874,35.530390136918896,7.96344872098502,3888.9148053443087,2.1165093465635816,65.38583227276946,984751169.1196355,5272.320401173831,187.75635570058185,77.00601459721248,3874.3566023968415,144.0169132047408,4780.3608730941105,3019150.0173114105,149.72076427238235,18.68087936259587,10.011191460902602,4363.2671707977825,1.478442325182847,37.99645824738828,59199953.901044674,105.17389866916427,25.10855332956879,3.5037129035736942,3869.0128896603555,1.922450222571567,58.91983626094251,0.0,131.39715162269871,nan,nan,6583.45,1.0,13.810026928666252,0.0,131.39715162269871,nan,nan,6548.05,1.0,13.88468655302385,0.0,131.39715162269871,nan,nan,6716.44,1.0,13.536579167464883,0.0,131.39715162269871,nan,nan,6730.82,1.0,13.507659064352907,-21.841104400794126,781201394306.2043,-1.0538755313508368,37694478237.39771,4685.609410928699,0.2817434810678443,nan,0.0,131.39715162269871,nan,nan,5875.62,1.0,15.473706908126772
29d46m14pt58444s-34d13m14pt10168s,29.7707179,-34.2205838,0.4211878218486287,18.425254390641037,nan,nan,7.992279989783304,1.3313603729838005e-05,42.49983400096429,0.5609334878029252,730.6450892711167,361.4119063809665,53871.43476593507,116.23736559167737,117.37448999912556,4.518993666644905,5006.8376055786075,2.006681891066028,47.81925553241991,14822.199481831736,330.7854021850386,9.892208170431235,4.120592920965563,4958.859346247605,1.8706258350175167,44.53538784832205,165777.42700109782,168.05700020312995,246.7636426576567,25.732890482726248,3727.774164771293,4.596492394131648,155.2200162374696,165759.36655339954,172.89150667212726,224.28126644929114,24.062671937501186,3727.798232700714,4.58891289007517,154.84203639219137,12393.621940346822,178.10797907064565,687.6863640292444,63.730942201276385,6562.842625370999,2.0914260588371363,38.23111286498088,9417.223318876568,123.88918163812815,7.100981455485693,1.9175466476391405,4861.378312225045,1.5898694600813896,37.38319269652197,20038.71570501283,100.66588826023973,748.8707266363394,141.40777726360884,4340.4191344086075,2.4795474802579607,69.76934855611817,0.0,40.71001614063303,nan,nan,4101.73,1.0,22.16567686891332,-2256.2295332274216,465.8668111751772,-44.77171493828562,9.244474359533514,3996.621854906467,42.68330727024397,1368.558520491752,-9297.87697813726,1873.2514419819756,-104.64751837085093,21.083427447897332,3913.1715427361087,105.69542477715147,3459.911572206123,-54.87152861689763,2352604567.462717,-1.1563289195970756,49577344.86907604,3835.556073174785,0.3462527537191859,nan,-3.7899492093300973,6267458766.932171,-0.10172879234328124,168229434.27624923,4363.202654793624,0.3016341833077262,nan,0.0,49.11680974475211,nan,nan,3868.75,1.0,23.500516131444996,73.84157028280988,nan,6.540699400493076,nan,6583.45,1.1463710098595152,17.555650011846787,482.4219827629865,879.3713270033257,7.777538990834587,92.04693137610138,6548.045412040316,1.1134429839118134,16.834908408630728,0.0,58.95010545251087,nan,nan,6716.44,1.0,13.536579167464883,0.0,58.95010545251087,nan,nan,6730.82,1.0,13.507659064352907,190970.88720380282,14710.344563538785,1294.3640801438598,2665.929037514175,4614.600630833356,205.10641783454102,5572.718086966726,60843.29679336331,1049.3475983499652,124.31069903572858,20.241800310172543,5846.493239617905,62.9957208621611,1364.8769981637054
STACK,nan,nan,0.5550542869135379,nan,nan,nan,nan,nan,nan,nan,1370.709389353446,740.366453446886,37363244.070879206,489.1192652351282,88.03640254077357,4.453628467261388,5006.845102446339,1.7660040685172362,41.22641694749797,13603320.427677345,650.1625734517448,36.358516497058524,7.640540155793784,4958.851466670305,1.7383293644331939,40.8498536691953,-53155.59421118496,92370.94985221713,-391.30240818490336,679.9844054023181,3797.4110352667244,387.3937120266036,13236.357541035199,10330045199.881176,6618.568811748889,257.2495285899751,98.23966123917852,3724.7544485946564,177.82550207005,6071.307621358524,0.0,143.359009425196,nan,nan,6562.8,1.0,13.853480493619768,9959859.874161676,135.21055546565822,42.124464766204824,3.3020855548013404,4861.351906257184,2.071926000086586,51.06978566533752,21195297.729354165,98.69525659920643,70.14405688946297,10.680129287824016,4340.426044126555,1.5684022082425688,41.166857006299544,29100942.955182586,79.8670617025305,13.618220468327175,3.2945087703994056,4101.600036836331,1.2963130070900983,33.86471065094175,594953352.6906618,523.3491021866272,174.99009101852988,26.85571796058312,3955.9068586344683,60.446921209385394,1938.2454963934467,140069050.59586066,151.3030787302712,158.65109802065427,41.832488827741585,3889.0440554839593,2.7294327558087437,86.36083130345254,4175461266.1507435,5110.450719292146,228.28030514068317,72.715462377168,3876.614479101275,126.80135941927011,4208.90968605705,4663866.736294646,153.51420981273853,9.856420834251688,9.711058298524003,4363.506757336981,0.8964151793085114,16.338692946049196,128668141.63799211,102.65326658203539,249.69259443814823,53.92531236132956,3869.038865684495,1.3061078771451122,36.286444668351436,0.0,143.359009425196,nan,nan,6583.45,1.0,13.810026928666252,0.0,143.359009425196,nan,nan,6548.05,1.0,13.88468655302385,0.0,143.359009425196,nan,nan,6716.44,1.0,13.536579167464883,0.0,143.359009425196,nan,nan,6730.82,1.0,13.507659064352907,-500.99312858498297,243.26614087760032,-33.21149633516094,16.12643384759457,4687.169789917778,5.836317627828144,157.42832089887688,0.0,143.359009425196,nan,nan,5875.62,1.0,15.473706908126772
