object_id,ra,dec,z,angdisp,Z_dir,Z_dir_e,Z_j19,Z_j19_e,R23,R23_e,mean_vel_disp,sterr_vel_disp,zcluster,name,oiii5007_flux,oiii5007_flux_err,oiii5007_ew,oiii5007_ew_err,oiii5007_centroid,oiii5007_fwhm,oiii5007_vel_disp,oiii4959_flux,oiii4959_flux_err,oiii4959_ew,oiii4959_ew_err,oiii4959_centroid,oiii4959_fwhm,oiii4959_vel_disp,oii3726_flux,oii3726_flux_err,oii3726_ew,oii3726_ew_err,oii3726_centroid,oii3726_fwhm,oii3726_vel_disp,oii3729_flux,oii3729_flux_err,oii3729_ew,oii3729_ew_err,oii3729_centroid,oii3729_fwhm,oii3729_vel_disp,halpha_flux,halpha_flux_err,halpha_ew,halpha_ew_err,halpha_centroid,halpha_fwhm,halpha_vel_disp,hbeta_flux,hbeta_flux_err,hbeta_ew,hbeta_ew_err,hbeta_centroid,hbeta_fwhm,hbeta_vel_disp,hgamma_flux,hgamma_flux_err,hgamma_ew,hgamma_ew_err,hgamma_centroid,hgamma_fwhm,hgamma_vel_disp,hdelta_flux,hdelta_flux_err,hdelta_ew,hdelta_ew_err,hdelta_centroid,hdelta_fwhm,hdelta_vel_disp,hepsilon_flux,hepsilon_flux_err,hepsilon_ew,hepsilon_ew_err,hepsilon_centroid,hepsilon_fwhm,hepsilon_vel_disp,hzeta_flux,hzeta_flux_err,hzeta_ew,hzeta_ew_err,hzeta_centroid,hzeta_fwhm,hzeta_vel_disp,heta_flux,heta_flux_err,heta_ew,heta_ew_err,heta_centroid,heta_fwhm,heta_vel_disp,oiii4363_flux,oiii4363_flux_err,oiii4363_ew,oiii4363_ew_err,oiii4363_centroid,oiii4363_fwhm,oiii4363_vel_disp,neiii_flux,neiii_flux_err,neiii_ew,neiii_ew_err,neiii_centroid,neiii_fwhm,neiii_vel_disp,nii6583_flux,nii6583_flux_err,nii6583_ew,nii6583_ew_err,nii6583_centroid,nii6583_fwhm,nii6583_vel_disp,nii6548_flux,nii6548_flux_err,nii6548_ew,nii6548_ew_err,nii6548_centroid,nii6548_fwhm,nii6548_vel_disp,sii6716_flux,sii6716_flux_err,sii6716_ew,sii6716_ew_err,sii6716_centroid,sii6716_fwhm,sii6716_vel_disp,sii6731_flux,sii6731_flux_err,sii6731_ew,sii6731_ew_err,sii6731_centroid,sii6731_fwhm,sii6731_vel_disp,heii4686_flux,heii4686_flux_err,heii4686_ew,heii4686_ew_err,heii4686_centroid,heii4686_fwhm,heii4686_vel_disp,hei5876_flux,hei5876_flux_err,hei5876_ew,hei5876_ew_err,hei5876_centroid,hei5876_fwhm,hei5876_vel_disp
28d07m28pt35s-28d53m18pt439s,28.124541666666662,-28.888455277777776,0.3685089804926993,26.18756698942221,nan,nan,8.161445869898941,0.00022770723235998524,9.718312121739741,0.6841355804454609,709.5951936116696,242.9625971633789,0.0,28d07m28pt35s-28d53m18pt439s,4124.469894464831,87.899338157534,35.219154485348156,2.0501406651496796,5006.835951321285,2.000851928624639,47.66104780419961,1185.2825861364677,136.72975380269563,5.898970866095592,1.8880619600846873,4958.900222500991,1.6770166740703585,39.12405443693391,855.4132056511229,108.48075459608935,2.549205969919668,1.6277632038775045,3726.6665477785414,1.5199258794840265,46.09705344508258,2580.639010499607,146.7531639742823,11.734252437860937,3.35746030344482,3727.7032777640943,4.78487322574087,161.6084808898156,2409.7560001934326,91.49395579602738,63.31686753934771,4.604669611344828,6562.862095216828,2.366618061539567,43.85526060839941,899.9304186976847,58.14714682619922,4.662283398242799,0.8640358545901632,4861.291255179796,1.6162030419126105,38.149781443959014,600.5554351085995,70.56643893370732,3.3179934957215136,1.3813076414718766,4339.663904696218,2.3957658854377697,67.20386066728452,747.4638775732506,84.47612922023943,3.0707116672825743,1.4202910013225902,4058.2273676000696,1.3324708823848732,35.190735525521816,0.0,32.71336265265871,nan,nan,3970.08,1.0,22.900702702093618,-253.035025563081,136.4450908242689,-3.187394320044474,1.7187514120759795,3891.3185564567484,2.3587505859056854,73.73622723705216,20247.346799826166,1058.4136374261313,1078.0037980085483,267.3501985366362,3814.4822490652386,95.16018000953247,3158.6086438053494,3020.605530593098,265.39134845403953,25.178236779512964,7.855902076485672,4334.72451174346,26.949654962763418,786.0741606426784,0.0,33.63647854922169,nan,nan,3868.75,1.0,23.500516131444996,16479.50444285229,1012.5037075384025,301.7093030996087,35.52997370737657,6558.619944413261,57.64719215197869,1114.6937749271326,-39.018083390832736,nan,-0.7508309701201424,nan,5835.137210987227,195.32893254484173,3797.6486283063655,0.0,22.81231881336289,nan,nan,6716.44,1.0,13.536579167464883,-3288.955661458354,1467.2711758906723,-55.34767665990941,24.69174381620964,6688.981597777423,69.68428151669619,1317.9772563542447,-2919.8685238374173,761.2704335742109,-38.28174003812418,9.98084557536767,4705.743656559349,83.94276600254084,2280.6494035287496,11215.764268676727,1656.1234557803537,195.80669127710226,62.27291876315711,5920.134632324306,84.61260602378556,1833.2828982212877
28d08m00pt3s-28d52m56pt898s,28.133416666666665,-28.882471666666667,0.4354015023467077,15.836703873235557,8.387443768341486,0.012765662760504809,7.996459736433405,7.444862059470372e-05,11.171648863191008,0.1500568773146087,172.83064493980442,105.03964371265576,0.0,28d08m00pt3s-28d52m56pt898s,13715.122046288898,254.40887123949216,27.941671986776676,1.4157003577181038,5006.8422950735,2.376472433789942,57.74627677810042,2813.239145795496,366.9786244189458,3.802521995507325,1.3762728506492583,4958.901416435786,1.749775846769201,41.170696578095644,37591.36420672955,315.4526937446712,42.996177660085245,1.815450647740517,3727.6597209911315,4.261717682481802,143.63570244975043,38300.693505516705,299.9881205785571,47.56533183448131,1.8745551705181756,3727.6536779196663,4.308641561029018,145.15212872427207,0.0,91.21732788742612,nan,nan,6562.8,1.0,13.853480493619768,8272.764391015078,96.08038506125034,19.00698806793486,0.6331653897232302,4861.250557910342,2.203902569470531,54.72789534730517,3273.794977342133,128.10598026689777,4.474414562496697,0.6201062854259631,4340.4383015869,1.7180127939097487,46.018571775875984,1672.017249550395,139.3342626220415,2.4327496405000675,0.8101272383121252,4101.474100356636,1.830906895050889,52.51065314402256,776.7383704388541,76.35292581943362,1.1356575921566934,0.4806413273088995,3970.065335769345,1.6986244736235219,49.630191805007925,2602.3531372087477,172.45858393455214,4.5540578511828755,1.3651116325585404,3888.942931010722,2.888961375503348,91.75331772128874,-1760.5493808728338,1089.4177342072617,-10.224330413310987,6.326756291910111,3800.1883730851628,63.09883895609885,2094.3388892025655,563.8083242129668,186.80577646016766,0.9648132828197729,1.1192495070951598,4365.100506544538,3.2559154577352163,92.77983718354668,4089.8436592655326,181.4074749638438,6.343259571228887,1.2893846960717754,3868.1911679092136,8.87659766990234,291.195224279906,0.0,91.21732788742612,nan,nan,6583.45,1.0,13.810026928666252,0.0,nan,nan,nan,6548.05,0.0,nan,0.0,91.21732788742612,nan,nan,6716.44,1.0,13.536579167464883,0.0,91.21732788742612,nan,nan,6730.82,1.0,13.507659064352907,-112.89444555756302,2545983.009751419,-0.6558993301745177,14791.768917277685,4685.302142920172,0.5596876271958433,nan,1522.860511225407,214.79411064218652,9.784478395627657,3.0002481245188677,5875.8832862485715,3.234158651135085,68.41512321244299
28d07m25pt59s-28d53m23pt342s,28.123775,-28.88981722222222,0.5581220294942004,30.45113887447951,nan,nan,8.01297250882114,0.00011169127526614942,15.112654609213658,0.612777956708803,10580.774735397965,10102.687975588937,0.0,28d07m25pt59s-28d53m23pt342s,4906.425886181013,87.33625090496346,79.77300169785484,3.878549197394955,5006.85874675271,2.6019458255904206,63.72110652340212,1334.3069179908805,238.23686828265673,6.056703835136806,3.000560040236874,4958.803718309222,2.0301155601496212,48.9228731852628,10918.797715548633,118.70217040991272,131.19491466049737,7.176106595784968,3727.7270491125614,4.499997539246291,151.88324187626148,12609.451125826763,205.48203945569648,140.80538227831065,11.544725532406561,3727.731565468575,4.909626823406829,165.91297246953,0.0,45.45340262550775,nan,nan,6562.8,1.0,13.853480493619768,1969.8049360168782,76.49057123437613,19.579070644362748,2.180532816618072,4861.474346585688,2.3970109492163107,60.0373574343959,1040.4614118754002,49.37594099495095,8.701269076501804,1.462390636932627,4340.539405585193,2.2819705220214774,63.70566990739107,470.87994481553505,53.44093642546506,2.5537200578092394,1.1575742608132926,4102.435315210293,2.058819597641117,60.09501693407364,767.5802196492255,72.96933822684178,18.996077741131316,7.77726218802358,3969.585510414729,2.294765711017223,70.07991902798123,-123531146555.95517,2180707755713332.8,-1620736627.8075333,28611026714850.62,17030.445742009208,6030.024211847082,197395.56389385098,52.922054900863664,41948197.18473489,0.2737165165234124,1015458.1076365272,3835.261768343919,0.35078920423503474,nan,-4283.099263556639,1017.3511760065725,-66.10519893251357,15.70176120977771,4391.287084597725,91.95630077149639,2683.0315005156604,2165.0132330917245,104.8207300006048,16.55541351363608,3.6665561513317715,3871.064454738692,5.746701787685068,187.70028172116625,0.0,45.45340262550775,nan,nan,6583.45,1.0,13.810026928666252,0.0,45.45340262550775,nan,nan,6548.05,1.0,13.88468655302385,0.0,45.45340262550775,nan,nan,6716.44,1.0,13.536579167464883,0.0,45.45340262550775,nan,nan,6730.82,1.0,13.507659064352907,-74.69439599757138,7666793.097216678,-3.1317688254164433,321451.47292658815,4686.056087168952,0.46760446909525866,nan,0.0,37.793365840119215,nan,nan,5875.62,1.0,15.473706908126772
28d07m06pt405s-28d53m28pt324s,28.118445833333332,-28.891201111111112,0.6380614410088494,50.12698630822702,nan,nan,8.051793622498367,0.00010399914184520121,24.05812613961561,3.1348474149230805,547.4024084954422,318.3445485582173,0.0,28d07m06pt405s-28d53m28pt324s,8559.87899909655,143.29330736792102,181.97782706842744,8.320730414218172,5006.854281480534,2.935528124222689,72.48916364088525,804.3574841839227,333.4914115688062,1.5356812043105952,1.766560595737784,4958.948452708462,1.6960187462940832,39.660265267997445,10771.35089096927,105.45904542226387,40.81425773988564,2.01010003885233,3728.043634093553,4.401180975652254,148.46434203147874,11476.669995037591,89.90241178833267,61.416683895910644,2.4201199838970906,3728.0338043011334,4.559745793950061,153.83433850916305,0.0,52.19793622544882,nan,nan,6562.8,1.0,13.853480493619768,1313.9949963614424,170.45423979429742,7.11778499204144,2.648668775960458,4860.927913248915,1.8866881687017802,45.88262118436621,1531.1053884320518,47.96720833702636,11.647931248704102,1.2922938406246853,4340.629116482257,2.3887985206253637,66.99014701121605,332.20900061011326,42.40533906379128,1.6266267635007152,0.8294411348862455,4102.1099475211495,1.723058688582979,48.868403419856755,-4644.52906159605,700.6016157699713,-57.617499030413846,8.691282233781733,4002.210118219826,67.45600693229903,2163.0221434906216,50384.7690182263,8215.872136215301,1146.9727005996062,871.9494407575941,3841.317993439038,189.55969354811117,6205.279847731461,-91.91610996590595,54.15233031367139,-1.8573111709862329,1.094233949454836,3835.0538090692617,1.017796893957684,24.525227557989496,9061.061634036474,451.3231117753786,107.46536233518181,18.949324327333667,4341.397030112006,62.03192172575596,1809.8577643762405,1182.2283615427787,89.77602711943611,3.795656563006993,1.320315787249465,3868.8805722560132,2.679344231309767,85.10776657231253,0.0,52.19793622544882,nan,nan,6583.45,1.0,13.810026928666252,0.0,52.19793622544882,nan,nan,6548.05,1.0,13.88468655302385,0.0,52.19793622544882,nan,nan,6716.44,1.0,13.536579167464883,0.0,52.19793622544882,nan,nan,6730.82,1.0,13.507659064352907,48.31125393674805,2.4735081294350147e+17,0.6239706610075536,9771088997211102.0,4685.8381982441415,0.24839325350576735,nan,0.0,52.19793622544882,nan,nan,5875.62,1.0,15.473706908126772
STACK,0.0,0.0,0.5000234883356143,nan,nan,nan,8.173275097890281,0.0004304297254266394,15.626260135262454,4.294001764129598,884.3640009864216,292.82750965624757,0.0,STACK,4272.582223637376,134.20148635922777,5.608447128551364,0.48116749946420917,5006.839578733408,1.9867263409060936,47.27745371560229,1187.203162663159,169.6263128639901,1.3903564782501125,0.5511514225046025,4959.055013563275,1.4038904501834408,31.242145476384845,1591.974174434271,266.87418136623637,1.1511826674302454,0.9705621862118777,3728.3193270001284,3.136675341683287,104.4703359468904,1488.8124042847821,248.8493918517797,1.0752149933505315,0.9038977776358463,3728.257206081886,3.0285078627927224,100.59999186795167,1943.876976092002,155.31019082380584,4.488534174908812,0.6868906063173085,6562.975544587349,1.9477362990041163,35.25921012667093,546.5525270340793,147.71579455909446,0.5108507802597034,0.39604144384080814,4861.0410161408145,1.0834255408601203,21.655882490570807,-9767.989680206561,9488.488825812225,-32.7887432559353,31.850527506882965,4394.754325372875,113.40208916342155,3326.135994428469,400.99997280480716,202.42969820404338,0.3063341252603442,0.6176301237277206,4102.471338951425,2.0254587186336814,58.99277381909222,1921.8711542345616,273.2939119840699,1.7491553266935231,1.0725317265529135,3967.5265851292684,5.830716153620579,185.62356928274826,-1304.5149246894055,1789.015751324779,-5.061230464239215,6.940986914170118,3880.343054071061,10.667157647151138,348.44155300323024,-977.4697384775692,868.9854778407972,-4.361694490534072,3.877612801554062,3803.353658040197,36.36908958127051,1206.9917098931446,-11362.296105016476,3022.1582218602257,-33.42085095018067,8.88932118535976,4350.863628102916,120.27697483029775,3509.3929888862303,15.052554859709796,nan,0.010893978385404655,nan,3868.850069491784,0.24236000100310207,nan,16698.16039801535,1920.0820533822944,60.247021605551616,13.24411095429525,6574.785217772319,89.85579957661925,1737.5702485880868,-16161.585336090884,7997.885738951718,-53.5278425705668,26.489330089169254,6568.208611780056,155.4103559495203,3021.5274326698077,-83.70982500199122,124810847.66371137,-0.4511007253703783,672588.4794748133,6715.504095163576,0.5154649477158136,nan,83.23569782238162,1260417878824.108,0.2209225109312028,6243853075.238386,6730.799703586396,0.34238947619931154,nan,-5178.951442910102,1963.8033505514595,-15.277255147210633,5.792972800776759,4715.956100438982,79.70900004639074,2165.613580958927,270.3347854953776,118.86149940868157,0.6311470263753051,0.603322407706607,5875.640974930066,1.0777877662379827,17.75714660178356
