object_id,ra,dec,z,angdisp,Z_dir,Z_dir_e,Z_j19,Z_j19_e,R23,R23_e,mean_vel_disp,sterr_vel_disp,zcluster,name,oiii5007_flux,oiii5007_flux_err,oiii5007_ew,oiii5007_ew_err,oiii5007_centroid,oiii5007_fwhm,oiii5007_vel_disp,oiii4959_flux,oiii4959_flux_err,oiii4959_ew,oiii4959_ew_err,oiii4959_centroid,oiii4959_fwhm,oiii4959_vel_disp,oii3726_flux,oii3726_flux_err,oii3726_ew,oii3726_ew_err,oii3726_centroid,oii3726_fwhm,oii3726_vel_disp,oii3729_flux,oii3729_flux_err,oii3729_ew,oii3729_ew_err,oii3729_centroid,oii3729_fwhm,oii3729_vel_disp,halpha_flux,halpha_flux_err,halpha_ew,halpha_ew_err,halpha_centroid,halpha_fwhm,halpha_vel_disp,hbeta_flux,hbeta_flux_err,hbeta_ew,hbeta_ew_err,hbeta_centroid,hbeta_fwhm,hbeta_vel_disp,hgamma_flux,hgamma_flux_err,hgamma_ew,hgamma_ew_err,hgamma_centroid,hgamma_fwhm,hgamma_vel_disp,hdelta_flux,hdelta_flux_err,hdelta_ew,hdelta_ew_err,hdelta_centroid,hdelta_fwhm,hdelta_vel_disp,hepsilon_flux,hepsilon_flux_err,hepsilon_ew,hepsilon_ew_err,hepsilon_centroid,hepsilon_fwhm,hepsilon_vel_disp,hzeta_flux,hzeta_flux_err,hzeta_ew,hzeta_ew_err,hzeta_centroid,hzeta_fwhm,hzeta_vel_disp,heta_flux,heta_flux_err,heta_ew,heta_ew_err,heta_centroid,heta_fwhm,heta_vel_disp,oiii4363_flux,oiii4363_flux_err,oiii4363_ew,oiii4363_ew_err,oiii4363_centroid,oiii4363_fwhm,oiii4363_vel_disp,neiii_flux,neiii_flux_err,neiii_ew,neiii_ew_err,neiii_centroid,neiii_fwhm,neiii_vel_disp,nii6583_flux,nii6583_flux_err,nii6583_ew,nii6583_ew_err,nii6583_centroid,nii6583_fwhm,nii6583_vel_disp,nii6548_flux,nii6548_flux_err,nii6548_ew,nii6548_ew_err,nii6548_centroid,nii6548_fwhm,nii6548_vel_disp,sii6716_flux,sii6716_flux_err,sii6716_ew,sii6716_ew_err,sii6716_centroid,sii6716_fwhm,sii6716_vel_disp,sii6731_flux,sii6731_flux_err,sii6731_ew,sii6731_ew_err,sii6731_centroid,sii6731_fwhm,sii6731_vel_disp,heii4686_flux,heii4686_flux_err,heii4686_ew,heii4686_ew_err,heii4686_centroid,heii4686_fwhm,heii4686_vel_disp,hei5876_flux,hei5876_flux_err,hei5876_ew,hei5876_ew_err,hei5876_centroid,hei5876_fwhm,hei5876_vel_disp
36d28m40pt725s-41d54m23pt729s,36.477979166666664,-41.906591388888884,0.09696310288083176,39.72803134566788,12.325080096151371,0.10797697178687692,9.805635644623734,0.008174757603998972,4.906594489260961,0.22249575802575072,217.08840736362777,178.75908823511705,0.0,36d28m40pt725s-41d54m23pt729s,18323.12446071951,446.5524094480506,27.67461137635577,1.8422172282496723,5006.842111015096,2.411672334406291,58.68221668133665,4288.488639895947,723.3622311852273,4.966566368359111,2.32439756304121,4958.874233435508,2.0407684333279397,49.2141300677072,0.0,99.98943241797419,nan,nan,3726.03,1.0,24.400668213494743,0.0,99.98943241797419,nan,nan,3728.82,1.0,24.382410999599827,15186.720973063842,224.89168393715394,113.36008597607517,3.2154418863676875,6562.697515391956,2.557168701604872,47.71112026364196,4608.412851338211,113.23504146002459,10.281488032998746,0.7245821999049594,4861.3664492525995,1.962998517064581,48.02802835746894,0.0,97.98728503669749,nan,nan,4340.46,1.0,20.94654063936261,0.0,99.98943241797419,nan,nan,4101.73,1.0,22.16567686891332,0.0,99.98943241797419,nan,nan,3970.08,1.0,22.900702702093618,0.0,99.98943241797419,nan,nan,3889.06,1.0,23.37778840736009,0.0,99.98943241797419,nan,nan,3835.4,1.0,23.704860453545347,0.0,60.071307808082565,nan,nan,4363.21,1.0,20.83732430562082,0.0,99.98943241797419,nan,nan,3868.75,1.0,23.500516131444996,318.90047339097083,5487147.334570546,0.7967214808261079,26171.95713147211,6583.475194160099,0.7143848190563963,2.758324978097121,218.73796126849317,730.4218839802373,0.9134189439077071,5.8549272829320635,6549.292467167824,3.8255050956971117,73.1214216861696,1464.302895740256,247.04887152555258,7.0571243879673995,2.227097424227271,6716.160006758925,4.115319775630461,76.8691524145551,2051.9343736827004,220.153135113841,16.091068350721876,3.2222876829445233,6730.641596858174,4.14365913039899,77.24882223880132,47352.77979779372,4541.7302689080925,184.29073181845462,54.60368718381416,4660.074588509868,142.77444864488925,3879.141528436963,637.8274934584413,86.30487776474428,1.7824149242032772,0.5243741858885196,5875.416522378125,1.9685282920760092,39.86532079000724
36d28m03pt465s-41d54m52pt424s,36.46762916666666,-41.91456222222222,0.6816279592894612,51.21749894403363,8.013077349680774,0.016942431714812693,7.977092872403636,0.000180632601421557,15.026716521066234,0.815790778902486,310.16623930239496,186.35977893337852,0.0,36d28m03pt465s-41d54m52pt424s,2290.2362853222303,155.0444083096938,6.348838873239867,1.1739783507893495,5006.816720029458,1.626570868630933,37.33333003854096,823.8876884378283,133.70922325664458,4.147899441679707,1.8680077363834289,4958.495551633853,1.4586955231463095,32.85535838043641,11753.354673173362,201.1602562528251,537.0213756450905,46.22688161793333,3728.272770327098,4.536570610793511,153.14813465283675,6197.209860139131,152.98821261081295,12.79022274586835,1.5874884811471102,3728.774535714223,2.2182831363469573,71.86735418828714,0.0,48.69585716255297,nan,nan,6562.8,1.0,13.853480493619768,1401.815791063974,72.96075881904441,6.608165724103147,0.9864697900398608,4861.351620198435,1.700522784233636,40.5858161241343,495.61026671724164,49.11613936320412,1.9243455493326,0.6754217750336082,4340.457535088022,1.429960075715509,36.57316168259244,223.2237599382263,51.794630715985605,0.9750363025277294,0.9040741457182266,4101.472852279252,1.0065559004697726,22.449724147938095,0.0,27.79995681503132,nan,nan,3970.08,1.0,22.900702702093618,536.5433936131188,62.859882888363074,2.756345343816787,1.461225807952674,3888.3388564412458,1.5953618863616825,46.92920749328684,41175.36736513819,1184.1818585793387,5146.8160525528765,675.651730355961,3874.4486290473023,74.16751002730659,2461.7654383549675,370.01593439516193,117.87153741767949,1.9454857812299056,2.1721664168631336,4362.851757649794,2.714872301441217,76.53636996129362,14410.889946417237,992.1144280288888,79.65760196042753,25.530066646662842,3843.568169106986,94.7023529095447,3116.3140492062366,0.0,48.69585716255297,nan,nan,6583.45,1.0,13.810026928666252,0.0,48.69585716255297,nan,nan,6548.05,1.0,13.88468655302385,0.0,48.69585716255297,nan,nan,6716.44,1.0,13.536579167464883,0.0,48.69585716255297,nan,nan,6730.82,1.0,13.507659064352907,-20.918093851875536,nan,-6.744131592269857,nan,4685.725432849897,0.1413515156362015,nan,0.0,48.69585716255297,nan,nan,5875.62,1.0,15.473706908126772
36d27m39pt39s-41d54m26pt22s,36.46094166666666,-41.90728333333333,0.7552329263151853,82.33510917392687,nan,nan,8.023800508134267,0.00011222270610465062,10.728605746177191,0.47659885843391653,575.9150761486103,376.4891719124245,0.0,36d27m39pt39s-41d54m26pt22s,4814.14305292035,173.25545130813762,30.0618407359425,2.9551063778628492,5006.819095601568,2.2242044647065558,53.68151306886562,1248.0553742625082,153.5459582246649,7.72258338449789,2.6362259287223364,4958.784699117364,2.2137664718329075,53.91797392944667,9425.355783105153,128.5038387696648,38.86162852978585,2.6656281857601596,3727.8188271203667,4.03480574725949,135.7697396876504,10631.059166700674,117.62444507725996,100.45801392862026,5.592116146153456,3727.784786356345,4.28629512104415,144.37884456099917,0.0,49.090153671851226,nan,nan,6562.8,1.0,13.853480493619768,2434.4834729615495,104.72154806790468,52.28536352013031,6.450981634892883,4861.272565613853,2.5059194502109583,63.01346577337954,1637.2680114578757,112.704328256931,28.734110288200085,7.005369214283028,4340.435997480505,4.434342487475456,128.43302481939222,513.4357298437347,48.51694443422584,4.042808258345994,1.526542227786801,4101.560154588199,1.8263294069435199,52.356862084723566,52.608685041489935,40482345.971888214,0.25887921847010015,857662.9484963835,3970.110230529598,0.28259792551669816,nan,1316.5043360351885,85.10201738165938,5.261744762652696,1.560201096407299,3866.695809729324,5.588155904112814,181.4899204642527,0.0,23.65286702587244,nan,nan,3835.4,1.0,23.704860453545347,-4932.080249776046,1834.7176508665314,-70.65046608993921,26.28174129629069,4324.042858734047,105.25282550718994,3071.008520145665,1554.1868569186222,78.33417925271797,7.565344129601613,1.7491561058792215,3866.6283668530687,5.948926045028876,194.4031468339657,0.0,49.090153671851226,nan,nan,6583.45,1.0,13.810026928666252,0.0,49.090153671851226,nan,nan,6548.05,1.0,13.88468655302385,0.0,49.090153671851226,nan,nan,6716.44,1.0,13.536579167464883,0.0,49.090153671851226,nan,nan,6730.82,1.0,13.507659064352907,-7885.326256669971,26716.893716559378,-132.1624580560723,447.790012774243,4597.57111379556,269.85977604928456,7332.0775120350645,0.0,49.090153671851226,nan,nan,5875.62,1.0,15.473706908126772
STACK,0.0,0.0,0.5112746628284928,nan,nan,nan,9.723073520268626,0.00793265270373786,5.398245559982333,0.3152393829876301,39.40885780313061,5.808700401923175,0.0,STACK,18894.38708919359,423.26630249444486,26.264977643122357,1.6070902362756085,5006.871057031183,2.481357300648694,60.53144042292612,4210.006225111713,710.506319386788,3.772493236583312,1.7664760703252882,4958.933451420587,1.8878873156224707,45.012906463095916,0.0,120.17549865327992,nan,nan,3726.03,1.0,24.400668213494743,0.0,120.17549865327992,nan,nan,3728.82,1.0,24.382410999599827,15277.09409833533,228.11874437619144,41.55502064828067,1.188541829556217,6562.702799535478,2.5174335078610035,46.909182575123396,4279.981904784065,194.95116009998304,6.024763041622182,0.7871274410369439,4861.241283711304,1.8594302726803535,45.11301415666415,0.0,119.67960107874072,nan,nan,4340.46,1.0,20.94654063936261,0.0,120.17549865327992,nan,nan,4101.73,1.0,22.16567686891332,0.0,120.17549865327992,nan,nan,3970.08,1.0,22.900702702093618,0.0,120.17549865327992,nan,nan,3889.06,1.0,23.37778840736009,0.0,120.17549865327992,nan,nan,3835.4,1.0,23.704860453545347,-294.50950314992474,296.83477538808097,-0.9584388251581015,0.9660060892642676,4359.586201224189,2.6372419887197505,74.18953504934187,0.0,120.17549865327992,nan,nan,3868.75,1.0,23.500516131444996,474.2659972197195,506.28791810716706,0.8973850404114976,1.8288284494941867,6583.761284576001,1.675338016582948,29.43402967300216,624.9412435393539,797.0742427567574,1.4435374136788022,3.53395341654233,6549.704552090332,4.207776880227028,80.6695023529708,1741.6744439456422,415.20811928459585,4.868855967424616,2.171548833904015,6714.866891124865,5.284977969786088,99.2941686991928,1917.6483167471413,209.13522247925366,5.31931700552953,1.0827867952525139,6730.474471996471,3.796778991544205,70.58312461996736,568.6892049093464,9415613185.772522,0.896883293134489,45433768.4026461,4684.906672651357,0.6095162726849239,nan,1523.484575719313,137.5350300484539,3.456299743770482,0.6784278496266835,5875.236762151372,2.4583395558825005,51.06108763451309
