Cardamone,,Brunker,,Ding,,eBOSS,
X,Y,X,Y,X,Y,X,Y
2370.3703703703704,0.895104895104895,1895.4248366013076,1.3706293706293708,1969.4989106753815,-0.825174825174825,1220.04357298475,-1.5384615384615383
1568.6274509803925,0.6013986013986008,1119.8257080610024,1.034965034965036,1995.6427015250547,-0.5314685314685308,901.960784313726,-0.3216783216783208
1555.5555555555559,0.9510489510489517,949.8910675381267,1.1468531468531475,1877.9956427015254,-0.04195804195804165,518.5185185185187,0.11188811188811254
1477.1241830065362,0.8671328671328675,675.381263616558,1.3006993006993008,1603.4858387799568,-0.48951048951048914,435.7298474945537,-0.27972027972027913
1446.6230936819175,1.314685314685315,732.0261437908503,1.6223776223776225,1411.7647058823532,-0.06993006993007,379.08496732026197,-0.4335664335664333
1420.4793028322445,1.3006993006993008,405.22875816993474,0.8251748251748259,1215.6862745098042,-0.2237762237762233,296.29629629629653,-2.4755244755244754
1381.2636165577344,1.034965034965036,413.94335511982626,1.0069930069930066,1159.0413943355125,-0.4475524475524475,122.0043572984755,-3.902097902097902
1346.40522875817,1.3006993006993008,431.37254901960796,1.4265734265734267,1132.8976034858392,-0.8671328671328675,8.71459694989153,-4.237762237762238
1267.9738562091507,1.2727272727272734,339.8692810457519,1.2587412587412592,1115.4684095860569,-0.41958041958041914,4.547473508864641e-13,-3.6783216783216783
1137.2549019607845,1.4125874125874125,209.1503267973858,1.3566433566433576,1032.6797385620919,-0.5314685314685308,13.071895424836839,-3.6363636363636362
1185.1851851851854,0.965034965034965,117.64705882352973,1.244755244755245,1002.1786492374731,-0.4615384615384617,4.547473508864641e-13,-3.5384615384615383
1028.3224400871463,0.6573426573426575,100.21786492374804,1.6503496503496509,875.8169934640525,-0.7412587412587408,17.42919389978215,-3.384615384615384
1093.6819172113294,1.174825174825175,278.86710239651484,1.0209790209790217,867.1023965141617,-0.5174825174825175,21.786492374727914,-3.286713286713286
1054.4662309368193,1.174825174825175,,,884.5315904139436,-0.48951048951048914,26.143790849673223,-3.2587412587412588
1028.3224400871463,1.5804195804195809,,,919.3899782135079,-0.0839160839160833,8.71459694989153,-3.2307692307692304
945.5337690631811,0.7412587412587417,,,784.3137254901962,-0.615384615384615,104.57516339869335,-3.384615384615384
919.3899782135079,0.5874125874125875,,,705.882352941177,-1.2167832167832167,113.28976034858442,-3.3286713286713283
884.5315904139436,0.5174825174825184,,,644.8801742919395,-1.0209790209790208,91.50326797385651,-3.0489510489510487
849.6732026143793,0.5174825174825184,,,527.2331154684098,-1.0489510489510483,56.64488017429221,-3.0069930069930066
801.7429193899789,0.6433566433566433,,,501.08932461873655,-0.9510489510489508,4.357298474945765,-3.132867132867133
840.9586056644885,0.8531468531468533,,,575.1633986928109,-0.5174825174825175,4.357298474945765,-2.993006993006993
862.7450980392161,0.8671328671328675,,,514.1612200435734,-0.6013986013986008,8.71459694989153,-2.811188811188811
880.1742919389981,0.965034965034965,,,688.4531590413944,-0.5594405594405591,8.71459694989153,-2.7832167832167833
810.4575163398695,1.0629370629370634,,,705.882352941177,-0.3776223776223775,17.42919389978215,-2.699300699300699
753.8126361655777,1.1188811188811183,,,631.8082788671027,-0.0839160839160833,47.93028322440159,-2.6433566433566433
827.8867102396516,1.1188811188811183,,,701.5250544662313,0.12587412587412583,47.93028322440159,-2.489510489510489
745.0980392156866,0.5034965034965042,,,657.9520697167759,0.18181818181818166,39.21568627451052,-2.4755244755244754
758.169934640523,0.6713286713286717,,,732.0261437908503,0.32167832167832167,13.071895424836839,-2.4755244755244754
753.8126361655777,0.8111888111888108,,,640.5228758169937,0.5734265734265733,4.357298474945765,-2.545454545454545
649.2374727668848,0.8811188811188808,,,688.4531590413944,0.3776223776223775,8.71459694989153,-2.5594405594405596
631.8082788671027,0.8251748251748259,,,605.6644880174294,0.41958041958042,108.93246187363866,-2.5594405594405596
575.1633986928109,0.5874125874125875,,,553.376906318083,0.3076923076923084,78.43137254901967,-2.419580419580419
557.7342047930288,0.8391608391608392,,,418.3006535947716,0.055944055944055826,87.14596949891074,-2.2377622377622375
675.381263616558,0.32167832167832167,,,444.4444444444448,-0.09790209790209747,39.21568627451052,-2.2377622377622375
631.8082788671027,1.3706293706293708,,,470.588235294118,-0.27972027972027913,8.71459694989153,-2.2937062937062933
640.5228758169937,1.3006993006993008,,,448.80174291939056,-0.755244755244755,8.71459694989153,-2.3216783216783217
640.5228758169937,1.174825174825175,,,405.22875816993474,-0.7832167832167833,-4.35729847494531,-2.125874125874126
553.376906318083,1.3706293706293708,,,400.8714596949894,-0.8111888111888108,13.071895424836839,-2.0839160839160833
522.8758169934645,1.3566433566433576,,,435.7298474945537,-0.6293706293706292,21.786492374727914,-2.0979020979020975
505.4466230936823,1.1468531468531475,,,379.08496732026197,-0.6433566433566424,47.93028322440159,-2.125874125874126
527.2331154684098,1.0489510489510492,,,361.6557734204798,-0.6993006993006992,61.002178649237976,-2.0839160839160833
470.588235294118,0.7412587412587417,,,361.6557734204798,-0.825174825174825,69.71677559912905,-2.0419580419580416
435.7298474945537,0.7972027972027975,,,318.08278867102445,-0.7412587412587408,74.07407407407436,-2.013986013986014
444.4444444444448,1.0209790209790217,,,291.9389978213512,-0.685314685314685,135.07625272331188,-2.3216783216783217
453.1590413943359,1.0069930069930066,,,235.29411764705947,-0.6433566433566424,139.4335511982572,-1.8741258741258742
453.1590413943359,1.3286713286713283,,,200.4357298474947,-0.6013986013986008,130.71895424836657,-1.79020979020979
396.51416122004366,1.454545454545455,,,222.22222222222217,-0.3776223776223775,130.71895424836657,-1.7482517482517483
379.08496732026197,0.8251748251748259,,,344.22657952069767,-0.3076923076923075,91.50326797385651,-1.7342657342657342
331.15468409586083,0.965034965034965,,,348.583877995643,-0.4615384615384617,82.78867102396543,-1.7342657342657342
309.36819172113337,1.104895104895105,,,383.4422657952073,-0.4615384615384617,74.07407407407436,-1.79020979020979
339.8692810457519,1.1468531468531475,,,357.29847494553405,-1.2447552447552441,74.07407407407436,-1.8741258741258742
309.36819172113337,1.3566433566433576,,,209.1503267973858,-1.034965034965035,43.57298474945583,-1.8741258741258742
322.44008714596976,1.4125874125874125,,,252.72331154684116,0.18181818181818166,21.786492374727914,-1.9020979020979016
287.58169934640546,1.454545454545455,,,222.22222222222217,0.25174825174825166,8.71459694989153,-1.9440559440559442
296.29629629629653,1.1608391608391608,,,370.37037037037044,0.4335664335664342,4.357298474945765,-1.8881118881118875
270.1525054466233,1.1888111888111892,,,370.37037037037044,0.4615384615384617,13.071895424836839,-1.65034965034965
239.65141612200478,1.1888111888111892,,,435.7298474945537,0.4475524475524475,17.42919389978215,-1.6363636363636367
200.4357298474947,1.2027972027972025,,,549.0196078431377,1.2167832167832167,30.501089324618988,-1.72027972027972
